experiment,condition,timing_kind,baseline_over_candidate,ratio_median,ci95_low,ci95_high,baseline_fast_fraction,candidate_fast_fraction
lut,all,kernel,binary/lut,0.9975039210922214,0.9943318154672623,0.9994670833409145,0.9448382352941177,0.9448382352941177
lut,all,e2e,binary/lut,0.9956630875426418,0.9929469547661405,0.9979708963081001,0.9448382352941177,0.9448382352941177
warm_history,baseline_524280,kernel,cold/warm,0.9414839580156293,0.9360226079622544,0.9509696456980857,0.8482375829709315,0.8934328984512093
warm_history,baseline_524280,e2e,cold/warm,0.9437334503942103,0.9404108698096028,0.9526377849686335,0.8482375829709315,0.8934328984512093
warm_history,low_wind_075_524280,kernel,cold/warm,2.467117893069927,2.4519324972577445,2.489741425994475,0.20782024872205693,0.8617208361944
warm_history,low_wind_075_524280,e2e,cold/warm,2.4686609937443214,2.4529149365377356,2.4856765972347823,0.20782024872205693,0.8617208361944
warm_history,high_wind_125_524280,kernel,cold/warm,2.579872418273938,2.5396013237204214,2.607897401400761,0.22841420614938582,0.9118295567254139
warm_history,high_wind_125_524280,e2e,cold/warm,2.5723158883604214,2.5573754991836717,2.5857830857490756,0.22841420614938582,0.9118295567254139
warm_history,turbulent_gust_524280,kernel,cold/warm,1.9807895086850875,1.9474577961793011,2.0519807603953506,0.485912108033875,0.8983081559472038
warm_history,turbulent_gust_524280,e2e,cold/warm,1.9866706987379055,1.9384092038140313,2.0532525492701605,0.485912108033875,0.8983081559472038
