domain,sample_id,branch,valid_steps,best_relative_error,convergence_observed
bem,bem_0000467,smooth,7,1.2572088365844017e-10,1
bem,bem_0000476,smooth,7,9.200801277893821e-11,1
bem,bem_0000477,smooth,7,1.3333265940035506e-10,1
bem,bem_0000486,smooth,7,1.289624597812965e-10,1
bem,bem_0000487,smooth,7,1.2970604453429222e-10,1
bem,bem_0000496,smooth,7,1.1953731906132114e-10,1
bem,bem_0000497,smooth,7,6.049499009435423e-11,1
bem,bem_0000506,smooth,7,1.7137169576897598e-11,1
bem,bem_0000507,smooth,7,9.463465863379682e-11,1
bem,bem_0000516,smooth,7,1.3103909631118642e-10,1
bem,bem_0000517,smooth,7,1.3419517465515132e-10,1
bem,bem_0000526,smooth,7,1.6178317410273024e-10,1
bem,bem_0000527,smooth,7,1.9451698219053952e-10,1
bem,bem_0000536,smooth,7,1.3571170682146521e-10,1
bem,bem_0000537,smooth,7,1.089926919004081e-10,1
bem,bem_0000546,smooth,7,1.3673308458152263e-10,1
bem,bem_0000547,smooth,7,1.3421684211829926e-10,1
bem,bem_0000556,smooth,7,1.279772771656413e-10,1
bem,bem_0000557,smooth,7,1.3854761000975047e-10,1
bem,bem_0000566,smooth,7,1.4212456503279775e-10,1
bem,bem_0000567,smooth,7,1.5556256384485864e-10,1
bem,bem_0000576,smooth,7,1.4512145953382205e-10,1
bem,bem_0000577,smooth,7,1.2235336165487555e-10,1
bem,bem_0000586,smooth,7,1.386608853813837e-10,1
bem,bem_0000587,smooth,7,1.2628911665301661e-10,1
bem,bem_0000596,smooth,7,1.972537389380496e-10,1
bem,bem_0000597,smooth,7,1.4935354834929848e-10,1
bem,bem_0000606,smooth,7,1.3155080996548273e-10,1
bem,bem_0000607,smooth,7,1.2085329374376297e-10,1
bem,bem_0000616,smooth,7,1.1953796243961944e-10,1
bem,bem_0000617,smooth,7,1.1189152503068214e-10,1
bem,bem_0000626,smooth,7,1.4751301446384136e-10,1
bem,bem_0000627,smooth,7,8.744389926029263e-11,1
bem,bem_0000636,smooth,7,8.188616366445803e-11,1
bem,bem_0000637,smooth,7,1.2655500309618476e-10,1
bem,bem_0000646,smooth,7,2.9315479337418155e-10,1
bem,bem_0000647,smooth,7,1.3814044888778204e-10,1
bem,bem_0000656,smooth,7,1.3613789663927008e-10,1
bem,bem_0000657,smooth,7,1.169517695468763e-10,1
bem,bem_0000666,smooth,7,1.2858674821311794e-10,1
bem,bem_0000667,smooth,7,1.1738872841277066e-10,1
bem,bem_0000676,smooth,7,1.244211557133414e-10,1
bem,bem_0000677,smooth,7,1.6235023244424414e-10,1
bem,bem_0000686,smooth,7,1.4071573725418117e-10,1
bem,bem_0000687,smooth,7,2.0233688597837814e-10,1
bem,bem_0000696,smooth,7,3.1690336798508215e-11,1
bem,bem_0000697,smooth,7,8.509717024685067e-11,1
bem,bem_0000706,smooth,7,1.3578049696171996e-10,1
bem,bem_0000707,smooth,7,1.3453809178013327e-10,1
bem,bem_0000716,smooth,7,1.293589543066092e-10,1
bem,bem_0000717,smooth,7,1.419468156658235e-10,1
bem,bem_0000726,smooth,7,1.367482008940556e-10,1
bem,bem_0000727,smooth,7,3.9130856194930955e-11,1
bem,bem_0000736,smooth,7,1.2050972224879167e-10,1
bem,bem_0000737,smooth,7,1.3547645752005168e-10,1
bem,bem_0000746,smooth,7,1.2271240467106842e-10,1
bem,bem_0000747,smooth,7,1.2938552561930963e-10,1
bem,bem_0000756,smooth,7,1.265339122470739e-10,1
bem,bem_0000757,smooth,7,1.388859234573808e-10,1
bem,bem_0000766,smooth,7,1.5902699076252008e-10,1
bem,bem_0000767,smooth,7,1.3734849405305556e-10,1
bem,bem_0000776,smooth,7,1.1915970373863596e-10,1
bem,bem_0000777,smooth,7,1.2763048964589108e-10,1
bem,bem_0000786,smooth,7,1.2429907260992548e-10,1
bem,bem_0000787,smooth,7,1.219314857141766e-10,1
bem,bem_0000796,smooth,7,1.5290561675226322e-10,1
bem,bem_0000797,smooth,7,1.4265368442437297e-10,1
bem,bem_0000806,smooth,7,1.5810178453839904e-10,1
bem,bem_0000807,smooth,7,1.335139900371741e-10,1
bem,bem_0000816,smooth,7,1.0497457417786477e-10,1
bem,bem_0000817,smooth,7,1.404910492941651e-10,1
bem,bem_0000826,smooth,7,1.3498028248513802e-10,1
bem,bem_0000827,smooth,7,1.1853945703187706e-10,1
bem,bem_0000836,smooth,7,1.2356646765555747e-10,1
bem,bem_0000837,smooth,7,1.3253469855618794e-10,1
bem,bem_0000846,smooth,7,1.210960179083645e-10,1
bem,bem_0000847,smooth,7,1.9760380068639795e-10,1
bem,bem_0000856,smooth,7,3.7661184306280276e-11,1
bem,bem_0000857,smooth,7,1.2656218991886698e-10,1
bem,bem_0000866,smooth,7,1.2997408701566448e-10,1
bem,bem_0000867,smooth,7,6.084792047434386e-11,1
bem,bem_0000876,smooth,7,6.661462966416795e-11,1
bem,bem_0000877,smooth,7,1.4202179426311665e-10,1
bem,bem_0000886,smooth,7,7.537093744784672e-11,1
bem,bem_0000887,smooth,7,1.25947935071163e-10,1
