domain,n,method,kernel_median_ms,e2e_median_ms,kernel_mroots_s,e2e_mroots_s,root_diff_p99,root_diff_max,wrong_root,iterations_p99,checksum
bem,1,df32,0.0276377610862,0.048972800374,0.0361823809418,0.0204194980145,1.38777878078e-16,1.38777878078e-16,0,6,0.123072337402
bem,1,fp64_equivalent,0.0276006385684,0.0425247997046,0.0362310457971,0.0235156898315,1.38777878078e-16,1.38777878078e-16,0,6,0.123072337402
bem,8,df32,0.134585916996,0.200841590762,0.0594415833288,0.0398323871547,4.41868763801e-14,4.4408920985e-14,0,43,8.03363004489
bem,8,fp64_equivalent,0.0276070404798,0.0363359972835,0.289781152234,0.220167343629,4.41868763801e-14,4.4408920985e-14,0,6,8.03363004489
bem,32,df32,0.143179193139,0.209155201912,0.223496160988,0.152996433784,8.12128142513e-14,9.64506252643e-14,0,47,39.7467202015
bem,32,fp64_equivalent,0.0378272011876,0.0722400024533,0.845952092551,0.442967869785,8.12128142513e-14,9.64506252643e-14,0,8,39.7467202015
bem,128,df32,0.153700470924,0.217884808779,0.832788599997,0.587466380595,9.64506252643e-14,9.76441150158e-14,0,52,303.741113672
bem,128,fp64_equivalent,0.182135045528,0.24581758678,0.702775238168,0.520711319629,9.64506252643e-14,9.76441150158e-14,0,52,303.741113672
bem,512,df32,0.183452472091,0.237023994327,2.79091360375,2.16011885824,9.64506252643e-14,9.9142916099e-14,0,52,1436.1135911
bem,512,fp64_equivalent,0.315945923328,0.373379200697,1.62053048384,1.37126009977,9.64506252643e-14,9.9142916099e-14,0,52,1436.1135911
bem,2048,df32,0.175571203232,0.24451200664,11.6647830755,8.37586680564,9.66449142936e-14,9.94482274308e-14,0,52,5635.52933306
bem,2048,fp64_equivalent,0.343715190887,0.403744012117,5.9584215487,5.07252104931,9.66449142936e-14,9.94482274308e-14,0,52,5635.52933306
bem,8192,df32,0.17618240416,0.25900799036,46.4972653713,31.6283678685,9.73943148352e-14,1.00586206031e-13,0,52,23613.1492477
bem,8192,fp64_equivalent,0.34441280365,0.414272010326,23.7854107431,19.7744472129,9.73943148352e-14,1.00586206031e-13,0,52,23613.1492477
bem,32768,df32,0.177952006459,0.371583998203,184.139536564,88.1846370092,9.73943148352e-14,1.0280665208e-13,0,52,95193.2216366
bem,32768,fp64_equivalent,0.335743993521,0.535744011402,97.5981719178,61.1635394939,9.73943148352e-14,1.0280665208e-13,0,52,95193.2216366
bem,131072,df32,0.515936017036,1.15267205238,254.047005194,113.711440933,9.75608482889e-14,1.75581771344e-13,0,52,293373.189708
bem,131072,fp64_equivalent,1.26595199108,1.92729604244,103.536311743,68.0082338746,9.75608482889e-14,1.75581771344e-13,0,52,293373.189708
bem,524288,df32,1.63676798344,3.99568009377,320.319071063,131.213707729,9.75608482889e-14,1.75581771344e-13,0,52,293373.189708
bem,524288,fp64_equivalent,4.45657587051,6.58934402466,117.64368323,79.566038446,9.75608482889e-14,1.75581771344e-13,0,52,293373.189708
bem,2097152,df32,6.46460819244,15.4340162277,324.405120553,135.878566477,9.75608482889e-14,1.75581771344e-13,0,52,293373.189708
bem,2097152,fp64_equivalent,17.0324802399,25.5664634705,123.126636313,82.0274576663,9.75608482889e-14,1.75581771344e-13,0,52,293373.189708
bem,8388608,df32,26.1241607666,60.7984008789,321.105358176,137.97415522,9.75608482889e-14,1.75581771344e-13,0,52,293373.189708
bem,8388608,fp64_equivalent,67.2819519043,102.460700989,124.678428056,81.8714679779,9.75608482889e-14,1.75581771344e-13,0,52,293373.189708
bem,16777216,df32,52.4192314148,122.20854187,320.05841267,137.283497072,9.75608482889e-14,1.75581771344e-13,0,52,293373.189708
bem,16777216,fp64_equivalent,134.021148682,205.439331055,125.183347293,81.6650634222,9.75608482889e-14,1.75581771344e-13,0,52,293373.189708
kepler,1,df32,0.0490739196539,0.0513631999493,0.0203774226117,0.0194691919699,4.51028103754e-14,4.51028103754e-14,0,48,0.0595829657091
kepler,1,fp64_equivalent,0.0222223997116,0.0252543985844,0.0449996405869,0.0395970625339,4.51028103754e-14,4.51028103754e-14,0,12,0.0595829657091
kepler,8,df32,0.0531916804612,0.0610847994685,0.150399459664,0.13096547864,3.90798504668e-14,4.51028103754e-14,0,48,71.9263897774
kepler,8,fp64_equivalent,0.0232678391039,0.0257824007422,0.343822215903,0.310289180593,3.90798504668e-14,4.51028103754e-14,0,10,71.9263897774
kepler,32,df32,0.0592848025262,0.0732543990016,0.539767337267,0.436833834365,6.97220059465e-14,2.97813856909e-13,0,52,447.458383108
kepler,32,fp64_equivalent,0.0316553600132,0.0368352010846,1.01088725532,0.868734228612,6.97220059465e-14,2.97813856909e-13,0,17,447.458383108
kepler,128,df32,0.0590473599732,0.0731744021177,2.1677514466,1.74924558719,2.50509682442e-13,6.70489705423e-13,0,52,1724.55615534
kepler,128,fp64_equivalent,0.0335606411099,0.0474303998053,3.81399150215,2.69869114588,2.50509682442e-13,6.70489705423e-13,0,17,1724.55615534
kepler,512,df32,0.0752860754728,0.0859040021896,6.80072638645,5.96014140144,2.61863447593e-13,7.19250180248e-13,0,52,6968.58034376
kepler,512,fp64_equivalent,0.0572297610343,0.0731519982219,8.94639416183,6.99912527949,2.61863447593e-13,7.19250180248e-13,0,18,6968.58034376
kepler,2048,df32,0.0733119994402,0.0869759991765,27.9353996022,23.5467257564,4.66708269253e-13,1.72702564055e-12,0,52,28210.7605264
kepler,2048,fp64_equivalent,0.057392001152,0.0721599981189,35.6844152302,28.3813754627,4.66708269253e-13,1.72702564055e-12,0,18,28210.7605264
kepler,8192,df32,0.0738848000765,0.120255999267,110.875308474,68.1213415541,4.92110692474e-13,1.72702564055e-12,0,52,112785.479077
kepler,8192,fp64_equivalent,0.0588895976543,0.137567996979,139.107759711,59.5487335711,4.92110692474e-13,1.72702564055e-12,0,18,112785.479077
kepler,32768,df32,0.0758399963379,0.230783998966,432.067531412,141.985580226,4.72495306769e-13,2.63940345274e-12,0,52,449644.306977
kepler,32768,fp64_equivalent,0.0602560006082,0.218143999577,543.81305877,150.212703827,4.72495306769e-13,2.63940345274e-12,0,18,449644.306977
kepler,131072,df32,0.23388800025,0.807519972324,560.404979563,162.31425165,4.70054550838e-13,2.64345663414e-12,0,52,1371436.38426
kepler,131072,fp64_equivalent,0.223072007298,0.798367977142,587.577085926,164.174921531,4.70054550838e-13,2.64345663414e-12,0,18,1371436.38426
kepler,524288,df32,0.730304002762,3.10768008232,717.903774342,168.707198332,4.70054550838e-13,2.64345663414e-12,0,52,1371436.38426
kepler,524288,fp64_equivalent,0.702304005623,2.98310399055,746.525715078,175.75250533,4.70054550838e-13,2.64345663414e-12,0,18,1371436.38426
kepler,2097152,df32,2.88950395584,11.7405757904,725.782705976,178.624288743,4.70054550838e-13,2.64345663414e-12,0,52,1371436.38426
kepler,2097152,fp64_equivalent,2.78297591209,11.7297277451,753.564553285,178.789486472,4.70054550838e-13,2.64345663414e-12,0,18,1371436.38426
kepler,8388608,df32,11.764831543,46.9415054321,713.024064081,178.703429359,4.70054550838e-13,2.64345663414e-12,0,52,1371436.38426
