p,test_best_mode,test_best_ms,rtx5090_frozen_mode,rtx5090_frozen_ms,frozen_regret_percent,frozen_ci95_low_percent,frozen_ci95_high_percent,cal_best_mode,cal_choice_test_ms,calibrated_regret_percent,calibrated_ci95_low_percent,calibrated_ci95_high_percent,failures
0.0,inline,4.93657589,inline,4.93875217,0.05316454624280098,0.041485370271820976,0.08300537836460897,inline,4.93657589,0.0,-0.03111661039861824,0.03177379457386387,0
0.001,block_local,11.5722237,block_local,11.4759684,-0.8672165325786851,-2.661955184714726,1.4515812309466192,block_local,11.5722237,0.0,-2.0103765910474913,2.0518031274367132,0
0.01,block_local,25.1914234,block_local,25.1207676,-0.21171935394169727,-1.3662289971042907,0.8781338647804837,block_local,25.1914234,0.0,-0.976385035365912,0.9876141056188725,0
0.05,global_compact,47.5546875,global_compact,47.5082245,-0.10135941899674927,-0.9145326471309168,0.7337839875472429,global_compact,47.5546875,0.0,-0.9625115093925274,0.926255904888662,0
0.1,block_local,75.0252151,block_local,75.0510101,0.019819184763947284,-0.31885980450758744,0.48973335463944334,block_local,75.0252151,0.0,-0.3329345325951527,0.3286005999150632,0
0.25,global_compact,166.986755,block_local,167.182343,0.14141497077142517,-0.5470585410700113,0.726136702072977,block_local,167.791489,0.48891094434655447,-0.3379567749022594,1.0674523523593216,0
0.5,global_compact,317.642761,block_local,317.761292,0.04753752497057562,-0.15619231565086045,0.31283015724785646,global_compact,317.642761,0.0,-0.25140658133906424,0.2505480996991549,0
0.75,block_local,460.821503,global_compact,465.114868,0.9312213994717267,0.6437404194519658,1.0586491395448316,block_local,460.821503,0.0,-0.2324942672509156,0.2403616814565801,0
1.0,block_local,619.68689,inline,624.612366,0.794274877495238,0.6953998283969032,0.870297750416893,block_local,619.68689,0.0,-0.058220139085163325,0.060919757416977305,0
