method,kernel_median_ms,e2e_median_ms,fp64_over_method_kernel,kernel_ci95_low,kernel_ci95_high,fp64_over_method_e2e,e2e_ci95_low,e2e_ci95_high,fp32,df32,fp64,solver_failures
fp64_compacted,637.053833,642.973022,1.0,0.9990649734996888,1.0009471714595848,1.0,0.9989609681276271,1.0010480784009657,0,0,2448000,0
fixed_df32,93.3732452,98.8965759,6.822901766542867,6.811993485276104,6.843890519247071,6.500462088955828,6.493481737086261,6.513300508125637,0,2448000,0,888
threshold_adaptive,107.601822,113.094208,5.921779524330523,5.88723867279013,5.933278844881305,5.684619554009288,5.66494166972946,5.725797796334718,0,2447017,983,0
certificate_root_branch,264.116211,269.492157,2.4120837157516384,2.4076541288930673,2.4140916679479814,2.38575839537367,2.378389085388813,2.3897660600170165,204279,2107668,136053,0
certificate_root_branch_gradient,294.56897,300.604584,2.162644377660947,2.160427722886134,2.16500874884765,2.1388128597614773,2.131093620279802,2.1424918214419417,201120,2110820,136060,0
