domain,n,mode,repetition,time_ms,throughput_mroots_s,checksum,nonfinite
bem,1,omp_parallel_simd,0,0.0681800842285,0.0146670396688,0.12307233740234183,0
bem,8,omp_parallel_simd,0,0.0823793411255,0.0971117259583,8.033630044887845,0
bem,32,omp_parallel_simd,0,0.277250289917,0.115419175971,39.746720201545187,0
bem,128,omp_parallel_simd,0,1.05152988434,0.1217274011,303.74111367175885,0
bem,512,omp_parallel_simd,0,4.14182186127,0.12361709826,1436.1135911046765,0
bem,2048,omp_parallel_simd,0,16.2208881378,0.126256958472,5635.5293330603863,0
bem,8192,omp_parallel_simd,0,64.8262004852,0.126368658639,23613.149247674632,0
bem,32768,omp_parallel_simd,0,262.292854309,0.124929061016,95193.221636595292,0
bem,131072,omp_parallel_simd,0,1059.73888588,0.1236832976,384749.15279506525,0
kepler,1,omp_parallel_simd,0,0.0371208190918,0.0269390607337,0.059582965709126884,0
kepler,8,omp_parallel_simd,0,0.0696601867676,0.114843217787,71.926389777377921,0
kepler,32,omp_parallel_simd,0,0.242219924927,0.13211134472,447.45838310789838,0
kepler,128,omp_parallel_simd,0,0.95620059967,0.133863124583,1724.5561553367311,0
kepler,512,omp_parallel_simd,0,3.59372138977,0.142470699442,6968.5803437638488,0
kepler,2048,omp_parallel_simd,0,14.5625572205,0.140634640537,28210.760526415987,0
kepler,8192,omp_parallel_simd,0,58.1660985947,0.140838051682,112785.47907679844,0
kepler,32768,omp_parallel_simd,0,232.089820862,0.141186717618,449644.30697732151,0
kepler,131072,omp_parallel_simd,0,926.737802505,0.141433747113,1798044.7978873875,0
pv,1,omp_parallel_simd,0,0.0432500839233,0.023121342418,7.4442028337114401,0
pv,8,omp_parallel_simd,0,0.08021068573,0.0997373345857,159.97450671518635,0
pv,32,omp_parallel_simd,0,0.31056022644,0.103039595143,1302.5552023959826,0
pv,128,omp_parallel_simd,0,1.15414047241,0.110905044108,5992.4286145423757,0
pv,512,omp_parallel_simd,0,4.66965198517,0.109644145137,25877.13960240634,0
pv,2048,omp_parallel_simd,0,18.707239151,0.109476336057,106226.46810889656,0
pv,8192,omp_parallel_simd,0,75.6314058304,0.108314792117,424574.89001095772,0
pv,32768,omp_parallel_simd,0,302.964075089,0.108158038178,1687236.0336131039,0
pv,131072,omp_parallel_simd,0,1211.59331799,0.108181514419,6727187.495381535,0
cstr,1,omp_parallel_simd,0,0.0407600402832,0.0245338324754,0.013106352800953767,0
cstr,8,omp_parallel_simd,0,0.154479980469,0.0517866455946,22.058765054855357,0
cstr,32,omp_parallel_simd,0,0.699730873108,0.0457318681079,120.87218746343281,0
cstr,128,omp_parallel_simd,0,2.71379089355,0.0471664933006,443.74573600886015,0
cstr,512,omp_parallel_simd,0,10.8072452545,0.0473756251424,1903.8425169216659,0
cstr,2048,omp_parallel_simd,0,42.795340538,0.0478556771427,7443.1532358909753,0
cstr,8192,omp_parallel_simd,0,170.290480614,0.0481060360537,29965.189146559278,0
cstr,32768,omp_parallel_simd,0,683.440256119,0.0479456685594,121389.68207502534,0
cstr,131072,omp_parallel_simd,0,2736.98025608,0.0478892749441,487550.60778930265,0
peng_robinson,1,omp_parallel_simd,0,0.0413503646851,0.0241835835697,0.067192692122296227,0
peng_robinson,8,omp_parallel_simd,0,0.0869302749634,0.092027777473,8.1645205385538482,0
peng_robinson,32,omp_parallel_simd,0,0.0411806106567,0.777064727542,72.839711332787246,0
peng_robinson,128,omp_parallel_simd,0,0.0612297058105,2.09048856769,269.49845284317502,0
peng_robinson,512,omp_parallel_simd,0,0.166290283203,3.07895320242,1295.4923158087956,0
peng_robinson,2048,omp_parallel_simd,0,0.589861869812,3.47199930155,5267.5126141809124,0
peng_robinson,8192,omp_parallel_simd,0,2.28193092346,3.58994214758,21388.201857235508,0
peng_robinson,32768,omp_parallel_simd,0,9.07878398895,3.60929393627,86371.559376896927,0
peng_robinson,131072,omp_parallel_simd,0,36.3040771484,3.61039338541,346451.63202746306,0
