timestamp, index, name, temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%]
2026/08/24 16:39:26.488, 1, NVIDIA GeForce RTX 5090, 37, 14.25 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:26.691, 0, NVIDIA GeForce RTX 5090, 54, 227.95 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:26.692, 1, NVIDIA GeForce RTX 5090, 37, 14.25 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:26.896, 0, NVIDIA GeForce RTX 5090, 54, 227.95 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:26.896, 1, NVIDIA GeForce RTX 5090, 37, 14.25 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:27.100, 0, NVIDIA GeForce RTX 5090, 54, 227.35 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:27.101, 1, NVIDIA GeForce RTX 5090, 37, 14.25 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:27.304, 0, NVIDIA GeForce RTX 5090, 54, 227.35 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:27.305, 1, NVIDIA GeForce RTX 5090, 37, 14.19 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:27.508, 0, NVIDIA GeForce RTX 5090, 54, 227.35 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:27.508, 1, NVIDIA GeForce RTX 5090, 37, 14.19 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:27.712, 0, NVIDIA GeForce RTX 5090, 54, 227.38 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:27.712, 1, NVIDIA GeForce RTX 5090, 37, 14.19 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:27.916, 0, NVIDIA GeForce RTX 5090, 54, 227.38 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:27.917, 1, NVIDIA GeForce RTX 5090, 37, 14.19 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:28.120, 0, NVIDIA GeForce RTX 5090, 54, 227.30 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:28.121, 1, NVIDIA GeForce RTX 5090, 37, 14.19 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:28.324, 0, NVIDIA GeForce RTX 5090, 54, 227.30 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:28.325, 1, NVIDIA GeForce RTX 5090, 37, 13.44 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:28.529, 0, NVIDIA GeForce RTX 5090, 54, 227.30 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:28.530, 1, NVIDIA GeForce RTX 5090, 37, 13.44 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:28.733, 0, NVIDIA GeForce RTX 5090, 54, 227.39 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:28.734, 1, NVIDIA GeForce RTX 5090, 37, 13.44 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:28.938, 0, NVIDIA GeForce RTX 5090, 54, 227.39 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:28.939, 1, NVIDIA GeForce RTX 5090, 37, 13.44 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:29.142, 0, NVIDIA GeForce RTX 5090, 53, 227.55 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:29.143, 1, NVIDIA GeForce RTX 5090, 37, 13.44 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:29.346, 0, NVIDIA GeForce RTX 5090, 53, 227.55 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:29.347, 1, NVIDIA GeForce RTX 5090, 37, 13.33 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:29.551, 0, NVIDIA GeForce RTX 5090, 53, 227.55 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:29.552, 1, NVIDIA GeForce RTX 5090, 37, 13.33 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:29.755, 0, NVIDIA GeForce RTX 5090, 54, 227.63 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:29.756, 1, NVIDIA GeForce RTX 5090, 37, 13.33 W, 600.00 W, 195 MHz, 405 MHz, 0 %
