domain,n,method,median_ms,throughput_mroots_s,max_root_error,p99_root_error,max_residual,correction_fraction,checksum
bem,1,gpu_adaptive,0.0145920002833,0.0685307004239,5.59225063201e-08,5.59225063201e-08,1.63387665675e-07,0,0.12307228148
bem,1,cpu_omp128,0.0353800132871,0.0282645456316,0,0,0,0,0
bem,8,gpu_adaptive,0.209120005369,0.0382555460721,5.59225063201e-08,3.75815609743e-08,1.63387665675e-07,0.25,8.03362983345
bem,8,cpu_omp128,0.0339411199093,0.235702299199,0,0,0,0,0
bem,32,gpu_adaptive,0.209984004498,0.152392559979,7.02435528077e-08,5.59225063201e-08,1.92525806297e-07,0.25,39.7467186248
bem,32,cpu_omp128,0.0340705737472,0.939226918733,0,0,0,0,0
bem,128,gpu_adaptive,0.234784007072,0.545181938055,7.02435528077e-08,5.59225063201e-08,1.07235375457,0.328125,303.741111663
bem,128,cpu_omp128,0.0354098156095,3.61481690308,0,0,0,0,0
bem,512,gpu_adaptive,0.406783998013,1.25865324718,9.06394931333e-08,5.59225063201e-08,1.29345107615,0.3984375,1436.113577
bem,512,cpu_omp128,1.10098533332,0.465037984161,0,0,0,0,0
bem,2048,gpu_adaptive,0.412256002426,4.9677869769,9.83336295723e-08,6.97025477336e-08,1.34698817003,0.42138671875,5635.52925058
bem,2048,cpu_omp128,0.112529844046,18.1996164428,0,0,0,0,0
bem,8192,gpu_adaptive,0.41465601325,19.7561345747,9.98588803869e-08,7.27846587445e-08,1.40995814017,0.426025390625,23613.148935
bem,8192,cpu_omp128,0.329420901835,24.8678816504,0,0,0,0,0
bem,32768,gpu_adaptive,0.420320004225,77.959649007,9.98588803869e-08,7.39700034003e-08,1.40995814017,0.4272,29182.139971
bem,32768,cpu_omp128,1.55528448522,21.0688142982,0,0,0,0,0
bem,131072,gpu_adaptive,1.61660802364,81.0784049584,9.98588803869e-08,7.39700034003e-08,1.40995814017,0.4272,29182.139971
bem,131072,cpu_omp128,6.13520201296,21.3639257066,0,0,0,0,0
bem,524288,gpu_adaptive,5.47747182846,95.7171513463,9.98588803869e-08,7.39700034003e-08,1.40995814017,0.4272,29182.139971
bem,524288,cpu_omp128,22.0765611157,23.7486263034,0,0,0,0,0
bem,2097152,gpu_adaptive,20.3041591644,103.286818381,9.98588803869e-08,7.39700034003e-08,1.40995814017,0.4272,29182.139971
bem,2097152,cpu_omp128,36.6379758343,57.2398434205,0,0,0,0,0
bem,8388608,gpu_adaptive,80.376739502,104.366114525,9.98588803869e-08,7.39700034003e-08,1.40995814017,0.4272,29182.139971
bem,8388608,cpu_omp128,143.948390149,58.2751081227,0,0,0,0,0
bem,16777216,gpu_adaptive,160.232192993,104.70565051,9.98588803869e-08,7.39700034003e-08,1.40995814017,0.4272,29182.139971
bem,16777216,cpu_omp128,201.503871009,83.260018361,0,0,0,0,0
kepler,1,gpu_adaptive,0.0985279977322,0.0101493993892,0,0,3.62530101425e-18,1,0.0595829657091
kepler,1,cpu_omp128,0.0337501987815,0.0296294551174,0,0,0,0,0
kepler,8,gpu_adaptive,0.104736000299,0.0763825234602,7.13513967909e-08,0,1.22759142851e-07,0.875,71.9263892779
kepler,8,cpu_omp128,0.0314498320222,0.254373377713,0,0,0,0,0
kepler,32,gpu_adaptive,0.116672001779,0.274273171901,8.51767190113e-08,7.13513967909e-08,1.39856183523e-07,0.9375,447.458382353
kepler,32,cpu_omp128,0.0325506553054,0.983083126892,0,0,0,0,0
kepler,128,gpu_adaptive,0.127872005105,1.00100096104,9.02800429969e-08,8.68365990225e-08,1.39856183523e-07,0.78125,1724.55615438
kepler,128,cpu_omp128,0.0343816354871,3.72291772007,0,0,0,0,0
kepler,512,gpu_adaptive,0.20684799552,2.47524757837,9.93858555454e-08,9.0109988804e-08,1.70136826405e-07,0.802734375,6968.58033881
kepler,512,cpu_omp128,0.0410713255405,12.4661182288,0,0,0,0,0
kepler,2048,gpu_adaptive,0.209472000599,9.7769630029,9.99793234868e-08,9.50697787161e-08,1.76014645081e-07,0.82080078125,28210.7605176
kepler,2048,cpu_omp128,0.0524800270796,39.0243701074,0,0,0,0,0
kepler,8192,gpu_adaptive,0.213791996241,38.317617797,9.99793234868e-08,9.34593584745e-08,1.88248315158e-07,0.829345703125,112785.479075
kepler,8192,cpu_omp128,0.197910703719,41.3924049891,0,0,0,0,0
kepler,32768,gpu_adaptive,0.214080005884,153.06427083,9.99793234868e-08,9.33492492194e-08,1.88248315158e-07,0.8279,137018.997901
kepler,32768,cpu_omp128,0.681491568685,48.0827665458,0,0,0,0,0
kepler,131072,gpu_adaptive,0.811968028545,161.425075116,9.99793234868e-08,9.33492492194e-08,1.88248315158e-07,0.8279,137018.997901
kepler,131072,cpu_omp128,2.6046698913,50.3219238791,0,0,0,0,0
