history_id,Da,gamma,beta,root_count,roots,selected_root,status
case0_unknown,0.0002887595614291884593612018047519381,88.35475208,20.49129565,3,0.00029039851662214121874683878205903377;0.41881547080434886195117838570378683;0.99979265101879461383114638192263421,,ROOT_BRANCH_AMBIGUOUS
case1_unknown,0.00054483091111096555880646146298503802,19.26544214,22.71097963,3,0.00055138780093313756995937117768106818;0.58373314983051885382750149923021474;0.92734139596545554254842220669723169,,ROOT_BRANCH_AMBIGUOUS
case2_unknown,0.000078512954233000849477263802874264385,27.3409361,74.11707092,3,0.000078967490021816793050311965957015234;0.14378415125808981535220871786727639;0.99997302841870505586776820681414726,,ROOT_BRANCH_AMBIGUOUS
