history_id,direction,step,Da,gamma,beta,root_count,roots,selected_root,selected_branch,crossed_fold,status
case0_cold_up,cold_up,0,0.0000016445274596041316585628859173192472,88.35475208,20.49129565,1,0.0000016445801757508016371661474260371187,0.0000016445801757508016371661474260371187,single,0,ROOT_OK
case0_cold_up,cold_up,1,0.0002887595614291884593612018047519381,88.35475208,20.49129565,3,0.00029039851662214121874683878205903377;0.41881547080434886195117838570378683;0.99979265101879461383114638192263421,0.00029039851662214121874683878205903377,low,1,ROOT_OK
case0_cold_up,cold_up,2,0.00057587459539877278706384072358655695,88.35475208,20.49129565,3,0.00058244852673544079870898026400169746;0.36578537697210442870009423924803901;0.99989616391766719703330700369265169,0.00058244852673544079870898026400169746,low,0,ROOT_OK
case0_cold_up,cold_up,3,0.0008629896293683571147664796424211758,88.35475208,20.49129565,3,0.00087787976359701786773289975358992817;0.33498108682581333184573451570568659;0.9999307399346094766646500951728262,0.00087787976359701786773289975358992817,low,0,ROOT_OK
case0_cold_up,cold_up,4,0.0011501046633379414424691185612557946,88.35475208,20.49129565,3,0.0011767809027357799687546430406778309;0.31315722873829670629214181515439475;0.99994804143273533772597568207298888,0.0011767809027357799687546430406778309,low,0,ROOT_OK
case0_cold_up,cold_up,5,0.0014372196973075257701717574800904135,88.35475208,20.49129565,3,0.0014792443452328773138527951198048003;0.29621582596355389004841491348838349;0.99995842665378027904748331872316849,0.0014792443452328773138527951198048003,low,0,ROOT_OK
case0_cold_up,cold_up,6,0.0017243347312771100978743963989250323,88.35475208,20.49129565,3,0.001785366435982010011964567983787778;0.28234563046974788587121213671915149;0.99996535193665124397355879856482309,0.001785366435982010011964567983787778,low,0,ROOT_OK
case0_cold_up,cold_up,7,0.0020114497652466944255770353177596512,88.35475208,20.49129565,3,0.0020952476985029815404089043154800731;0.27058571795837469394088568754288622;0.99997029945037135359806699231442727,0.0020952476985029815404089043154800731,low,0,ROOT_OK
case0_cold_up,cold_up,8,0.00229856479921627875327967423659427,88.35475208,20.49129565,3,0.0024089930878605280304842053870527178;0.26036485024863244013412152330074091;0.99997401056875899847821855516297171,0.0024089930878605280304842053870527178,low,0,ROOT_OK
case0_cold_up,cold_up,9,0.0025856798331858630809823131554288889,88.35475208,20.49129565,3,0.0027267122634148123393281478790507131;0.25131574645386641965000482601207289;0.9999768972805189887812162061372418,0.0027267122634148123393281478790507131,low,0,ROOT_OK
case0_cold_up,cold_up,10,0.0028727948671554474086849520742635078,88.35475208,20.49129565,3,0.0030485198833272784885973280695014114;0.24318827041715139080098948352782101;0.99997920683035856626925830194959673,0.0030485198833272784885973280695014114,low,0,ROOT_OK
case0_cold_up,cold_up,11,0.0031599099011250317363875909930981266,88.35475208,20.49129565,3,0.0033745359229692942804928336732224288;0.23580437689645350526796263593932416;0.99998109658135632466781440648575074,0.0033745359229692942804928336732224288,low,0,ROOT_OK
case0_cold_up,cold_up,12,0.0034470249350946160640902299119327455,88.35475208,20.49129565,3,0.0037048860196352454952554549815147481;0.22903282050145816291668918914314049;0.99998267145589030215484454086651792,0.0037048860196352454952554549815147481,low,0,ROOT_OK
case0_cold_up,cold_up,13,0.0037341399690642003917928688307673643,88.35475208,20.49129565,3,0.0040397018462512772448365224002391773;0.22277406145631830352721064647347713;0.99998400410029043417702990533008277,0.0040397018462512772448365224002391773,low,0,ROOT_OK
case0_cold_up,cold_up,14,0.0040212550030337847194955077496019832,88.35475208,20.49129565,3,0.0043791215171013567331744316039878435;0.21695080212704152195269424144101618;0.99998514640942572533243533879750229,0.0043791215171013567331744316039878435,low,0,ROOT_OK
case0_cold_up,cold_up,15,0.004308370037003369047198146668436602,88.35475208,20.49129565,3,0.0047232900289704358454139885684746282;0.21150180838086129441610975808006833;0.99998613644241681751641359063020317,0.0047232900289704358454139885684746282,low,0,ROOT_OK
case0_cold_up,cold_up,16,0.0045954850709729533749007855872712209,88.35475208,20.49129565,3,0.0050723597415381407502971982185789298;0.20637773620899432732735427328023114;0.99998700274546283901189827893145735,0.0050723597415381407502971982185789298,low,0,ROOT_OK
case0_cold_up,cold_up,17,0.0048826001049425377026034245061058397,88.35475208,20.49129565,3,0.0054264909013550276050229604914255935;0.20153823014586125556904489118832837;0.9999877671492451205837538787319036,0.0054264909013550276050229604914255935,low,0,ROOT_OK
case0_cold_up,cold_up,18,0.0051697151389121220303060634249404586,88.35475208,20.49129565,3,0.0057858522143082564484252819469402013;0.19694985503575493359778681778724152;0.99998844663402490133841799040058068,0.0057858522143082564484252819469402013,low,0,ROOT_OK
case0_cold_up,cold_up,19,0.0054568301728817063580087023437750774,88.35475208,20.49129565,3,0.0061506214721480030063535171359659311;0.1925845894588919311415029416915418;0.99998905460585969227613680378061724,0.0061506214721480030063535171359659311,low,0,ROOT_OK
case0_cold_up,cold_up,20,0.0057439452068512906857113412626096963,88.35475208,20.49129565,3,0.006520986239416212214635930274843558;0.1884187071330508868156901708218714;0.99998960179001456136675871753164602,0.006520986239416212214635930274843558,low,0,ROOT_OK
case0_cold_up,cold_up,21,0.0060310602408208750134139801814443151,88.35475208,20.49129565,3,0.0068971446080148829956358871630740354;0.18443193218564461597259328788165665;0.99999009686915104296741485829411121,0.0068971446080148829956358871630740354,low,0,ROOT_OK
case0_cold_up,cold_up,22,0.006318175274790459341116619100278934,88.35475208,20.49129565,3,0.0072793060276955412932752168218534375;0.18060679150195450594128759733494406;0.99999054694748925458842611013292064,0.0072793060276955412932752168218534375,low,0,ROOT_OK
case0_cold_up,cold_up,23,0.0066052903087600436688192580191135528,88.35475208,20.49129565,3,0.007667692221973554497797909412068261;0.17692811134350135527291656072555141;0.99999095789390069962942290360197278,0.007667692221973554497797909412068261,low,0,ROOT_OK
case0_cold_up,cold_up,24,0.0068924053427296279965218969379481717,88.35475208,20.49129565,3,0.0080625382004054092436855240375149641;0.17338262121905236835863178103675184;0.99999133459923904059815303028254703,0.0080625382004054092436855240375149641,low,0,ROOT_OK
case0_cold_up,cold_up,25,0.0071795203766992123242245358567827905,88.35475208,20.49129565,3,0.0084640933798568224400676147269094357;0.16995863860326077462947237266524557;0.99999168117191920877595296048568658,0.0084640933798568224400676147269094357,low,0,ROOT_OK
case0_cold_up,cold_up,26,0.0074666354106687966519271747756174094,88.35475208,20.49129565,3,0.0088726228293872520294128492279296656;0.16664581536786489972619326876640679;0.9999920010883682994918603901578251,0.0088726228293872520294128492279296656,low,0,ROOT_OK
case0_cold_up,cold_up,27,0.0077537504446383809796298136944520282,88.35475208,20.49129565,3,0.0092884086557471252063321242181091967;0.16343493185681673607354970951122187;0.99999229731004680593838943662364345,0.0092884086557471252063321242181091967,low,0,ROOT_OK
case0_cold_up,cold_up,28,0.0080408654786079653073324526132866471,88.35475208,20.49129565,3,0.0097117515493087755417141802711007751;0.160317728123072063936367216639429;0.99999257237539667388944983940458097,0.0097117515493087755417141802711007751,low,0,ROOT_OK
case0_cold_up,cold_up,29,0.0083279805125775496350350915321212659,88.35475208,20.49129565,3,0.010142972513631631680211972438953942;0.15728676441974687065176909907480801;0.99999282847276767163661380379125683,0.010142972513631631680211972438953942,low,0,ROOT_OK
case0_cold_up,cold_up,30,0.0086150955465471339627377304509558848,88.35475208,20.49129565,3,0.010582414805923330398197360899845777;0.15433530491117523793575780260223254;0.999993067498760005783115201724743,0.010582414805923330398197360899845777,low,0,ROOT_OK
case0_cold_up,cold_up,31,0.0089022105805167182904403693697905036,88.35475208,20.49129565,3,0.011030446120561036297603805474171946;0.15145721994755962285095045288961822;0.99999329110527595659488977342470805,0.011030446120561036297603805474171946,low,0,ROOT_OK
case0_cold_up,cold_up,32,0.0091893256144863026181430082886251225,88.35475208,20.49129565,3,0.011487461053784320217429189159516077;0.14864690327170020691790707568218811;0.99999350073775019359684616557095003,0.011487461053784320217429189159516077,low,0,ROOT_OK
case0_cold_up,cold_up,33,0.0094764406484558869458456472074597413,88.35475208,20.49129565,3,0.011953883894921735095049959214345531;0.14589920129531444761311863236047225;0.99999369766642978319440200883902042,0.011953883894921735095049959214345531,low,0,ROOT_OK
case0_cold_up,cold_up,34,0.0097635556824254712735482861262943602,88.35475208,20.49129565,3,0.01243017179840101617858897766102551;0.14320935216393555359433485512423477;0.99999388301213470251064683365021844,0.01243017179840101617858897766102551,low,0,ROOT_OK
case0_cold_up,cold_up,35,0.010050670716395055601250925045128979,88.35475208,20.49129565,3,0.012916818401749008466645108062324894;0.14057293277150964341126721114106712;0.99999405776760265959616657366220567,0.012916818401749008466645108062324894,low,0,ROOT_OK
case0_cold_up,cold_up,36,0.010337785750364639928953563963963598,88.35475208,20.49129565,3,0.013414357968374393989436566281706891;0.13798581222292969774754803488112803;0.99999422281527675254470693200390381,0.013414357968374393989436566281706891,low,0,ROOT_OK
case0_cold_up,cold_up,37,0.010624900784334224256656202882798217,88.35475208,20.49129565,3,0.013923370150882890927409928220720374;0.13544411049942214839797734045855105;0.99999437894220888707582734993494513,0.013923370150882890927409928220720374,low,0,ROOT_OK
case0_cold_up,cold_up,38,0.010912015818303808584358841801632836,88.35475208,20.49129565,3,0.014444485491979321219147549565730872;0.13294416127550486045203729626128686;0.99999452685261021652430242714498829,0.014444485491979321219147549565730872,low,0,ROOT_OK
case0_cold_up,cold_up,39,0.011199130852273392912061480720467454,88.35475208,20.49129565,3,0.014978391806970865227888192807452555;0.13048247797957200519492655314581889;0.99999466717847089969313153825366059,0.014978391806970865227888192807452555,low,0,ROOT_OK
case0_cold_up,cold_up,40,0.011486245886242977239764119639302073,88.35475208,20.49129565,3,0.015525841626262948077788758766501985;0.12805572229150490303873293690868446;0.99999480048858701953662212232228809,0.015525841626262948077788758766501985,low,0,ROOT_OK
case0_cold_up,cold_up,41,0.011773360920212561567466758558136692,88.35475208,20.49129565,3,0.016087660920432059513957929332045968;0.12566067433536171057603528656074723;0.99999492729626659008765950259382344,0.016087660920432059513957929332045968,low,0,ROOT_OK
case0_cold_up,cold_up,42,0.012060475954182145895169397476971311,88.35475208,20.49129565,3,0.016664759387767524810618952849647204;0.12329420385570544580840432418647069;0.99999504806593478720079249779487861,0.016664759387767524810618952849647204,low,0,ROOT_OK
case0_cold_up,cold_up,43,0.01234759098815173022287203639580593,88.35475208,20.49129565,3,0.017258142659185524646778742382387001;0.12095324166236469189117272214929421;0.99999516321881758620524933386263767,0.017258142659185524646778742382387001,low,0,ROOT_OK
case0_cold_up,cold_up,44,0.012634706022121314550574675314640549,88.35475208,20.49129565,3,0.017868926874592622856946683264594899;0.11863475058736088041453400617021404;0.99999527313785041313244212764794016,0.017868926874592622856946683264594899,low,0,ROOT_OK
case0_cold_up,cold_up,45,0.012921821056090898878277314233475168,88.35475208,20.49129565,3,0.018498356217322358368930949719047733;0.11633569511283255663432710296736177;0.99999537817193235458623831824515599,0.018498356217322358368930949719047733,low,0,ROOT_OK
case0_cold_up,cold_up,46,0.013208936090060483205979953152309786,88.35475208,20.49129565,3,0.019147824172502203745410389718138771;0.11405300868880096607277057060807786;0.99999547863962550838942123660112138,0.019147824172502203745410389718138771,low,0,ROOT_OK
case0_cold_up,cold_up,47,0.013496051124030067533682592071144405,88.35475208,20.49129565,3,0.019818899520671736612096797664360751;0.11178355754663863246424931417519642;0.99999557483238210811690751643987971,0.019818899520671736612096797664360751,low,0,ROOT_OK
case0_cold_up,cold_up,48,0.013783166157999651861385230989979024,88.35475208,20.49129565,3,0.020513358418820624812058100167933756;0.10952409950025371008381198846333389;0.9999956670173682833382332944585096,0.020513358418820624812058100167933756,low,0,ROOT_OK
case0_cold_up,cold_up,49,0.014070281191969236189087869908813643,88.35475208,20.49129565,3,0.021233224401523207209540844902762971;0.10727123576903093335905920787693212;0.99999575543994207536263473919928127,0.021233224401523207209540844902762971,low,0,ROOT_OK
case0_cold_up,cold_up,50,0.014357396225938820516790508827648262,88.35475208,20.49129565,3,0.021980818823581509988038783444184164;0.10502135318672152374611747745177222;0.99999584032583410968958645206748902,0.021980818823581509988038783444184164,low,0,ROOT_OK
case0_cold_up,cold_up,51,0.014644511259908404844493147746482881,88.35475208,20.49129565,3,0.022758825271037222097312851970701296;0.10277055317091441200258088228029366;0.99999592188307173448755379108721537,0.022758825271037222097312851970701296,low,0,ROOT_OK
case0_cold_up,cold_up,52,0.014931626293877989172195786665317499,88.35475208,20.49129565,3,0.023570372965348284234761279048319948;0.10051456234320169647350441138790684;0.99999600030368115644385577957168684,0.023570372965348284234761279048319948,low,0,ROOT_OK
case0_cold_up,cold_up,53,0.015218741327847573499898425584152118,88.35475208,20.49129565,3,0.024419146468357283614525836892341357;0.098248617418687174899915168246690632;0.99999607576519689335784027598647243,0.024419146468357283614525836892341357,low,0,ROOT_OK
case0_cold_up,cold_up,54,0.015505856361817157827601064502986737,88.35475208,20.49129565,3,0.025309532564438091927022542831809033;0.095967313424391968922803834002789128;0.99999614843200351949036719598900209,0.025309532564438091927022542831809033,low,0,ROOT_OK
case0_cold_up,cold_up,55,0.015792971395786742155303703421821356,88.35475208,20.49129565,3,0.026246820938468264877796211239775435;0.093664398572093331861016999071875106;0.99999621845653104701449444163582334,0.026246820938468264877796211239775435,low,0,ROOT_OK
case0_cold_up,cold_up,56,0.016080086429756326483006342340655975,88.35475208,20.49129565,3,0.027237484817058407425471811125106189;0.091332489569401818494296358720333661;0.9999962859803222380332241737383079,0.027237484817058407425471811125106189,low,0,ROOT_OK
case0_cold_up,cold_up,57,0.016367201463725910810708981259490594,88.35475208,20.49129565,3,0.028289584233828902948013205702024829;0.088962664665575153925104951863423582;0.99999635113498757412667778504869354,0.028289584233828902948013205702024829,low,0,ROOT_OK
case0_cold_up,cold_up,58,0.016654316497695495138411620178325213,88.35475208,20.49129565,3,0.029413364359880937622781286987660609;0.086543861953419400050380499416275359;0.99999641404306144127181614781939653,0.029413364359880937622781286987660609,low,0,ROOT_OK
case0_cold_up,cold_up,59,0.016941431531665079466114259097159831,88.35475208,20.49129565,3,0.030622178011934760522599050784154929;0.084061953781797248722155158470034185;0.99999647481877124972363340968263549,0.030622178011934760522599050784154929,low,0,ROOT_OK
case0_cold_up,cold_up,60,0.01722854656563466379381689801599445,88.35475208,20.49129565,3,0.031933976345071981508537372573384692;0.081498253242689211067244281449478987;0.99999653356872964591632401440100696,0.031933976345071981508537372573384692,low,0,ROOT_OK
case0_cold_up,cold_up,61,0.017515661599604248121519536934829069,88.35475208,20.49129565,3,0.033373863583585153719593442778099299;0.07882695685356160848461555612735974;0.99999659039255864143795410739727759,0.033373863583585153719593442778099299,low,0,ROOT_OK
case0_cold_up,cold_up,62,0.017802776633573832449222175853663688,88.35475208,20.49129565,3,0.034978821172070939706953086748635652;0.076010418030097101281698269607354773;0.99999664538345334547300921292169283,0.034978821172070939706953086748635652,low,0,ROOT_OK
