method,n,root_p99,root_max,residual_max,wrong_gt_1e-7,wrong_branch_gt_1e-3,nonfinite
bisection,3000,6.0853202477062496e-09,2.1791425108830254e-08,4.9961095443639595e-10,0,0,0
brent,3000,2.4376451968066704e-09,1.2878804689364642e-08,4.979433183174453e-10,0,0,0
illinois,3000,6.0853202477062496e-09,2.1791425108830254e-08,4.9961095443639595e-10,0,0,0
fixed44,3000,3.1086244689504383e-15,1.3011813848606835e-13,2.2487413165486401e-14,0,0,0
adaptive_compacted,3000,2.4376451968066704e-09,1.2878804689364642e-08,4.979433183174453e-10,0,0,0
