domain,n,method,median_ms,throughput_mroots_s,max_root_error,p99_root_error,max_residual,correction_fraction,checksum
kepler,16777216,cpu_omp128,185.462089255,90.4617006492,0,0,0,0,0
pv,1,gpu_adaptive,0.143583998084,0.00696456438979,0,0,1.73472347598e-16,1,7.44420283371
pv,1,cpu_omp128,0.0307597219944,0.0325100467482,0,0,0,0,0
pv,8,gpu_adaptive,0.144480004907,0.0553709837231,0,0,3.60753094064e-14,1,159.974506715
pv,8,cpu_omp128,0.030530616641,0.262032047831,0,0,0,0,0
pv,32,gpu_adaptive,0.146559998393,0.218340613748,8.86437518943e-08,8.16176140006e-08,3.7552885097e-07,0.9375,1302.55520001
pv,32,cpu_omp128,0.0317301601171,1.00850420804,0,0,0,0,0
pv,128,gpu_adaptive,0.155936002731,0.820849564937,8.95704292958e-08,8.16176140006e-08,3.7552885097e-07,0.9453125,5992.42861303
pv,128,cpu_omp128,0.0381413847208,3.35593479201,0,0,0,0,0
pv,512,gpu_adaptive,0.261343985796,1.95910381653,9.26182863736e-08,8.16176140006e-08,3.7552885097e-07,0.9296875,25877.139605
pv,512,cpu_omp128,0.0436995178461,11.7163764095,0,0,0,0,0
pv,2048,gpu_adaptive,0.262015998363,7.81631660964,9.98087257287e-08,8.59331814596e-08,4.18476226446e-07,0.94091796875,106226.468108
pv,2048,cpu_omp128,0.0607399269938,33.7175248862,0,0,0,0,0
pv,8192,gpu_adaptive,0.270208001137,30.317384998,9.98087257287e-08,8.30853092992e-08,4.56462728005e-07,0.939575195312,424574.890022
pv,8192,cpu_omp128,0.130411237478,62.8166725384,0,0,0,0,0
pv,32768,gpu_adaptive,0.272448003292,120.272490912,9.98087257287e-08,8.37144042976e-08,4.56462728005e-07,0.9383,516510.196253
pv,32768,cpu_omp128,0.439260154963,74.5981615446,0,0,0,0,0
pv,131072,gpu_adaptive,0.985599994659,132.987013708,9.98087257287e-08,8.37144042976e-08,4.56462728005e-07,0.9383,516510.196253
pv,131072,cpu_omp128,1.68944522738,77.5828644075,0,0,0,0,0
pv,524288,gpu_adaptive,3.19955205917,163.862937781,9.98087257287e-08,8.37144042976e-08,4.56462728005e-07,0.9383,516510.196253
pv,524288,cpu_omp128,3.72970383614,140.570946926,0,0,0,0,0
pv,2097152,gpu_adaptive,12.6096963882,166.312648253,9.98087257287e-08,8.37144042976e-08,4.56462728005e-07,0.9383,516510.196253
pv,2097152,cpu_omp128,15.0863239542,139.010139672,0,0,0,0,0
pv,8388608,gpu_adaptive,49.1451530457,170.690444126,9.98087257287e-08,8.37144042976e-08,4.56462728005e-07,0.9383,516510.196253
pv,8388608,cpu_omp128,60.4983884841,138.658371077,0,0,0,0,0
pv,16777216,gpu_adaptive,98.3224639893,170.634617149,9.98087257287e-08,8.37144042976e-08,4.56462728005e-07,0.9383,516510.196253
pv,16777216,cpu_omp128,121.143287048,138.490678343,0,0,0,0,0
cstr,1,gpu_adaptive,0.135008007288,0.0074069680761,0,0,1.11022302463e-16,1,0.53045109563
cstr,1,cpu_omp128,0.0314097851515,0.0318372123584,0,0,0,0,0
cstr,8,gpu_adaptive,0.152224004269,0.052554129281,2.67147850508e-08,7.02982710932e-09,2.52290931479e-08,0.75,31.1008062921
cstr,8,cpu_omp128,0.0307001173496,0.26058532314,0,0,0,0,0
cstr,32,gpu_adaptive,0.153663992882,0.208246573578,7.2959788211e-08,6.68274533488e-08,6.32699509451e-08,0.71875,220.075455448
cstr,32,cpu_omp128,0.0336598604918,0.950687243871,0,0,0,0,0
cstr,128,gpu_adaptive,0.162847995758,0.786009059578,7.2959788211e-08,5.19618612582e-08,6.32699509451e-08,0.734375,848.222729361
cstr,128,cpu_omp128,0.0354405492544,3.61168217459,0,0,0,0,0
cstr,512,gpu_adaptive,0.28112000227,1.82128626873,7.46807219953e-08,6.06713488338e-08,7.19595498466e-08,0.73046875,3595.23273698
cstr,512,cpu_omp128,0.0429702922702,11.915208693,0,0,0,0,0
cstr,2048,gpu_adaptive,0.282431989908,7.2513032276,9.96925831886e-08,6.68079260802e-08,9.75892883726e-08,0.76025390625,14299.4498483
cstr,2048,cpu_omp128,0.0654701143503,31.2814483421,0,0,0,0,0
cstr,8192,gpu_adaptive,0.283423990011,28.9036930137,9.96925831886e-08,6.47574347479e-08,9.75892883726e-08,0.753540039062,57217.8502186
cstr,8192,cpu_omp128,0.140640884638,58.2476427185,0,0,0,0,0
cstr,32768,gpu_adaptive,0.283360004425,115.640879052,9.96925831886e-08,6.53768144065e-08,9.75892883726e-08,0.755,69923.1620947
cstr,32768,cpu_omp128,0.583201646805,56.1863982716,0,0,0,0,0
cstr,131072,gpu_adaptive,1.09779202938,119.396020824,9.96925831886e-08,6.53768144065e-08,9.75892883726e-08,0.755,69923.1620947
cstr,131072,cpu_omp128,2.27524898946,57.6077609998,0,0,0,0,0
cstr,524288,gpu_adaptive,3.56614398956,147.018180291,9.96925831886e-08,6.53768144065e-08,9.75892883726e-08,0.755,69923.1620947
cstr,524288,cpu_omp128,3.86239401996,135.741718036,0,0,0,0,0
cstr,2097152,gpu_adaptive,14.0116796494,149.671706211,9.96925831886e-08,6.53768144065e-08,9.75892883726e-08,0.755,69923.1620947
cstr,2097152,cpu_omp128,15.1734752581,138.211712501,0,0,0,0,0
cstr,8388608,gpu_adaptive,54.9935379028,152.53806756,9.96925831886e-08,6.53768144065e-08,9.75892883726e-08,0.755,69923.1620947
cstr,8388608,cpu_omp128,61.2259507179,137.010661356,0,0,0,0,0
cstr,16777216,gpu_adaptive,109.789375305,152.81274671,9.96925831886e-08,6.53768144065e-08,9.75892883726e-08,0.755,69923.1620947
cstr,16777216,cpu_omp128,123.705535196,135.622193247,0,0,0,0,0
peng_robinson,1,gpu_adaptive,0.0470400005579,0.0212585031492,0,0,1.02632924282e-17,1,0.157863954436
peng_robinson,1,cpu_omp128,0.030480325222,0.0328080488878,0,0,0,0,0
peng_robinson,8,gpu_adaptive,0.0483199991286,0.165562916893,3.92984831343e-08,2.45107673047e-08,2.73970787448e-08,0.75,23.2594181632
peng_robinson,8,cpu_omp128,0.030430033803,0.262898163433,0,0,0,0,0
peng_robinson,32,gpu_adaptive,0.0481919981539,0.664010649606,7.19279396044e-08,4.50219622694e-08,3.29993469661e-08,0.59375,161.895873084
peng_robinson,32,cpu_omp128,0.030679628253,1.04303741024,0,0,0,0,0
peng_robinson,128,gpu_adaptive,0.0504000000656,2.53968253638,9.82093468771e-08,7.80397289013e-08,4.75112448282e-08,0.5625,683.551268187
peng_robinson,128,cpu_omp128,0.0309906899929,4.13027267316,0,0,0,0,0
peng_robinson,512,gpu_adaptive,0.0798399969935,6.41282589278,9.82093468771e-08,9.00227719036e-08,6.35306736242e-08,0.537109375,2814.71677905
peng_robinson,512,cpu_omp128,0.0310400500894,16.4948187431,0,0,0,0,0
peng_robinson,2048,gpu_adaptive,0.0806080028415,25.4069066074,9.97126838875e-08,9.19789542309e-08,8.09834443813e-08,0.525390625,11320.8806319
peng_robinson,2048,cpu_omp128,0.0334298238158,61.2626620853,0,0,0,0,0
peng_robinson,8192,gpu_adaptive,0.0804480016232,101.829751327,9.99895339859e-08,9.23361616056e-08,9.60721877775e-08,0.531494140625,45074.9528364
peng_robinson,8192,cpu_omp128,0.0428101047873,191.356691153,0,0,0,0,0
peng_robinson,32768,gpu_adaptive,0.0806080028415,406.510505718,9.99895339859e-08,9.21712346447e-08,9.60721877775e-08,0.5298,55055.9594086
peng_robinson,32768,cpu_omp128,0.084150582552,389.397185453,0,0,0,0,0
peng_robinson,131072,gpu_adaptive,0.299807995558,437.186472483,9.99895339859e-08,9.21712346447e-08,9.60721877775e-08,0.5298,55055.9594086
peng_robinson,131072,cpu_omp128,0.288550741971,454.242463925,0,0,0,0,0
peng_robinson,524288,gpu_adaptive,0.968159973621,541.530340321,9.99895339859e-08,9.21712346447e-08,9.60721877775e-08,0.5298,55055.9594086
peng_robinson,524288,cpu_omp128,1.15607399493,453.507303423,0,0,0,0,0
peng_robinson,2097152,gpu_adaptive,3.646048069,575.18495651,9.99895339859e-08,9.21712346447e-08,9.60721877775e-08,0.5298,55055.9594086
peng_robinson,2097152,cpu_omp128,4.44297585636,472.015169067,0,0,0,0,0
peng_robinson,8388608,gpu_adaptive,14.926943779,561.977597303,9.99895339859e-08,9.21712346447e-08,9.60721877775e-08,0.5298,55055.9594086
peng_robinson,8388608,cpu_omp128,18.0412456393,464.96833798,0,0,0,0,0
peng_robinson,16777216,gpu_adaptive,29.5732803345,567.309943647,9.99895339859e-08,9.21712346447e-08,9.60721877775e-08,0.5298,55055.9594086
peng_robinson,16777216,cpu_omp128,36.3046815619,462.122659619,0,0,0,0,0
