inlet_temperature_K,last_hot_residence_time_s
300,0.001680165692974834
325,0.001383072895555441
350,0.001138513089761537
375,0.0009371972075541283
400,0.0007714787065217011
425,0.0006350631327313489
450,0.0005227690396963793
475,0.0004303311824915584
500,0.0003904354974340707
525,0.0003213973218365539
550,0.000291600814281439
575,0.0002400389343984749
600,0.0002177851026569549
625,0.000197594407166314
650,0.0001626550702753625
675,0.0001475754392359905
700,0.0001338938296164157
725,0.0001214806318867293
750,0.000110218252520501
775,0.0001
800,0.0001
