effective_irradiance_W_m2,cell_temperature_C,IL_A,I0_A,Rs_ohm,Rsh_ohm,nNsVth_V,i_sc,v_oc,i_mp,v_mp,p_mp
100,-10,0.49690883940934,1.058038660295107e-12,1.066023,3812.54425,2.32649313063894,0.4967699378921884,62.44711789873986,0.4631412172617575,54.48005869834635,25.23196070204413
150,-10,0.7453632591140099,1.058038660295107e-12,1.066023,2541.696166666667,2.32649313063894,0.7450507743752114,63.38923299510384,0.6945903247309752,55.15716246364685,38.31163138686362
200,-10,0.99381767881868,1.058038660295107e-12,1.066023,1906.272125,2.32649313063894,0.9932622280163664,64.05767392074108,0.9259046841158404,55.57190033126442,51.45428282193635
250,-10,1.24227209852335,1.058038660295107e-12,1.066023,1525.0177,2.32649313063894,1.24140432789546,64.57615677000035,1.157076704450746,55.8428965644132,64.61451472373508
300,-10,1.49072651822802,1.058038660295107e-12,1.066023,1270.848083333334,2.32649313063894,1.48947710307605,64.99978796522805,1.388101445335285,56.02302284674848,77.76563898562327
350,-10,1.73918093793269,1.058038660295107e-12,1.066023,1089.298357142857,2.32649313063894,1.737480582605458,65.35796294007991,1.618974956789983,56.14049950827689,90.89006276558067
400,-10,1.98763535763736,1.058038660295107e-12,1.066023,953.1360625000001,2.32649313063894,1.985414795514777,65.66822814389047,1.84969385720075,56.2121764592497,103.9753174965588
450,-10,2.23608977734203,1.058038660295107e-12,1.066023,847.2320555555557,2.32649313063894,2.233279770818888,65.94190139354964,2.080254823565912,56.24893167798567,117.0121114435591
500,-10,2.4845441970467,1.058038660295107e-12,1.066023,762.5088500000001,2.32649313063894,2.481075537516469,66.18671041337643,2.310654690530317,56.25819414390079,129.9932601793696
550,-10,2.73299861675137,1.058038660295107e-12,1.066023,693.1898636363636,2.32649313063894,2.728802124590003,66.40816707359249,2.540890344638271,56.2452645603222,142.9130496529478
600,-10,2.98145303645604,1.058038660295107e-12,1.066023,635.4240416666668,2.32649313063894,2.976459561005792,66.61034113465098,2.770958504984089,56.21406191491594,155.7668329628385
650,-10,3.22990745616071,1.058038660295107e-12,1.066023,586.5452692307693,2.32649313063894,3.224047875713973,66.79632321704275,3.00085597463387,56.16756151421838,168.5507625505576
700,-10,3.47836187586538,1.058038660295107e-12,1.066023,544.6491785714286,2.32649313063894,3.471567097648518,66.96851570861008,3.230579384538661,56.10807961976857,181.2616053256782
750,-10,3.72681629557005,1.058038660295107e-12,1.066023,508.3392333333334,2.32649313063894,3.719017255727258,67.12882306451866,3.460125328356382,56.0374531295158,193.8966109100212
800,-10,3.97527071527472,1.058038660295107e-12,1.066023,476.56803125,2.32649313063894,3.966398378851884,67.27878056502459,3.689490278929709,55.95716469944003,206.4534151950527
850,-10,4.223725134979389,1.058038660295107e-12,1.066023,448.5346176470589,2.32649313063894,4.21371049590796,67.41964396995786,3.918670673503462,55.8684274245442,218.9299681233179
900,-10,4.47217955468406,1.058038660295107e-12,1.066023,423.6160277777778,2.32649313063894,4.460953635764942,67.55245350816131,4.147662734826268,55.77224893347397,231.3244785388241
950,-10,4.72063397438873,1.058038660295107e-12,1.066023,401.3204473684211,2.32649313063894,4.708127827276181,67.67808054293209,4.376462695531472,55.66947288182671,243.6353713472155
1000,-10,4.9690883940934,1.058038660295107e-12,1.066023,381.254425,2.32649313063894,4.955233099278931,67.79726225371633,4.605066660290354,55.56081433997629,255.861253735607
1050,-10,5.21754281379807,1.058038660295107e-12,1.066023,363.0994523809524,2.32649313063894,5.202269480594373,67.91062784728547,4.833470442034385,55.44688674412431,268.000888180553
1100,-10,5.46599723350274,1.058038660295107e-12,1.066023,346.5949318181818,2.32649313063894,5.449237000027617,68.0187186657613,5.061669979422994,55.32821613465264,280.0531706237982
100,-5,0.49898271949372,3.028969098915106e-12,1.066023,3812.54425,2.370697826261949,0.498843238261919,61.15201342554451,0.4646143429054112,53.14325530694171,24.69111864428923
150,-5,0.74847407924058,3.028969098915106e-12,1.066023,2541.696166666667,2.370697826261949,0.7481602903264236,62.11201230336042,0.6968192887904657,53.83601821786694,37.51397592588459
200,-5,0.9979654389874399,3.028969098915106e-12,1.066023,1906.272125,2.370697826261949,0.9974076699754013,62.79314195615257,0.9288873162539194,54.26189385866561,50.40318496123093
250,-5,1.2474567987343,3.028969098915106e-12,1.066023,1525.0177,2.370697826261949,1.246585406410021,63.32146693668778,1.160808465636092,54.54154568700744,63.3122879623559
300,-5,1.49694815848116,3.028969098915106e-12,1.066023,1270.848083333334,2.370697826261949,1.495693528815135,63.75313973212155,1.392576301107102,54.72876099708236,76.21397555349159
350,-5,1.74643951822802,3.028969098915106e-12,1.066023,1089.298357142857,2.370697826261949,1.74473206635929,64.11811377845038,1.624185989266016,54.85224397227319,89.09024613956737
400,-5,1.99593087797488,3.028969098915106e-12,1.066023,953.1360625000001,2.370697826261949,1.993701048194739,64.43426860244426,1.855633259045467,54.9291417797409,101.9283423773111
450,-5,2.24542223772174,3.028969098915106e-12,1.066023,847.2320555555557,2.370697826261949,2.24260050345745,64.71313686264011,2.086914273593696,54.97051782986902,114.7187582859904
500,-5,2.4949135974686,3.028969098915106e-12,1.066023,762.5088500000001,2.370697826261949,2.491430461267121,64.96259297564984,2.318025266849682,54.98393246954467,127.4541447351612
550,-5,2.74440495721546,3.028969098915106e-12,1.066023,693.1898636363636,2.370697826261949,2.74019095072719,65.18825344128936,2.548962653140838,54.97477863970541,140.1286576172938
600,-5,2.99389631696232,3.028969098915106e-12,1.066023,635.4240416666668,2.370697826261949,2.988882000924844,65.39426527460023,2.779722727235064,54.94704334597277,152.7375451831707
650,-5,3.24338767670918,3.028969098915106e-12,1.066023,586.5452692307693,2.370697826261949,3.237503640931032,65.583777764042,3.010301853646264,54.90375450635385,165.2768739626164
700,-5,3.49287903645604,3.028969098915106e-12,1.066023,544.6491785714286,2.370697826261949,3.486055899800475,65.75923890097738,3.240696248366602,54.84726920847406,177.7433395570549
750,-5,3.7423703962029,3.028969098915106e-12,1.066023,508.3392333333334,2.370697826261949,3.734538806571683,65.92258929203899,3.470902088958971,54.77945701772207,190.1341317948497
800,-5,3.99186175594976,3.028969098915106e-12,1.066023,476.56803125,2.370697826261949,3.982952390266955,66.07539336105742,3.700915513708804,54.70182587994062,202.44683602727
850,-5,4.24135311569662,3.028969098915106e-12,1.066023,448.5346176470589,2.370697826261949,4.231296679892399,66.21893070540978,3.93073247205635,54.61561191016455,214.6793592165113
900,-5,4.49084447544348,3.028969098915106e-12,1.066023,423.6160277777778,2.370697826261949,4.479571704437941,66.35426130015526,4.160348856018299,54.52183971665552,226.8298734932008
950,-5,4.74033583519034,3.028969098915106e-12,1.066023,401.3204473684211,2.370697826261949,4.727777492877334,66.48227304930151,4.389760430658601,54.4213690214817,238.8967723127702
1000,-5,4.9898271949372,3.028969098915106e-12,1.066023,381.254425,2.370697826261949,4.975914074168169,66.60371712585015,4.618962952084748,54.31492707062502,250.8786358844019
1050,-5,5.239318554684059,3.028969098915106e-12,1.066023,363.0994523809524,2.370697826261949,5.223981477251887,66.71923468052796,4.84795183589879,54.20313824117234,262.7742035477674
1100,-5,5.48880991443092,3.028969098915106e-12,1.066023,346.5949318181818,2.370697826261949,5.471979731053795,66.82937733151402,5.07672253102708,54.0865390537008,274.582351439199
100,0,0.5010565995781,8.352369653525143e-12,1.066023,3812.54425,2.414902521884957,0.5009165386308359,59.85482140375757,0.4660374534180731,51.80858372386517,24.14474042386715
150,0,0.7515848993671499,8.352369653525143e-12,1.066023,2541.696166666667,2.414902521884957,0.751269806276344,60.83270360475467,0.6989758801531381,52.51694044783973,36.70807467247871
200,0,1.0021131991562,8.352369653525143e-12,1.066023,1906.272125,2.414902521884957,1.001553111932612,61.52652165912173,0.9317753299862175,52.95392570547043,49.34116159828035
250,0,1.25264149894525,8.352369653525143e-12,1.066023,1525.0177,2.414902521884957,1.251766484922165,62.06468851814429,1.164423170892557,53.24222733763611,61.9964831818726
300,0,1.5031697987343,8.352369653525143e-12,1.066023,1270.848083333334,2.414902521884957,1.501909954551142,62.50440270707918,1.396911465966649,53.43653408796825,74.64610716900054
350,0,1.75369809852335,8.352369653525143e-12,1.066023,1089.298357142857,2.414902521884957,1.751983550109309,62.87617565000483,1.629234180318257,53.5660393496631,87.27162221274388
400,0,2.0042263983124,8.352369653525143e-12,1.066023,953.1360625000001,2.414902521884957,2.001987300870067,63.19821994261088,1.861386270903339,53.64817777644065,99.85998157204824
450,0,2.25475469810145,8.352369653525143e-12,1.066023,847.2320555555557,2.414902521884957,2.251921236090463,63.48228307958357,2.093363212351436,53.69420079100866,112.4014646525089
500,0,2.5052829978905,8.352369653525143e-12,1.066023,762.5088500000001,2.414902521884957,2.501785385011208,63.73638616607332,2.325160702056332,53.71179605936035,124.8885574340888
550,0,2.75581129767955,8.352369653525143e-12,1.066023,693.1898636363636,2.414902521884957,2.751579776856679,63.96625032880797,2.556774520067383,53.70645108720795,137.3152857030185
600,0,3.0063395974686,8.352369653525143e-12,1.066023,635.4240416666668,2.414902521884957,3.001304440834932,64.17609983544162,2.788200544142295,53.68221924856397,149.6767929196121
650,0,3.25686789725765,8.352369653525143e-12,1.066023,586.5452692307693,2.414902521884957,3.250959406137721,64.36914264089637,3.019434621520813,53.64218145069063,161.9690598461169
700,0,3.507396197046699,8.352369653525143e-12,1.066023,544.6491785714286,2.414902521884957,3.500544701940496,64.54787233888851,3.250472560859199,53.58873447817064,174.188710992463
750,0,3.757924496835749,8.352369653525143e-12,1.066023,508.3392333333334,2.414902521884957,3.750060357402428,64.71426568659081,3.481310095011056,53.52378029737771,186.3328766724149
