effective_irradiance_W_m2,cell_temperature_C,V,I,P
200,10,0,1.009843995826812,0
200,10,0.3277065833406494,1.00967218224089,0.3308762211362597
200,10,0.6554131666812989,1.009500368653251,0.6616398333849661
200,10,0.9831197500219484,1.009328555063655,0.9922908367441949
200,10,1.310826333362598,1.009156741471828,1.322829231211663
200,10,1.638532916703247,1.008984927877458,1.653255016784667
200,10,1.966239500043897,1.00881311428019,1.983568193460007
200,10,2.293946083384546,1.008641300679618,2.313768761233905
200,10,2.621652666725196,1.008469487075282,2.643856720101904
200,10,2.949359250065845,1.008297673466655,2.973832070058749
200,10,3.277065833406494,1.008125859853136,3.303694811098255
200,10,3.604772416747144,1.007954046234042,3.633444943213151
200,10,3.932479000087794,1.007782232608595,3.96308246639489
200,10,4.260185583428443,1.007610418975905,4.292607380633442
200,10,4.587892166769092,1.00743860533496,4.622019685917043
200,10,4.915598750109742,1.007266791684607,4.951319382231905
200,10,5.243305333450391,1.007094978023531,5.280506469561884
200,10,5.571011916791041,1.006923164350232,5.609580947888086
200,10,5.89871850013169,1.006751350663002,5.938542817188419
200,10,6.226425083472339,1.006579536959894,6.267392077437058
200,10,6.554131666812989,1.006407723238689,6.596128728603851
200,10,6.881838250153638,1.006235909496856,6.924752770653597
200,10,7.209544833494288,1.006064095731512,7.253264203545226
200,10,7.537251416834938,1.005892281939371,7.581663027230856
200,10,7.864958000175587,1.005720468116688,7.909949241654682
200,10,8.192664583516237,1.005548654259192,8.238122846751699
200,10,8.520371166856886,1.005376840362019,8.566183842446224
200,10,8.848077750197534,1.005205026419621,8.894132228650172
200,10,9.175784333538184,1.005033212425677,9.221968005261079
200,10,9.503490916878834,1.004861398372982,9.549691172159799
200,10,9.831197500219483,1.004689584253324,9.877301729207831
200,10,10.15890408356013,1.004517770057343,10.20479967624426
200,10,10.48661066690078,1.004345955774369,10.53218501308216
200,10,10.81431725024143,1.004174141392244,10.85945773950453
200,10,11.14202383358208,1.004002326897108,11.18661785525944
200,10,11.46973041692273,1.003830512273163,11.51366536005463
200,10,11.79743700026338,1.003658697502406,11.84060025355104
200,10,12.12514358360403,1.003486882564314,12.1674225353555
200,10,12.45285016694468,1.003315067435497,12.49413220501224
200,10,12.78055675028533,1.003143252089295,12.82072926199302
200,10,13.10826333362598,1.002971436495323,13.14721370568582
200,10,13.43596991696663,1.002799620618946,13.47358553538171
200,10,13.76367650030728,1.00262780442069,13.79984475025973
200,10,14.09138308364793,1.002455987855562,14.12599134936944
200,10,14.41908966698858,1.002284170872282,14.45202533161073
200,10,14.74679625032923,1.002112353412398,14.77794669571054
200,10,15.07450283366988,1.00194053540929,15.10375544019606
200,10,15.40220941701052,1.001768716787028,15.42945156336371
200,10,15.72991600035117,1.001596897459064,15.75503506324342
200,10,16.05762258369182,1.001425077326755,16.08050593755743
200,10,16.38532916703247,1.001253256277668,16.40586418367272
200,10,16.71303575037312,1.001081434183657,16.73110979854626
200,10,17.04074233371377,1.000909610898661,17.05624277866179
200,10,17.36844891705442,1.000737786256201,17.38126311995696
200,10,17.69615550039507,1.000565960066532,17.70617081773944
200,10,18.02386208373572,1.000394132113383,18.03096586659011
200,10,18.35156866707637,1.000222302150253,18.35564826025158
200,10,18.67927525041702,1.000050469896186,18.68021799149973
200,10,19.00698183375767,0.999878635030951,19.0046750519957
200,10,19.33468841709832,0.9997067971895578,19.3290194321154
200,10,19.66239500043897,0.9995349559559968,19.65325112075318
200,10,19.99010158377962,0.9993631108561079,19.97737010509561
