Tr,Pr,A,B,root_count,Z0,Z1,Z2,max_root_condition
0.55,0.02,0.040383802687295,0.00282894814195958,3,0.003389974783702516,0.03259838641853326,0.9611826906558056,36.8697948340692
0.55,0.02986666666666667,0.06030647867969386,0.00422456255865964,3,0.005062027605485435,0.04972291921387888,0.9409904906219763,25.12259550210434
0.55,0.03973333333333333,0.08022915467209273,0.005620176975359699,3,0.006733859733006476,0.06765662324739692,0.9199893400442363,19.25800280915679
0.55,0.0496,0.1001518306644916,0.007015791392059758,3,0.008405471516794091,0.0865159255754122,0.8980628115157344,15.77528528867369
0.55,0.05946666666666667,0.1200745066568905,0.008411405808759818,3,0.01007686330648873,0.1064481251929708,0.8750636056917815,13.50029713106911
0.55,0.06933333333333333,0.1399971826492893,0.009807020225459876,3,0.01174803545084601,0.12764423180507,0.8508007125186244,11.93159585309973
0.55,0.07919999999999999,0.1599198586416882,0.01120263464215994,3,0.0134189882977398,0.1503596117832943,0.8250187652768065,10.8238878085091
0.55,0.08906666666666667,0.1798425346340871,0.01259824905886,3,0.01508972219416533,0.1749491702440052,0.7973628585029696,10.05038169268619
0.55,0.09893333333333333,0.1997652106264859,0.01399386347556006,3,0.01676023748624234,0.2019319598844988,0.7673139391536983,9.551759343991041
0.55,0.1088,0.2196878866188848,0.01538947789226012,3,0.0184305345192181,0.2321224003241248,0.734057587264397,9.323186396519201
0.55,0.1186666666666667,0.2396105626112836,0.01678509230896017,3,0.0201006136374705,0.2669381493957036,0.6961761446578651,9.438231817104942
0.55,0.1285333333333333,0.2595332386036825,0.01818070672566023,3,0.02177047518451109,0.3093084420475816,0.6507403760422473,10.18592946206779
0.55,0.1384,0.2794559145960814,0.01957632114236029,3,0.02344011950298813,0.3678906180672953,0.5890929412873558,13.12452209635532
0.55,0.1482666666666667,0.2993785905884803,0.02097193555906035,1,0.02510954693468965,,,4.788335943081104
0.55,0.1581333333333333,0.3193012665808791,0.02236754997576041,1,0.02677875782054638,,,4.48718266295432
0.55,0.168,0.339223942573278,0.02376316439246047,1,0.02844775250063482,,,4.221406240353495
0.55,0.1778666666666666,0.3591466185656768,0.02515877880916053,1,0.03011653131418017,,,3.985119364394188
0.55,0.1877333333333333,0.3790692945580756,0.02655439322586059,1,0.03178509459955937,,,3.773672397528669
0.55,0.1976,0.3989919705504745,0.02795000764256065,1,0.03345344269430399,,,3.58334437478023
0.55,0.2074666666666666,0.4189146465428734,0.02934562205926071,1,0.03512157593510321,,,3.411122175432496
0.55,0.2173333333333333,0.4388373225352722,0.03074123647596077,1,0.03678949465780675,,,3.254539846724829
0.55,0.2272,0.4587599985276711,0.03213685089266083,1,0.0384571991974277,,,3.11155979390879
0.55,0.2370666666666666,0.47868267452007,0.03353246530936089,1,0.04012468988814565,,,2.980483639379377
0.55,0.2469333333333333,0.4986053505124688,0.03492807972606095,1,0.04179196706330931,,,2.859884452511283
0.55,0.2568,0.5185280265048677,0.03632369414276101,1,0.04345903105543961,,,2.748554602523577
0.55,0.2666666666666667,0.5384507024972666,0.03771930855946107,1,0.04512588219623238,,,2.645465188008403
0.55,0.2765333333333334,0.5583733784896656,0.03911492297616113,1,0.04679252081656139,,,2.549734151748641
0.55,0.2864,0.5782960544820643,0.04051053739286119,1,0.04845894724648098,,,2.460600986327433
0.55,0.2962666666666667,0.5982187304744633,0.04190615180956125,1,0.05012516181522914,,,2.37740649406236
0.55,0.3061333333333333,0.6181414064668621,0.04330176622626131,1,0.0517911648512301,,,2.299576460959325
0.55,0.316,0.6380640824592609,0.04469738064296137,1,0.05345695668209724,,,2.226608389216842
0.55,0.3258666666666666,0.6579867584516598,0.04609299505966143,1,0.05512253763463587,,,2.158060640028232
0.55,0.3357333333333333,0.6779094344440587,0.04748860947636149,1,0.05678790803484599,,,2.093543490838092
0.55,0.3456,0.6978321104364575,0.04888422389306154,1,0.05845306820792512,,,2.032711724457602
0.55,0.3554666666666667,0.7177547864288565,0.05027983830976161,1,0.06011801847827094,,,1.975258452400682
0.55,0.3653333333333333,0.7376774624212553,0.05167545272646167,1,0.0617827591694841,,,1.920909939110219
0.55,0.3752,0.757600138413654,0.05307106714316173,1,0.06344729060437095,,,1.869421242830886
0.55,0.3850666666666667,0.777522814406053,0.05446668155986178,1,0.06511161310494627,,,1.820572526652494
0.55,0.3949333333333333,0.7974454903984517,0.05586229597656184,1,0.06677572699243604,,,1.774165922523215
0.55,0.4048,0.8173681663908507,0.0572579103932619,1,0.06843963258727984,,,1.73002285388536
0.55,0.4146666666666666,0.8372908423832496,0.05865352480996196,1,0.0701033302091338,,,1.68798174054582
0.55,0.4245333333333333,0.8572135183756484,0.06004913922666202,1,0.07176682017687347,,,1.647896023595952
0.55,0.4344,0.8771361943680474,0.06144475364336208,1,0.07343010280859578,,,1.609632459495262
0.55,0.4442666666666666,0.8970588703604461,0.06284036806006213,1,0.07509317842162254,,,1.573069641474051
0.55,0.4541333333333333,0.9169815463528451,0.0642359824767622,1,0.07675604733250246,,,1.538096713683348
0.55,0.464,0.936904222345244,0.06563159689346226,1,0.07841870985701388,,,1.504612249401577
0.55,0.4738666666666667,0.9568268983376428,0.06702721131016232,1,0.08008116631016779,,,1.472523269386472
0.55,0.4837333333333333,0.9767495743300416,0.06842282572686238,1,0.08174341700620982,,,1.441744380362542
0.55,0.4936,0.9966722503224404,0.06981844014356244,1,0.08340546225862322,,,1.412197016834187
0.55,0.5034666666666666,1.016594926314839,0.0712140545602625,1,0.08506730238013134,,,1.383808772050024
0.55,0.5133333333333333,1.036517602307238,0.07260966897696255,1,0.08672893768270028,,,1.35651280612354
0.55,0.5232,1.056440278299637,0.07400528339366261,1,0.08839036847754132,,,1.330247321124796
0.55,0.5330666666666667,1.076362954292036,0.07540089781036269,1,0.09005159507511347,,,1.304955094466106
0.55,0.5429333333333333,1.096285630284435,0.07679651222706273,1,0.09171261778512607,,,1.280583063166091
0.55,0.5528,1.116208306276834,0.07819212664376278,1,0.09337343691654135,,,1.257081952635382
0.55,0.5626666666666666,1.136130982269232,0.07958774106046286,1,0.09503405277757673,,,1.234405944518996
0.55,0.5725333333333333,1.156053658261631,0.08098335547716291,1,0.09669446567570773,,,1.21251237888384
0.55,0.5824,1.17597633425403,0.08237896989386299,1,0.09835467591766991,,,1.191361486678366
0.55,0.5922666666666666,1.195899010246429,0.08377458431056303,1,0.1000146838094618,,,1.170916148934215
0.55,0.6021333333333333,1.215821686238828,0.0851701987272631,1,0.1016744896563472,,,1.151141679642448
0.55,0.612,1.235744362231227,0.08656581314396315,1,0.1033340937628577,,,1.132005629632613
0.55,0.6218666666666667,1.255667038223626,0.08796142756066322,1,0.1049934964327949,,,1.113477609121977
0.55,0.6317333333333333,1.275589714216024,0.08935704197736326,1,0.1066526979692331,,,1.095529126893747
0.55,0.6415999999999999,1.295512390208423,0.09075265639406332,1,0.1083116986745219,,,1.078133444314208
0.55,0.6514666666666666,1.315435066200822,0.09214827081076339,1,0.1099704988502879,,,1.061265442615604
0.55,0.6613333333333333,1.335357742193221,0.09354388522746346,1,0.111629098797438,,,1.044901502059332
0.55,0.6712,1.35528041818562,0.09493949964416351,1,0.1132874988161609,,,1.02901939175698
0.55,0.6810666666666666,1.375203094178019,0.09633511406086355,1,0.1149456992059305,,,1.013598169068387
0.55,0.6909333333333333,1.395125770170418,0.09773072847756362,1,0.1166037002655075,,,0.9986180876194026
0.55,0.7008,1.415048446162817,0.0991263428942637,1,0.1182615022929417,,,0.9840605130898342
0.55,0.7106666666666667,1.434971122155216,0.1005219573109637,1,0.1199191055855749,,,0.9699078460164315
0.55,0.7205333333333332,1.454893798147614,0.1019175717276638,1,0.1215765104400433,,,0.9561434509384854
0.55,0.7303999999999999,1.474816474140013,0.1033131861443638,1,0.1232337171522789,,,0.9427515912862771
0.55,0.7402666666666666,1.494739150132412,0.1047088005610639,1,0.1248907260175128,,,0.9297173694765799
0.55,0.7501333333333333,1.514661826124811,0.106104414977764,1,0.1265475373302771,,,0.9170266717357789
