e,M_rad,E_rad,residual,condition_dE_dM,x_over_a,y_over_a
0,0,0,0,1,1,0
0,1e-10,1e-10,0,1,1,1e-10
0,1.4208308325339237e-10,1.4208308325339237e-10,0,1,1,1.4208308325339237e-10
0,2.0187602546790348e-10,2.0187602546790348e-10,0,1,1,2.0187602546790348e-10
0,2.8683168133420089e-10,2.8683168133420089e-10,0,1,1,2.8683168133420089e-10
0,4.0753929658717781e-10,4.0753929658717781e-10,0,1,1,4.0753929658717781e-10
0,5.7904439806024953e-10,5.7904439806024953e-10,0,1,1,5.7904439806024953e-10
0,8.2272413417004569e-10,8.2272413417004569e-10,0,1,1,8.2272413417004569e-10
0,1.1689518164985776e-09,1.1689518164985776e-09,0,1,1,1.1689518164985776e-09
0,1.6608827826277166e-09,1.6608827826277166e-09,0,1,1,1.6608827826277166e-09
0,2.3598334667821984e-09,2.3598334667821984e-09,0,1,1,2.3598334667821984e-09
0,3.3529241492495529e-09,3.3529241492495529e-09,0,1,1,3.3529241492495529e-09
0,4.763938010401341e-09,4.763938010401341e-09,0,1,1,4.763938010401341e-09
0,6.7687500094585413e-09,6.7687500094585413e-09,0,1,1,6.7687500094585413e-09
0,9.6172487111529449e-09,9.6172487111529449e-09,0,1,1,9.6172487111529449e-09
0,1.3664483492953244e-08,1.3664483492953244e-08,0,1,0.99999999999999989,1.3664483492953244e-08
0,1.9414919457438816e-08,1.9414919457438816e-08,0,1,0.99999999999999978,1.9414919457438816e-08
0,2.7585316176291869e-08,2.7585316176291869e-08,0,1,0.99999999999999967,2.7585316176291866e-08
0,3.9194067748472212e-08,3.9194067748472212e-08,0,1,0.99999999999999922,3.9194067748472198e-08
0,5.5688139909452668e-08,5.5688139909452668e-08,0,1,0.99999999999999845,5.5688139909452642e-08
0,7.9123426189813264e-08,7.9123426189813264e-08,0,1,0.99999999999999689,7.9123426189813185e-08
0,1.1242100350620863e-07,1.1242100350620863e-07,0,1,0.99999999999999367,1.1242100350620839e-07
0,1.5973122800602523e-07,1.5973122800602523e-07,0,1,0.99999999999998723,1.5973122800602454e-07
0,2.2695105366946685e-07,2.2695105366946685e-07,0,1,0.99999999999997424,2.2695105366946489e-07
0,3.224590545296398e-07,3.224590545296398e-07,0,1,0.99999999999994804,3.2245905452963419e-07
0,4.5815976690544912e-07,4.5815976690544912e-07,0,1,0.99999999999989508,4.5815976690543308e-07
0,6.5096752304581636e-07,6.5096752304581636e-07,0,1,0.99999999999978817,6.509675230457704e-07
0,9.2491472772173346e-07,9.2491472772173346e-07,0,1,0.99999999999957223,9.2491472772160164e-07
0,1.3141473626117555e-06,1.3141473626117555e-06,0,1,0.99999999999913647,1.3141473626113773e-06
0,1.8671810912919206e-06,1.8671810912919206e-06,0,1,0.99999999999825684,1.8671810912908355e-06
0,2.6529484644318946e-06,2.6529484644318946e-06,0,1,0.99999999999648093,2.6529484644287826e-06
0,3.7693909753883636e-06,3.7693909753883636e-06,0,1,0.99999999999289579,3.7693909753794376e-06
0,5.3556669177068968e-06,5.3556669177068968e-06,0,1,0.99999999998565836,5.3556669176812936e-06
0,7.6094966854598833e-06,7.6094966854598833e-06,0,1,0.99999999997104783,7.6094966853864464e-06
0,1.0811807510766078e-05,1.0811807510766078e-05,0,1,0.99999999994155242,1.0811807510555436e-05
0,1.5361749466718298e-05,1.5361749466718298e-05,0,1,0.99999999988200827,1.5361749466114113e-05
0,2.1826447283974874e-05,2.1826447283974874e-05,0,1,0.99999999976180309,2.1826447282241875e-05
0,3.1011689265747754e-05,3.1011689265747754e-05,0,1,0.99999999951913754,3.1011689260776972e-05
0,4.4062364277735729e-05,4.4062364277735729e-05,0,1,0.99999999902925407,4.4062364263477942e-05
0,6.260516572014815e-05,6.260516572014815e-05,0,1,0.9999999980402966,6.2605165679252301e-05
0,8.895134973108236e-05,8.895134973108236e-05,0,1,0.99999999604382872,8.8951349613780101e-05
0,0.00012638482029342973,0.00012638482029342973,0,1,0.99999999201343859,0.00012638481995696967
0,0.00017957144943716409,0.00017957144943716409,0,1,0.99999998387704736,0.00017957144847209009
0,0.00025514065200312873,0.00025514065200312873,0,1,0.99999996745162401,0.00025514064923499075
0,0.00036251170499885355,0.00036251170499885355,0,1,0.99999993429263256,0.00036251169705895693
0,0.00051506780761681221,0.00051506780761681221,0,1,0.99999986735257973,0.0005150677848426734
0,0.00073182422190761821,0.00073182422190761821,0,1,0.99999973221666605,0.00073182415658417375
0,0.0010397984184814899,0.0010397984184814899,0,1,0.99999945940967316,0.0010397982311131609
0,0.0014773776525985128,0.0014773776525985128,0,1,0.99999890867783425,0.0014773771151668138
0,0.0020991037201085546,0.0020991037201085546,0,1,0.99999779688259505,0.0020991021785843481
0,0.0029824712862168879,0.0029824712862168879,0,1,0.99999555243581029,0.0029824668646380803
0,0.0042375871606040632,0.0042375871606040632,0,1,0.99999102144096397,0.0042375744781209743
0,0.0060208944933361251,0.0060208944933361251,0,1,0.99998187446950615,0.0060208581159899213
0,0.0085546725355656848,0.0085546725355656848,0,1,0.99996340901205683,0.0085545681940046164
0,0.012154742500762884,0.012154742500762884,0,1,0.99992613202680092,0.012154443217224604
