inlet_temperature_K,residence_time_s,steady_temperature_K,heat_release_rate_W_m3,X_CH4,X_CO,X_CO2,X_H2O
300,0.1,1475.793163349683,3297595.688242454,3.339060292915603e-05,0.0003978305275023356,0.04944371523910116,0.09943067958345012
300,0.0907290740990469,1475.415489035411,3634105.305151038,3.558796934769078e-05,0.0004261322405318163,0.04941169925147155,0.09941394017031518
300,0.08231764886870344,1475.013547116797,4004922.78905414,3.793296551106331e-05,0.0004564805691433356,0.04937739184462361,0.09939632461643462
300,0.07468604063867915,1474.585671575387,4413540.187732195,4.043600930763763e-05,0.0004890272141907857,0.04934062436662568,0.09937778116136098
300,0.06776195315271148,1474.130074783436,4863803.96111405,4.310833744633817e-05,0.0005239355897071542,0.04930121516723551,0.0993582545979924
300,0.06147979268688505,1473.644837794209,5359950.755124288,4.596208411923504e-05,0.0005613818018554309,0.04925896850336613,0.0993376860043139
300,0.05578004666282432,1473.127899699621,5906646.755928168,4.901036956353577e-05,0.0006015557236729226,0.04921367333530631,0.09931601244795002
300,0.05060871986919682,1472.577045943345,6509030.970425591,5.226740010068118e-05,0.0006446621774859302,0.04916510199979425,0.09929316665982593
300,0.04591682295070265,1471.989895451337,7172762.816167271,5.574858154518112e-05,0.0006909222389915501,0.04911300874352392,0.09926907667236569
300,0.04165990831887118,1471.363886416954,7904074.439442178,5.947064824761556e-05,0.0007405746794100222,0.04905712809778304,0.0992436654167442
300,0.03779764908822364,1470.696260547526,8709828.21873676,6.345181049222189e-05,0.0007938775650343273,0.04899717307142742,0.09921685027259811
300,0.03429345704895213,1469.984045541764,9597579.952217182,6.771192353174564e-05,0.0008511100370752354,0.04893283313511296,0.09918854256219979
300,0.0311141360570686,1469.224035521067,10575648.27239466,7.227268223929634e-05,0.00091257429908988,0.04886377196443994,0.09915864697935831
300,0.02822956755849604,1468.41276907979,11653190.87873258,7.715784622643966e-05,0.0009785978447138721,0.04878962490313277,0.09912706094111563
300,0.02561242526798837,1467.546504546849,12840288.22959498,8.23935013681381e-05,0.001049535965182596,0.04870999609923835,0.09909367384753204
300,0.02323791629995618,1466.621191958815,14148035.38840637,8.800836505487754e-05,0.001125774584619991,0.04862445525708779,0.09905836623130951
300,0.02108354629886174,1465.632441127241,15588642.77487274,9.403414424927565e-05,0.001207733481814016,0.04853253393480837,0.09902100877446272
300,0.01912890634420113,1464.57548503185,17175546.62999297,0.000100505957680207,0.001295869970902164,0.04843372130061654,0.09898146116336949
300,0.01735547961136752,1463.445137575297,18923530.06239015,0.0001074628364285738,0.001390683131032528,0.04832745923978426,0.09893957074586904
300,0.01574646595684261,1462.235744478608,20848855.60178524,0.0001149483209773661,0.001492718698005819,0.04821313667640268,0.09889517094399798
300,0.01428662276596493,1460.941125757081,22969410.24097671,0.0001230111778408209,0.001602574761047801,0.04809008293753483,0.09884807936256726
300,0.01296212055558362,1459.554507762512,25304863.99719877,0.0001317062656192028,0.001720908447936589,0.04795755993874821,0.09879809551580794
300,0.01176041196368325,1458.068442163328,27876843.06231152,0.0001410955894203611,0.001848443835651539,0.04781475290454582,0.09874499806992845
300,0.01067011288488335,1456.474708391892,30709118.63160503,0.0001512495950367824,0.001985981397315964,0.04766075924781777,0.09868854146588361
300,0.009680894625777765,1454.764194916696,33827812.49218038,0.0001622487715460268,0.002134409398133692,0.04749457510857777,0.09862845173993477
300,0.008783386058472559,1452.926753042254,37261620.39716841,0.0001741856553638432,0.002294717796469913,0.04731507887785508,0.09856442129346533
300,0.007969084845396922,1450.951014561098,41042054.1260922,0.0001871673637170199,0.002468015411711661,0.04712101078272415,0.09849610226841223
300,0.007230276894396091,1448.82416109904,45203702.89422723,0.0002013188365644532,0.002655551420683964,0.04691094724337223,0.0984230980452898
300,0.00655996328108289,1446.53162778449,49784514.36106466,0.0002167870422049331,0.002858742692333812,0.04668326816817944,0.09834495217223896
300,0.00595179394616397,1444.0567158934,54826094.79474582,0.0002337465182598353,0.003079209155123793,0.04643611451974457,0.09826113371413903
300,0.00540000753963769,1441.380076573197,60374026.79840131,0.0002524068024294892,0.003318820466777592,0.04616733217672835,0.09817101750866465
300,0.004899376841991999,1438.479007413738,66478201.08579871,0.0002730226028446122,0.003579758996396818,0.04587439599922095,0.09807385700265006
300,0.004445159245362464,1435.326469523361,73193155.54481147,0.0002959080522386822,0.003864607045368154,0.04555430445791232,0.09796874597818116
300,0.004033051825545544,1431.889673228792,80578409.17815749,0.0003214572512366465,0.004176471319942416,0.04520342900107363,0.09785456309820091
300,0.003659150579252181,1428.127971624051,88698768.31679718,0.000350174877494944,0.004519166964440682,0.04481729102869916,0.09772988885124934
300,0.003319913440445412,1423.989590659947,97624563.18335925,0.0003827236693774643,0.004897501424750679,0.044390217504339,0.09759287606779334
300,0.003012126725405938,1419.406289058507,107431733.8944942,0.0004200018510918843,0.005317735531085947,0.04391478110545317,0.09744103779894708
300,0.002732874688650746,1414.284062272469,118201599.6642788,0.000463277613159685,0.005788382595462785,0.04338082941460285,0.09727087727083535
300,0.002479511901300032,1408.485553761932,130019937.384019,0.0005144428679752758,0.006321714949010561,0.04277365402850038,0.09707718680720771
300,0.002249638190225193,1401.79275141215,142974413.1739621,0.0005765498329565373,0.006936949935686471,0.04207011790442589,0.09685155979272032
300,0.002041075900569873,1393.813359425557,157147400.5951865,0.0006551537081388513,0.007668227329125184,0.04122895764500593,0.09657865411668007
300,0.001851849266245829,1383.668956002836,172591537.7231776,0.000762771532012252,0.008591121298091284,0.04015855138650061,0.09622374146388211
300,0.001680165692974834,1367.969935133996,189176249.2661568,0.0009477547476472112,0.009994372702494867,0.03850809280501772,0.09565178771642091
300,0.001524398776565902,299.9999999999998,-1.228829250047722e-13,0.0499001996007984,4.438917040645465e-25,7.329575493279294e-26,-2.615887883578989e-23
300,0.001383072895555441,299.9999999999999,1.827388959729691e-23,0.0499001996007984,8.996041807245176e-33,-2.098011859320182e-37,4.852659211713402e-34
300,0.001254849232252331,300,1.190185172974445e-23,0.0499001996007984,1.468680730734653e-33,-1.068353685168566e-40,2.098752040256608e-34
300,0.001138513089761537,299.9999999999999,1.35918572446572e-23,0.0499001996007984,8.467676623985116e-34,-7.145935964752427e-44,9.68597905630637e-36
300,0.001032962384837093,299.9999999999999,2.116171021976341e-23,0.0499001996007984,3.36492287692106e-33,-3.153016691472724e-44,3.075085919072636e-33
300,0.0009371972075541283,300,-1.777936770323764e-24,0.0499001996007984,-4.312739476461584e-34,-5.142773589072342e-49,3.435776129253883e-34
300,0.0008503103488959835,299.9999999999999,8.056869207591143e-25,0.0499001996007984,3.64048749305248e-34,1.251412056014691e-44,1.581183210499577e-36
300,0.0007714787065217011,300,-4.802124749210908e-22,0.0499001996007984,-1.215733489874284e-32,7.262412455274505e-43,-1.006191839925957e-34
300,0.0006999554872984427,300,-6.091722954903543e-24,0.0499001996007984,-4.395280295676906e-34,1.225496881175325e-57,1.643412530576629e-34
300,0.0006350631327313489,299.9999999999999,1.657811818004967e-23,0.0499001996007984,1.082009907186012e-32,-4.029479006446548e-51,5.535328851298737e-32
300,0.0005761869002715535,300,2.43458002258378e-23,0.0499001996007984,-1.254002415073877e-33,1.004006672947664e-34,-5.423323791438544e-34
300,0.0005227690396963793,300,2.09687842088013e-24,0.0499001996007984,1.290424331059894e-34,9.046587388434091e-49,-2.603260308616504e-34
300,0.0004743035093930039,300,3.933362946511512e-24,0.0499001996007984,1.696442848370793e-34,7.401924369281504e-63,1.509068342714274e-34
300,0.0004303311824915584,299.9999999999999,2.517272940978926e-23,0.0499001996007984,4.562334521541539e-34,3.190476139197249e-45,-3.678274685929702e-38
300,0.0003904354974340707,300,8.353509312059262e-24,0.0499001996007984,-2.062309707590457e-33,1.0875320803421e-34,1.250476959425759e-33
300,0.0003542385117759404,300,-3.009898073857863e-27,0.0499001996007984,1.72289664677159e-48,8.772448376663362e-49,4.905825303642164e-39
300,0.0003213973218365539,300,-2.035917348047353e-23,0.0499001996007984,-4.635177099028163e-34,-2.591407567786859e-35,-8.452357560350528e-35
300,0.000291600814281439,299.9999999999999,1.700144559474115e-23,0.0499001996007984,5.296313751633856e-34,9.219918632101431e-45,1.250718374747202e-36
300,0.0002645667188628309,300,4.133451871402781e-23,0.0499001996007984,9.17877382738139e-34,-1.543519194012877e-52,3.833720147629965e-42
300,0.0002400389343984749,300,1.172643907394088e-23,0.0499001996007984,6.920023770480876e-35,5.938677873806998e-51,1.246768879833243e-34
300,0.0002177851026569549,299.9999999999999,1.023054155009372e-22,0.0499001996007984,7.148164698097068e-34,-1.790499877403441e-45,1.560777581947273e-36
300,0.000197594407166314,300,4.350660195093152e-23,0.0499001996007984,5.141213307448106e-34,-1.315547550880533e-52,2.269342987575218e-37
300,0.0001792755760934975,300,-3.050277981361505e-27,0.0499001996007984,-2.584344970157385e-49,-1.806443977686267e-53,5.930637527222286e-43
300,0.0001626550702753625,300,-8.947407246708642e-23,0.0499001996007984,-4.271443740942046e-34,6.325443979437815e-51,1.963376312832436e-34
300,0.0001475754392359905,299.9999999999999,-3.687162290304062e-23,0.0499001996007984,-2.726381085305781e-34,6.045555397750672e-46,1.492305110860435e-37
300,0.0001338938296164157,300,5.843668189788499e-23,0.0499001996007984,1.158011714588387e-33,-1.509584003295914e-45,1.993346974566682e-34
300,0.0001214806318867293,300,-1.602837190933688e-23,0.0499001996007984,-2.146219221829217e-34,1.138899939539503e-46,-8.202003546901799e-39
300,0.000110218252520501,300,-1.937428183061069e-22,0.0499001996007984,-2.116326976158394e-34,-9.017129048758637e-35,3.205730558381614e-36
300,0.0001,300,-3.050117174699471e-27,0.0499001996007984,1.72289664677159e-49,1.09655604708292e-49,-1.69516945130874e-49
325,0.1,1495.637074331783,3254923.971944467,3.01700947102046e-05,0.0003737260471498369,0.04947158021426478,0.09942014760699686
325,0.0907290740990469,1495.272436657668,3587079.264554666,3.214351828341402e-05,0.000400177560535682,0.04944169514215151,0.09940336362108806
325,0.08231764886870344,1494.884780760676,3953099.07598385,3.424814264648124e-05,0.0004285271257642964,0.04940968855826423,0.09938572511638004
325,0.07468604063867915,1494.472556068548,4356430.531674011,3.649306630820164e-05,0.0004589137556837731,0.04937540624795997,0.09936718324175782
325,0.06776195315271148,1494.034101762515,4800870.667071663,3.888808225394685e-05,0.000491486986259359,0.04933868235423779,0.0993476860306233
325,0.06147979268688505,1493.567638369054,5290601.761229535,4.144374183041512e-05,0.0005264077261746799,0.04929933843212913,0.09932717817436579
325,0.05578004666282432,1493.07125860207,5830230.210919021,4.417142627420136e-05,0.0005638491848823722,0.0492571824141293,0.09930560077495894
325,0.05060871986919682,1492.542917376149,6424829.287822698,4.708342704128028e-05,0.0006039978880577777,0.04921200747623863,0.09928289107415662
325,0.04591682295070265,1491.980420891795,7079986.15902703,5.019303631681827e-05,0.0006470547909170463,0.04916359079238932,0.09925898215613886
325,0.04165990831887118,1491.381414677174,7801853.586702652,5.351464934179083e-05,0.0006932365015159834,0.04911169216305599,0.09923380261987387
325,0.03779764908822364,1490.743370451204,8597206.761517812,5.706388050476655e-05,0.000742776628129453,0.04905605250147425,0.0992072762167396
325,0.03429345704895213,1490.063571648749,9473505.766158044,6.085769552733879e-05,0.0007959272672015479,0.04899639215802999,0.09917932144806277
325,0.0311141360570686,1489.339097419246,10438964.21044689,6.491456253713793e-05,0.0008529606512520592,0.04893240905989906,0.0991498511161307
325,0.02822956755849604,1488.566804873823,11502624.62809871,6.925462539525302e-05,0.000914170979652591,0.04886377663877872,0.09911877182086275
325,0.02561242526798837,1487.743309310986,12674441.27715997,7.389990335383102e-05,0.0009798764595078957,0.04879014151433946,0.09908598339261185
325,0.02323791629995618,1486.86496209497,13965371.04166916,7.887452200216798e-05,0.001050421589209399,0.04871112089459123,0.09905137824940949
325,0.02108354629886174,1485.927825790434,15387473.19092213,8.420498156522013e-05,0.001126179723846382,0.0486262996463564,0.09901484066422998
325,0.01912890634420113,1484.927646068351,16954018.81464335,8.992047001294414e-05,0.001207555969937269,0.04853522697901515,0.09897624592437371
325,0.01735547961136752,1483.85981978468,18679610.81692477,9.605323021071109e-05,0.001294990467374606,0.04843741267203929,0.09893545936059016
325,0.01574646595684261,1482.719358488233,20580315.41813212,0.0001026389926100723,0.001388962129733043,0.04833232276072706,0.09889233521779815
325,0.01428662276596493,1481.500846426065,22673806.18096712,0.0001097174879097362,0.001489992931086827,0.04821937457387676,0.09884671533173237
325,0.01296212055558362,1480.198391869223,24979521.64256107,0.0001173330579363406,0.001598652849489823,0.048097930990333,0.09879842756597171
325,0.01176041196368325,1478.805570257715,27518837.69619608,0.0001255353880228057,0.001715565606064928,0.04796729374622512,0.0987472839507134
325,0.01067011288488335,1477.315357231729,30315255.91989102,0.0001343803908519898,0.001841415376751896,0.04782669557820506,0.09869307844712544
325,0.009680894625777765,1475.720049033581,33394609.08870195,0.0001439312807381778,0.001976954704808521,0.04767529092561123,0.09863558423738659
325,0.008783386058472559,1474.011166969125,36785285.12429051,0.0001542598895931823,0.002123013911467461,0.04751214482972585,0.09857455040801891
325,0.007969084845396922,1472.17934151529,40518470.71600124,0.0001654482927861986,0.002280512397626778,0.04733621955143978,0.09850969784900258
325,0.007230276894396091,1470.214170110748,44628415.77245872,0.0001775908369030068,0.002450472363083888,0.04714635826500841,0.09844071412762972
325,0.00655996328108289,1468.104040451278,49152719.70134439,0.0001907966953515107,0.00263403566012845,0.04694126495244702,0.09836724700511348
