T_K,P_Pa,Z_liq_coolprop,Z_liq_cubic_root,Z_vap_coolprop,Z_vap_cubic_root,liquid_absolute_error,vapor_absolute_error
203.4395,25303.12654442537,0.00100895096422641,0.001008950964227724,0.9887174981471506,0.988717529199007,1.314269873486928e-15,3.105185641949504e-08
204.4630949685535,26843.06997219691,0.001066780767778672,0.001066780767779831,0.9881744274359149,0.9881744512154584,1.159445803255998e-15,2.377954355647915e-08
205.4866899371069,28458.00800500586,0.001127226473521218,0.001127226473522238,0.987612549829075,0.9876125679564397,1.02023424430886e-15,1.812736472039944e-08
206.5102849056604,30150.58990085237,0.001190372022198878,0.001190372022199773,0.9870315169773567,0.9870315307304475,8.953341540385296e-16,1.375309077733533e-08
207.5338798742139,31923.51648342954,0.001256302790204246,0.001256302790205029,0.9864309826423542,0.9864309930226375,7.825771281000371e-16,1.038028329958252e-08
208.5574748427673,33779.53990526104,0.001325105588041274,0.001325105588041957,0.985810602832241,0.9858106106249084,6.83481049534862e-16,7.79266740025264e-09
209.5810698113208,35721.46338931935,0.001396868659149476,0.001396868659150072,0.9851700359415062,0.9851700417574852,5.960943544325303e-16,5.815979031709162e-09
210.6046647798742,37752.14094984983,0.00147168167913494,0.001471681679135461,0.9845089428688145,0.9845089471820914,5.20200202358545e-16,4.313276846801273e-09
211.6282597484277,39874.47722025365,0.001549635759293647,0.001549635760394894,0.9838171454764054,0.983826990254548,1.101246697998715e-12,9.844778142586996e-06
212.6518547169811,42091.42660000864,0.001630823430488689,0.001630823431516444,0.9831157078339783,0.9831238372416745,1.027755137938957e-12,8.129407696233493e-06
213.6754496855346,44405.99377221755,0.001715338670308824,0.001715338671262198,0.9823924774991561,0.9823991570569859,9.533745320977616e-13,6.679557829736282e-06
214.6990446540881,46821.23274550099,0.001803276885525281,0.001803276886403953,0.9816471629370204,0.9816526215912559,8.786721350517723e-13,5.458654235512839e-06
215.7226396226415,49340.24664942897,0.001894734919406476,0.001894734920210695,0.9808794710765949,0.9808839057159568,8.042191045054548e-13,4.434639361949877e-06
216.746234591195,51966.18735244475,0.001989811054607636,0.001989811055338214,0.9800891078774103,0.9800926873461882,7.305779245458943e-13,3.579468777825667e-06
217.7698295597484,54702.25506631691,0.002088605016874164,0.002088605017532468,0.9792757788417851,0.9792786474953832,6.583037066854036e-13,2.868653598109283e-06
218.7934245283019,57551.69793786458,0.002191217979605766,0.002191217980193689,0.9784391894649166,0.9784414703220086,5.879225058180726e-13,2.28085709197412e-06
219.8170194968554,60517.81162906491,0.002297752569342911,0.002297752569862855,0.9775790456390647,0.9775808431683068,5.199438969649695e-13,1.797529242120177e-06
220.8406144654088,63603.93888654993,0.002408312872233824,0.002408312872688663,0.9766950540106053,0.9766964565911916,4.548388575498219e-13,1.402580586340463e-06
221.8642094339623,66813.46910131685,0.002523004441533923,0.002523004441926973,0.9757869222932969,0.975788004385463,3.93049308378135e-13,1.082092166093673e-06
222.8878044025157,70149.83785963073,0.00264193430619645,0.002641934306531418,0.9748543595429006,0.9748551835994584,3.349681643172175e-13,8.240565578798709e-07
223.9113993710692,73616.52648625425,0.00276521098061976,0.002765210980900705,0.9738970764004306,0.9738976945432198,2.809449721474788e-13,6.181427892881786e-07
224.9349943396226,77217.06158039418,0.002892944475589793,0.002892944475821076,0.9729147852946923,0.9729152407894842,2.312833084772148e-13,4.554947918844476e-07
225.9585893081761,80955.01454590553,0.003025246310500886,0.003025246310687106,0.9719072006228044,0.9719075291674094,1.862208304226343e-13,3.285446049661189e-07
226.9821842767296,84834.0011161127,0.003162229526894877,0.003162229527040834,0.9708740389008605,0.9708742697493944,1.459574648643436e-13,2.308485338442523e-07
228.005779245283,88857.68087417608,0.003304008703381571,0.003304008703492184,0.9698150188856528,0.969815175831062,1.106133414030541e-13,1.56945409224285e-07
229.0293742138365,93029.75677016974,0.003450699972013914,0.003450699972094194,0.9687298616792396,0.9687299639044985,8.027953302125468e-14,1.022252589244488e-07
230.0529691823899,97353.97463510024,0.003602421036158317,0.003602421036213273,0.9676182908074858,0.9676183536250443,5.495517235720726e-14,6.281755848824844e-08
231.0765641509434,101834.1226932006,0.003759291189943513,0.003759291189978122,0.9664800322823932,0.9664800677716283,3.460903438834428e-14,3.548923510621194e-08
232.1001591194969,106474.0310727896,0.00392143133933481,0.003921431339353952,0.9653148146423552,0.965314832200956,1.914267355740407e-14,1.755860079555305e-08
233.1237540880503,111277.5720742803,0.004088964063354141,0.004088964052747302,0.9641312660046595,0.9641223755438606,1.06068391916847e-11,8.890460798882671e-06
234.1473490566038,116248.6560617824,0.004262013457826545,0.00426201345258785,0.9629063901920512,0.9629024303503853,5.238694894549312e-12,3.959841665901465e-06
235.1709440251572,121391.2377077474,0.004440705488920498,0.004440705489113863,0.9616545990951667,0.961654730786488,1.933644216967068e-13,1.316913212923154e-07
236.1945389937107,126709.3097780727,0.004625167752393577,0.00462516775805535,0.9603755269408771,0.96037901447445,5.661772266296605e-12,3.487533572821278e-06
237.2181339622642,132206.9045145141,0.004815529588494834,0.004815529599634574,0.9590688203045071,0.9590750217920727,1.113974017197261e-11,6.201487565582475e-06
238.2417289308176,137888.0931522617,0.00501192211425283,0.005011922130854727,0.9577341373135672,0.9577424957927827,1.660189780788857e-11,8.358479215542225e-06
239.2653238993711,143756.985440639,0.005214478257886066,0.005214478279911039,0.9563711468902926,0.9563811821205291,2.20249729912525e-11,1.003523023657138e-05
240.2889188679245,149817.7264380539,0.005423332724000748,0.005423332724045354,0.9549908115187284,0.9549908297710645,4.460581209952963e-14,1.825233608698795e-08
241.312513836478,156074.5061104186,0.005638622293005844,0.005638622293067687,0.9535711648669531,0.9535711878455981,6.184289191857317e-14,2.297864498679303e-08
242.3361088050315,162531.5450303238,0.00586048550932165,0.005860485509402706,0.952121982446016,0.9521220097910335,8.10558217767543e-14,2.734501747259088e-08
243.3597037735849,169193.1023232923,0.00608906293648469,0.006089062936586617,0.95064301942657,0.9506430506522456,1.019262799162313e-13,3.122567560076561e-08
244.3832987421384,176063.4732955023,0.006324497155957923,0.00632449715608208,0.9491340330124372,0.9491340675654675,1.24156761260874e-13,3.455303032584567e-08
245.4068937106918,183146.9889862004,0.006566932816166356,0.006566932816313844,0.9475947823377305,0.9475948196432515,1.474879246510241e-13,3.730552100567053e-08
246.4304886792453,190448.0157271612,0.006816516684312459,0.006816516684484181,0.9460250283599225,0.9460250678547123,1.717220116104201e-13,3.949478977194332e-08
247.4540836477988,197970.9547091211,0.007073397701063029,0.007073397701259734,0.9444245337437578,0.9444245749012252,1.967046317497001e-13,4.115746743416082e-08
