Tr,v_over_b,P_over_Pc
0.7,1.005,1754.447250134703
0.7,1.013854255855074,605.1188958019339
0.7,1.022786519517856,351.2937531966725
0.7,1.031797478253112,240.1392413546015
0.7,1.040887825380548,177.9595721425892
0.7,1.050058260328161,138.3622166686177
0.7,1.059309488686051,111.0268374214108
0.7,1.068642222260711,91.08759976448658
0.7,1.078057179129797,75.95031961792846
0.7,1.087555083697374,64.1054222778082
0.7,1.097136666749656,54.6148079978779
0.7,1.106802665511232,46.86485263405393
0.7,1.116553823701794,40.43732113938342
0.7,1.126390891593353,35.0373630078531
0.7,1.136314626067972,30.45116260903551
0.7,1.146325790676,26.51991088234065
0.7,1.156425155694822,23.1232028365102
0.7,1.166613498188121,20.16810524551218
0.7,1.176891602065674,17.5817569797348
0.7,1.187260258143661,15.30623828577912
0.7,1.197720264205517,13.29493682987533
0.7,1.208272425063311,11.50992473112067
0.7,1.21891755261967,9.920033005641686
0.7,1.229656465930252,8.499416282630266
0.7,1.240489991266762,7.226468101852448
0.7,1.251418962180528,6.0829908093225
0.7,1.262444219566635,5.05355296932199
0.7,1.273566611728627,4.12498667728328
0.7,1.284786994443777,3.285990491880456
0.7,1.296106231028928,2.526812979974284
0.7,1.307525192406923,1.838998412518062
0.7,1.319044757173616,1.215180828201458
0.7,1.330665811665465,0.6489160673666289
0.7,1.34238925002774,0.1345438567354173
0.7,1.354215974283309,-0.3329261416701251
0.7,1.366146894402048,-0.7579090349618479
0.7,1.378182928370854,-1.144323842603479
0.7,1.390325002264278,-1.495659978983641
0.7,1.402574050315774,-1.81503337420886
0.7,1.414931014989589,-2.105234067138641
0.7,1.427396847053268,-2.368766742969152
0.7,1.439972505650815,-2.607885404275219
0.7,1.452658958376492,-2.824623140942195
0.7,1.465457181349259,-3.020817787108475
0.7,1.478368159287887,-3.198134111736624
0.7,1.491392885586723,-3.35808307587711
0.7,1.504532362392118,-3.502038598083416
0.7,1.517787600679539,-3.631252195164985
0.7,1.531159620331356,-3.746865804957189
0.7,1.544649450215308,-3.849923048267761
0.7,1.558258128263672,-3.941379146454056
0.7,1.57198670155312,-4.02210967748599
0.7,1.585836226385284,-4.092918325503147
0.7,1.599807768368031,-4.15454375570828
0.7,1.613902402497449,-4.207665727094365
0.7,1.628121213240565,-4.252910539291835
0.7,1.642465294618779,-4.290855896191854
0.7,1.656935750292047,-4.322035257502263
0.7,1.671533693643793,-4.346941739661795
0.7,1.686260247866578,-4.366031619277521
0.7,1.70111654604852,-4.379727485218339
0.7,1.716103731260473,-4.388421079493263
0.7,1.731222956643983,-4.392475861903877
0.7,1.746475385500006,-4.392229329048445
0.7,1.76186219137842,-4.38799511445919
0.7,1.777384558168317,-4.380064893379464
0.7,1.793043680189093,-4.368710112855931
0.7,1.808840762282344,-4.354183565366766
0.7,1.824777019904568,-4.336720822075274
0.7,1.840853679220682,-4.31654153994272
0.7,1.857071977198368,-4.293850655315499
0.7,1.873433161703246,-4.268839475186961
0.7,1.889938491594889,-4.241686676095067
0.7,1.906589236823679,-4.212559219529731
0.7,1.923386678528521,-4.181613191767815
0.7,1.94033210913542,-4.148994575211951
0.7,1.957426832456912,-4.114839957566593
0.7,1.974672163792395,-4.079277184528372
0.7,1.992069430029321,-4.042425961086832
0.7,2.009619969745292,-4.004398406016406
0.7,2.027325133311055,-3.965299563683046
0.7,2.045186282994396,-3.925227876882107
0.7,2.063204793064963,-3.884275624061531
0.7,2.081382049900001,-3.842529323961339
0.7,2.099719452091018,-3.800070110411453
0.7,2.118218410551406,-3.756974079771735
0.7,2.136880348624989,-3.713312613266766
0.7,2.155706702195541,-3.669152676260319
0.7,2.17469891979727,-3.62455709632828
0.7,2.193858462726263,-3.579584821821151
0.7,2.213186805152927,-3.534291162456552
0.7,2.232685434235413,-3.488728013346113
0.7,2.252355850234037,-3.442944063738633
0.7,2.272199566626719,-3.396984991650484
0.7,2.292218110225426,-3.350893645454121
0.7,2.312413021293655,-3.304710213404825
0.7,2.332785853664937,-3.258472382003589
0.7,2.353338174862396,-3.212215484019578
0.7,2.374071566219357,-3.16597263692767
0.7,2.39498762300101,-3.119774872455284
0.7,2.416087954527166,-3.073651257876461
0.7,2.437374184296068,-3.027629009640286
0.7,2.458847950109311,-2.981733599874178
0.7,2.48051090419786,-2.935988856260105
0.7,2.502364713349173,-2.890417055743166
0.7,2.524411059035444,-2.845039012496366
0.7,2.546651637542984,-2.799874160533177
0.7,2.569088160102734,-2.754940631329716
0.7,2.591722353021929,-2.710255326791221
0.7,2.614555957816925,-2.665833987872548
0.7,2.637590731347192,-2.62169125913959
0.7,2.660828445950496,-2.57784074953742
0.7,2.684270889579257,-2.534295089611728
0.7,2.707919865938124,-2.49106598541231
0.7,2.731777194622755,-2.44816426929098
0.7,2.755844711259816,-2.405599947791315
0.7,2.780124267648221,-2.363382246813623
0.7,2.804617731901612,-2.321519654225826
0.7,2.829326988592093,-2.280019960079052
0.7,2.854253938895238,-2.238890294575834
0.7,2.879400500736363,-2.198137163928741
0.7,2.904768608938103,-2.157766484237866
0.7,2.930360215369272,-2.117783613507031
0.7,2.956177289095053,-2.078193381910526
0.7,2.982221816528492,-2.039000120414762
0.7,3.008495801583345,-2.000207687852431
0.7,3.035001265828255,-1.961819496540283
0.7,3.061740248642302,-1.923838536525789
0.7,3.088714807371911,-1.886267398542452
0.7,3.115927017489151,-1.849108295748373
0.7,3.143378972751426,-1.812363084318003
0.7,3.171072785362571,-1.776033282952548
0.7,3.199010586135369,-1.740120091370394
0.7,3.227194524655501,-1.704624407835093
0.7,3.255626769446938,-1.669546845774909
0.7,3.28430950813879,-1.634887749544552
0.7,3.313244947633629,-1.600647209376683
0.7,3.34243531427729,-1.56682507556783
0.7,3.371882854030171,-1.533420971940713
0.7,3.401589832640043,-1.500434308622397
0.7,3.431558535816374,-1.467864294175378
0.7,3.461791269406206,-1.435709947116505
0.7,3.492290359571563,-1.403970106856548
0.7,3.523058152968434,-1.372643444091342
0.7,3.554097016927327,-1.341728470673614
0.7,3.585409339635416,-1.311223548992891
0.7,3.616997530320295,-1.281126900889356
0.7,3.648864019435347,-1.251436616125999
0.7,3.681011258846744,-1.222150660442034
0.7,3.713441722022105,-1.19326688320925
0.7,3.746157904220802,-1.164783024711756
0.7,3.779162322685954,-1.136696723068397
0.7,3.81245751683811,-1.1090055208161
0.7,3.846046048470632,-1.081706871171326
0.7,3.879930501946807,-1.054798143985934
0.7,3.914113484398691,-1.028276631412787
0.7,3.948597625927707,-1.002139553295674
0.7,3.983385579807012,-0.9763840622972559
0.7,4.018480022685642,-0.9510072487780469
0.7,4.05388365479446,-0.9260061454387591
0.7,4.089599200153916,-0.9013777317375986
0.7,4.125629406783636,-0.8771189380935943
0.7,4.161977046913864,-0.853226649886351
0.7,4.19864491719876,-0.8296977112621492
0.7,4.23563583893158,-0.806528928755735
0.7,4.272952658261751,-0.7837170747367014
0.7,4.310598246413859,-0.7612588906888652
0.7,4.348575499908566,-0.7391510903306231
0.7,4.386887340785479,-0.7173903625838649
0.7,4.425536716827966,-0.6959733743986293
0.7,4.464526601789975,-0.6748967734403004
0.7,4.503859995624834,-0.6541571906458415
0.7,4.543539924716072,-0.6337512426551877
0.7,4.583569442110281,-0.613675534123645
0.7,4.623951627752015,-0.5939266599208304
0.7,4.664689588720773,-0.5745012072214176
0.7,4.705786459470061,-0.5553957574926969
0.7,4.747245402068559,-0.5366068883836986
0.7,4.789069606443423,-0.5181311755204128
0.7,4.831262290625721,-0.4999651942113768
0.7,4.87382670099803,-0.4821055210677696
0.7,4.916766112544227,-0.4645487355418466
0.7,4.960083829101465,-0.4472914213874646
0.7,5.00378318361438,-0.4303301680461926
0.7,5.047867538391532,-0.4136615719623756
0.7,5.09234028536411,-0.3972822378303354
0.7,5.137204846346912,-0.3811887797767658
0.7,5.18246467330162,-0.3653778224812128
0.7,5.228123248602411,-0.349846002237384
0.7,5.274184085303889,-0.3345899679579483
0.7,5.320650727411392,-0.3196063821253167
0.7,5.367526750153668,-0.3048919216907903
0.7,5.414815760257961,-0.2904432789243694
0.7,5.462521396227523,-0.276257162217385
0.7,5.510647328621568,-0.2623302968400306
0.7,5.559197260337682,-0.2486594256557888
0.7,5.608174926896744,-0.2352413097945974
0.7,5.65758409673033,-0.2220727292866212
0.7,5.707428571470677,-0.2091504836582832
0.7,5.757712186243175,-0.1964713924922485
0.7,5.808438809961458,-0.1840322959529031
0.7,5.85961234562508,-0.1718300552788362
0.7,5.911236730619822,-0.159861553243744
0.7,5.963315937020637,-0.1481236945871517
0.7,6.015853971897275,-0.1366134064162207
0.7,6.068854877622589,-0.1253276385799268
0.7,6.122322732183568,-0.1142633640167792
0.7,6.176261649495101,-0.1034175790772413
0.7,6.230675779716504,-0.09278730382192096
0.7,6.285569309570855,-0.08236958229660556
0.7,6.340946462667115,-0.07216148278511647
0.7,6.396811499825105,-0.06216009804094898
0.7,6.453168719403347,-0.05236254549861753
0.7,6.510022457629772,-0.04276596746557251
0.7,6.567377088935375,-0.03336753129553318
0.7,6.625237026290783,-0.02416442954404116
0.7,6.683606721545796,-0.01515388010699935
0.7,6.742490665771926,-0.006333126342936188
0.7,6.801893389607938,0.002300562820301407
0.7,6.861819463608461,0.01074989279374559
0.7,6.92227349859564,0.01901754324975601
0.7,6.983260146013913,0.0271061680580882
0.7,7.044784098287891,0.03501839523499112
0.7,7.106850089183412,0.04275682690476626
0.7,7.169462894171756,0.05032403927323368
0.7,7.232627330797085,0.05772258261258604
0.7,7.296348259047113,0.064954981257123
0.7,7.360630581727039,0.07202373360938526
0.7,7.425479244836786,0.07893131215622114
0.7,7.490899237951538,0.08568016349434804
0.7,7.55689559460567,0.09227270836497137
0.7,7.623473392680017,0.09871134169706046
0.7,7.690637754792592,0.1049984326588828
0.7,7.758393848692719,0.1111363247174166
0.7,7.826746887658646,0.1171273357052863
0.7,7.895702130898679,0.1229737578948674
0.7,7.965264883955824,0.1286778580792211
0.7,8.035440499116003,0.134241877659548
0.7,8.106234375819882,0.1396680327388421
0.7,8.177651961078295,0.1449585142214536
0.7,8.249698749891364,0.1501154879182703
0.7,8.322380285671287,0.1551410946572492
0.7,8.395702160668856,0.1600374503990263
0.7,8.469670016403743,0.1648066463573605
0.7,8.544289544098556,0.169450749124157
0.7,8.619566485116746,0.173971800798846
0.7,8.695506631404353,0.1783718191218839
0.7,8.772115825935643,0.1826527976121596
0.7,8.849399963162686,0.1868167057081045
0.7,8.927364989468881,0.190865488912297
0.7,9.006016903626479,0.1948010689393713
0.7,9.085361757258152,0.1986253438670479
0.7,9.165405655302598,0.2023401882900991
0.7,9.24615475648428,0.2059474534770865
0.7,9.327615273787288,0.2094489675296956
0.7,9.409793474933366,0.212846535544516
0.7,9.492695682864177,0.2161419397771084
0.7,9.576328276227795,0.2193369398082105
0.7,9.660697689869487,0.2224332727119446
0.7,9.745810415326828,0.2254326532258834
0.7,9.831673001329165,0.2283367739228453
0.7,9.918292054301494,0.2311473053842947
0.7,10.00567423887277,0.2338658963752175
0.7,10.09382627838869,0.2364941740203628
0.7,10.18275495542901,0.2390337439817318
0.7,10.2724671123294,0.2414861906372068
0.7,10.36296965170791,0.2438530772602132
0.7,10.45426953699606,0.2461359462003184
