sample_id,branch,e,M_rad,orekit_E_rad,mpmath_E_rad,absolute_error,orekit_residual
kepler_0000000,difficult,0.9999999944459812,3.3264331109642693e-08,0.0058420999870762271,0.005842099987057597,1.863006277025292e-14,2.8657506885777133e-19
kepler_0000001,high_e,0.90744631114140994,1.6448262182461104,2.3133698703318122,2.3133698703318122,0,2.2204460492503131e-16
kepler_0000002,ordinary,0.7170206841023713,1.0657379255843633,1.7687552247078564,1.7687552247078564,0,0
kepler_0000003,ordinary,0.47283590958521365,2.6279484944182254,2.7905471727464262,2.7905471727464262,0,4.4408920985006262e-16
kepler_0000004,difficult,0.9999999799100906,0.0014701504011163649,0.20676644804373687,0.20676644804373698,1.1102230246251565e-16,8.6736173798840355e-19
kepler_0000005,high_e,0.92550836865474206,2.4666608994130499,2.7875380944125365,2.7875380944125361,4.4408920985006262e-16,4.4408920985006262e-16
kepler_0000006,ordinary,0.46594830018676014,2.7821557832015826,2.8956159427894912,2.8956159427894912,0,0
kepler_0000007,ordinary,0.27002773477125219,2.4041418069512104,2.5538645622804359,2.5538645622804363,4.4408920985006262e-16,4.4408920985006262e-16
kepler_0000008,difficult,0.9999999999721727,1.3907257958617533e-06,0.020283076997077553,0.020283076997081952,4.3992587350771828e-15,4.2266944067989587e-19
kepler_0000009,high_e,0.9263906419151392,2.161974465567067,2.6219734249194557,2.6219734249194557,0,4.4408920985006262e-16
kepler_0000010,ordinary,0.25739585329276976,2.3060586474112466,2.4668524198286828,2.4668524198286828,0,0
kepler_0000011,ordinary,0.85086619062026858,1.302589111344518,2.0554617810292597,2.0554617810292597,0,2.2204460492503131e-16
kepler_0000012,difficult,0.9999999898036328,4.2368985568738049e-05,0.063351944631743262,0.063351944631744164,9.0205620750793969e-16,6.4374503991326826e-19
kepler_0000013,high_e,0.94267882293566962,0.64723137302036016,1.589741036348516,1.589741036348516,0,0
kepler_0000014,ordinary,0.35046689108234341,0.4709218590124743,0.69548674808899646,0.69548674808899658,1.1102230246251565e-16,0
kepler_0000015,ordinary,0.78672896162674189,2.9838862620484212,3.0532766967370999,3.0532766967370999,0,4.4408920985006262e-16
kepler_0000016,difficult,0.99999999711403764,9.8219666708646107e-07,0.018062502248829604,0.018062502248830842,1.2385925618474403e-15,1.0001341524705151e-18
kepler_0000017,high_e,0.97602240789299199,0.042328865999537987,0.56446844781470862,0.56446844781470862,0,1.3877787807814457e-17
kepler_0000018,ordinary,0.66524180592553073,2.1425522858089829,2.5264478761721518,2.5264478761721518,0,0
kepler_0000019,ordinary,0.59231491618116949,1.4573139124637078,1.996711909918705,1.996711909918705,0,0
kepler_0000020,difficult,0.9999999891712168,0.0084921708194314795,0.37158328338945351,0.37158328338945362,1.1102230246251565e-16,8.6736173798840355e-18
kepler_0000021,high_e,0.93410895328877752,1.4386418660324325,2.1960377862862002,2.1960377862861997,4.4408920985006262e-16,4.4408920985006262e-16
kepler_0000022,ordinary,0.7797548486148127,1.8984237207503145,2.4159069083491489,2.4159069083491489,0,2.2204460492503131e-16
kepler_0000023,ordinary,0.28310093147597698,1.3485126147187758,1.6310989668557672,1.6310989668557672,0,0
kepler_0000024,difficult,0.99999999986603028,1.5237287938348877e-05,0.045050637551344565,0.045050637551342226,2.338407245616736e-15,8.2331602473117993e-19
kepler_0000025,high_e,0.95634301190553006,0.087204431443343708,0.71211000214176134,0.71211000214176123,1.1102230246251565e-16,4.163336342344337e-17
kepler_0000026,ordinary,0.75818534853200892,1.1720897258818572,1.891595322252317,1.891595322252317,0,2.2204460492503131e-16
kepler_0000027,ordinary,0.82467541289840585,0.60858412693634834,1.4244433519927471,1.4244433519927471,0,1.1102230246251565e-16
kepler_0000028,difficult,0.99999999987741173,1.9600910317701874e-06,0.022741164591250199,0.022741164591248884,1.3149203947904198e-15,2.4907003814012701e-18
kepler_0000029,high_e,0.91821652693093259,1.7863804334209337,2.4039336641851228,2.4039336641851228,0,0
kepler_0000030,ordinary,0.58063713810607376,0.93465916157716089,1.5143722649760574,1.5143722649760574,0,1.1102230246251565e-16
kepler_0000031,ordinary,0.79226813120302442,0.74845355340559927,1.5403546164170516,1.5403546164170516,0,1.1102230246251565e-16
kepler_0000032,difficult,0.99999999969309883,6.1379782355520786e-07,0.015442803307170043,0.015442803307176445,6.402864349830395e-15,2.7909735612029196e-19
kepler_0000033,high_e,0.97586842233465632,1.2039125009418372,2.0636425895782136,2.0636425895782136,0,0
