T_K,P_Pa,rho_liq_mol_m3,rho_vap_mol_m3,Z_liq_coolprop,Z_vap_coolprop
203.4395,25303.12654442537,14826.36415975778,15.12977614231841,0.00100895096422641,0.9887174981471506
204.4630949685535,26843.06997219691,14801.57364926616,15.97899486517599,0.001066780767778672,0.9881744274359149
205.4866899371069,28458.00800500586,14776.6312568251,16.86553086535514,0.001127226473521218,0.987612549829075
206.5102849056604,30150.58990085237,14751.53560207379,17.79053147051854,0.001190372022198878,0.9870315169773567
207.5338798742139,31923.51648342954,14726.28528480364,18.75516241702462,0.001256302790204246,0.9864309826423542
208.5574748427673,33779.53990526104,14700.87888459109,19.76060787246843,0.001325105588041274,0.985810602832241
209.5810698113208,35721.46338931935,14675.3149604203,20.80807046853351,0.001396868659149476,0.9851700359415062
210.6046647798742,37752.14094984983,14649.59205029548,21.89877134523249,0.00147168167913494,0.9845089428688145
211.6282597484277,39874.47722025365,14623.70868123372,23.03418070129192,0.001549635759293647,0.9838171454764054
212.6518547169811,42091.42660000864,14597.66332609699,24.21506562542345,0.001630823430488689,0.9831157078339783
213.6754496855346,44405.99377221755,14571.45446918943,25.44296694664627,0.001715338670308824,0.9823924774991561
214.6990446540881,46821.23274550099,14545.08056049383,26.71918033600468,0.001803276885525281,0.9816471629370204
215.7226396226415,49340.24664942897,14518.54002690429,28.04502039132603,0.001894734919406476,0.9808794710765949
216.746234591195,51966.18735244475,14491.83127176791,29.42182076538211,0.001989811054607636,0.9800891078774103
217.7698295597484,54702.25506631691,14464.952674413,30.85093431020869,0.002088605016874164,0.9792757788417851
218.7934245283019,57551.69793786458,14437.90258966373,32.33373323851538,0.002191217979605766,0.9784391894649166
219.8170194968554,60517.81162906491,14410.67934734046,33.87160930263417,0.002297752569342911,0.9775790456390647
220.8406144654088,63603.93888654993,14383.28125174534,35.46597399187976,0.002408312872233824,0.9766950540106053
221.8642094339623,66813.46910131685,14355.70658113264,37.11825874898204,0.002523004441533923,0.9757869222932969
222.8878044025157,70149.83785963073,14327.95358716324,38.82991520627365,0.00264193430619645,0.9748543595429006
223.9113993710692,73616.52648625425,14300.02049434268,40.60241544229211,0.00276521098061976,0.9738970764004306
224.9349943396226,77217.06158039418,14271.90549944229,42.43725225970866,0.002892944475589793,0.9729147852946923
225.9585893081761,80955.01454590553,14243.60677090252,44.33593948505131,0.003025246310500886,0.9719072006228044
226.9821842767296,84834.0011161127,14215.12244821815,46.30001229106074,0.003162229526894877,0.9708740389008605
228.005779245283,88857.68087417608,14186.45064130429,48.33102754257197,0.003304008703381571,0.9698150188856528
229.0293742138365,93029.75677016974,14157.58942984291,50.43056416642139,0.003450699972013914,0.9687298616792396
230.0529691823899,97353.97463510024,14128.53686260865,52.60022354633838,0.003602421036158317,0.9676182908074858
231.0765641509434,101834.1226932006,14099.2909567736,54.84162994353755,0.003759291189943513,0.9664800322823932
232.1001591194969,106474.0310727896,14069.8496971899,57.15643094396365,0.00392143133933481,0.9653148146423552
233.1237540880503,111277.5720742803,14040.21099922787,59.54574884357589,0.004088964063354141,0.9641312660046595
234.1473490566038,116248.6560617824,14010.37287289741,62.01267157604707,0.004262013457826545,0.9629063901920512
235.1709440251572,121391.2377077474,13980.33314456162,64.55804629895829,0.004440705488920498,0.9616545990951667
236.1945389937107,126709.3097780727,13950.08966215428,67.18362040515331,0.004625167752393577,0.9603755269408771
237.2181339622642,132206.9045145141,13919.64023734919,69.89116735426342,0.004815529588494834,0.9590688203045071
238.2417289308176,137888.0931522617,13888.98264469086,72.68248728885919,0.00501192211425283,0.9577341373135672
239.2653238993711,143756.985440639,13858.11462069593,75.55940768380515,0.005214478257886066,0.9563711468902926
240.2889188679245,149817.7264380539,13827.03379309713,78.52285481858507,0.005423332724000748,0.9549908115187284
241.312513836478,156074.5061104186,13795.73794907445,81.576455344024,0.005638622293005844,0.9535711648669531
242.3361088050315,162531.5450303238,13764.22464676185,84.72132833459636,0.00586048550932165,0.952121982446016
243.3597037735849,169193.1023232923,13732.49146087953,87.95941596507237,0.00608906293648469,0.95064301942657
244.3832987421384,176063.4732955023,13700.53592313785,91.29269151372773,0.006324497155957923,0.9491340330124372
245.4068937106918,183146.9889862004,13668.35552113711,94.72316024508564,0.006566932816166356,0.9475947823377305
246.4304886792453,190448.0157271612,13635.94769722853,98.25286033469182,0.006816516684312459,0.9460250283599225
247.4540836477988,197970.9547091211,13603.30984733463,101.8838638377556,0.007073397701063029,0.9444245337437578
248.4776786163522,205720.2415559745,13570.43931972729,105.6182777030844,0.00733772703823612,0.9427930627408584
249.5012735849057,213700.3459068408,13537.33341376156,109.4582448342226,0.007609658159598839,0.941130381062284
250.5248685534591,221915.7710064581,13503.98937856321,113.4059451995718,0.00788934688490611,0.9394362557455689
251.5484635220126,230371.0533042517,13470.40441166796,117.4635969934388,0.008176951457313975,0.9377104550165392
252.5720584905661,239070.7620622543,13436.57565761004,121.6334578500882,0.008472632614302927,0.9359527481453827
253.5956534591195,248019.4989723836,13402.50020645802,125.917826113041,0.008776553662266479,0.9341629052975999
254.619248427673,257221.8977830632,13368.17509229497,130.3190421618465,0.009088880554910956,0.9323406973795029
255.6428433962264,266682.6353562081,13333.59744183234,134.841028214807,0.009409782272615096,0.9304753197110549
256.6664383647799,276406.3859743485,13298.76387682989,139.4831584568501,0.009739429725057556,0.9285879215918906
257.6900333333334,286397.8885137417,13263.6713998038,144.249430131882,0.01007799761178235,0.9266674299404699
258.7136283018868,296661.9014246659,13228.31680464556,149.1423673977124,0.01042566334224389,0.9247136142207799
259.7372232704403,307203.2134972456,13192.69682073261,154.1645439338499,0.01078260742853272,0.9227262450349795
260.7608182389937,318026.6435498429,13156.80811101448,159.3185846656988,0.01114901359049473,0.9207050937906872
261.7844132075472,329137.0401284933,13120.64727002142,164.6071675674248,0.01152506886605037,0.9186499323743786
262.8080081761007,340539.2812173447,13084.21082179178,170.03302554735,0.01191096372695503,0.9165605328289309
263.8316031446541,352238.2739606744,13047.49521771407,175.5989484197371,0.01230689220027928,0.9144366670365445
264.8551981132076,364238.9543961212,13010.49683427899,181.3077849674,0.01271305199587277,0.9122781064037989
265.878793081761,376546.2871996812,12973.21197073719,187.1624450994741,0.01312964464012486,0.9100846215503504
266.9023880503145,389165.2654422864,12935.6368466572,193.1659021093938,0.01355687561633057,0.9078559819985228
267.925983018868,402100.9103582401,12897.7675993788,199.321195038021,0.01399495451200657,0.9055919558645379
268.9495779874214,415358.2711254787,12859.60028135572,205.6314311475999,0.01444409517351491,0.9032923095493867
269.9731729559749,428942.4043613076,12821.13052212459,212.097082897636,0.01490451555287285,0.9009682578456091
270.9967679245283,442858.4541221019,12782.35483945755,218.7266442387172,0.01537643915237292,0.8985969775060781
272.0203628930818,457111.53289503,12743.26870348801,225.5208952314151,0.01586009327888984,0.8961893757466938
273.0439578616352,471706.7996876202,12703.86779811073,232.4832437880204,0.01635571052149844,0.8937452042726168
274.0675528301887,486649.4405343367,12664.14770718543,239.617180421953,0.01686352862538467,0.891264211523354
275.0911477987422,501944.6683495658,12624.10391107662,246.9262815223719,0.01738379069941684,0.8887461423905276
276.1147427672956,517597.7227927601,12583.73178303112,254.4142127895475,0.01791674543435061,0.8861907379255443
277.1383377358491,533613.8701460453,12543.026585384,262.0847328403834,0.01846264733229607,0.8835977350370715
278.1619327044025,549998.4032042145,12501.98346558248,269.9416969941394,0.01902175694810776,0.8809668661775316
279.185527672956,566756.641177087,12460.59745201692,277.9890612492427,0.01959434114340907,0.8782978590175679
280.2091226415095,583893.929604418,12418.86344964719,286.2308864626993,0.02018067335402298,0.8755904361083164
281.2327176100629,601415.6402831828,12376.77623541159,294.6713427446621,0.0207810338716261,0.872844314530088
282.2563125786164,619327.1712074168,12334.33045340499,303.3147140815045,0.0213957101405182,0.870059205527055
283.2799075471698,637633.9465206155,12291.52060981137,312.165403201886,0.02202499707046143,0.8672348141268211
284.3035025157233,656341.4164806008,12248.34106757519,321.2279367013698,0.0226691973666141,0.8643708387436864
285.3270974842767,675455.0574369916,12204.78604079456,330.5069704422986,0.02332862187767297,0.8614669707648583
286.3506924528302,694980.3718212366,12160.84958881802,340.0072952471182,0.02400358996341991,0.8585228941180649
287.3742874213837,714922.8881492175,12116.52561002525,349.7338429046149,0.02469442988296673,0.8555382848194786
288.3978823899371,735288.1610364667,12071.80783527031,359.691692510185,0.0254014792050986,0.8525128105005711
289.4214773584906,756081.771226006,12026.68982096455,369.8860771630298,0.02612508524223044,0.8494461299122623
290.445072327044,777309.3256287661,11981.16494177426,380.3223910449688,0.02686560550961504,0.8463378924047581
291.4686672955975,798976.4573766586,11935.22638290596,391.0061969076942,0.02762340821158421,0.8431877373813393
292.492262264151,821088.8258883372,11888.86713195029,401.9432339975529,0.02839887275675483,0.8399952937241796
293.5158572327044,843652.1169475064,11842.07997025259,413.1394264494675,0.02919239030429254,0.8367601791898756
294.5394522012579,866672.0427940353,11794.85746377573,424.6008921842322,0.03000436434352402,0.8334819997728747
295.5630471698113,890154.3422276613,11747.19195341766,436.3339523467275,0.03083521130937407,0.8301603490336982
296.5866421383648,914104.7807244346,11699.07554474281,448.3451413256062,0.03168536123634155,0.8267948073897283
297.6102371069182,938529.1505658677,11650.50009708266,460.6412173989675,0.03255525845396735,0.8233849413653186
298.6338320754717,963433.2912312612,11601.45869216219,473.2366628125601,0.0334453587627919,0.8199173450024101
299.6574270440252,988823.0069901773,11551.93971277392,486.1236761684031,0.03435614425600863,0.81641797481859
300.6810220125786,1014704.193220387,11501.93566836691,499.3172768826708,0.03528810346014184,0.8128729259905035
301.7046169811321,1041082.750990024,11451.43730930159,512.825238265089,0.03624174579349741,0.80928169865023
302.7282119496855,1067964.609010422,11400.43507388628,526.6556221971459,0.03721759919386011,0.8056437742853817
303.751806918239,1095355.723841752,11348.91907250235,540.8167947562224,0.03821621114257721,0.8019586146733314
304.7754018867925,1123262.080111656,11296.87907064436,555.3174429216115,0.03923814976042149,0.7982256607449771
305.7989968553459,1151689.690746749,11244.30447078204,570.1665924559711,0.04028400498144413,0.7944443313711625
306.8225918238994,1180644.597217171,11191.18429294141,585.3736270648869,0.04135438981168649,0.7906140220652982
307.8461867924528,1210132.869794125,11137.50715389133,600.9483089485702,0.04244994168033758,0.7867341035940768
308.8697817610063,1240160.607820512,11083.26124480984,616.9008008715427,0.04357132389174841,0.7828039204880674
309.8933767295597,1270733.939994777,11028.43430729084,633.2416898900383,0.04471922718763292,0.7788227894427877
310.9169716981132,1301859.024667986,10973.01360753625,649.9820128924921,0.04589437142982253,0.7747899975996131
311.9405666666667,1333542.050154074,10916.98590856131,667.1332841257754,0.04709750741511105,0.7707048006949592
312.9641616352201,1365789.235053646,10860.33744022102,684.7075248998644,0.04832941883507219,0.7665664210648453
313.9877566037736,1398606.828591111,10803.05386684322,702.7172956859413,0.0495909243952228,0.7623740454903669
315.011351572327,1432001.110965411,10745.12025222832,721.1757308489578,0.05088288010963744,0.7581268228676428
316.0349465408805,1465978.393714391,10686.52102174655,740.0965762843871,0.05220618178907487,0.7538238616843604
317.058541509434,1500545.020092923,10627.23992123065,759.4942302627169,0.05356176774291693,0.749464227282298
318.0821364779874,1535707.365464842,10567.25997232341,779.3837878232889,0.0549506217177863,0.7450469388828332
319.1057314465409,1571471.837708934,10506.56342389625,799.7810891029949,0.05637377609866575,0.7405709663496225
320.1293264150943,1607844.877638957,10445.13169910428,820.7027720362084,0.05783231540172627,0.7360352266587898
321.1529213836478,1644832.959437927,10382.94533758559,842.1663299203392,0.05932738009200538,0.7314385800435912
322.1765163522012,1682442.591106772,10319.98393224493,864.1901744094866,0.06086017076361448,0.7267798257754517
323.2001113207547,1720680.314927555,10256.22605998396,886.7937045770009,0.06243195272543479,0.7220576975382573
324.2237062893082,1759552.707941319,10191.64920564943,909.9973827793743,0.06404406104140674,0.7172708583464849
325.2473012578616,1799066.382440857,10126.22967836396,933.8228181609556,0.06569790608171346,0.7124178949505462
326.2708962264151,1839227.986478565,10059.94251927987,958.2928587644133,0.06739497964958484,0.7074973116642382
327.2944911949685,1880044.204389457,9992.76139964968,983.431693359496,0.06913686175836757,0.70250752353919
328.318086163522,1921521.757329773,9924.658507933647,1009.264964277184,0.07092522814523793,0.6974468487994093
329.3416811320755,1963667.403831219,9855.604424459765,1035.819892742915,0.07276185862181517,0.6923135004350229
330.3652761006289,2006487.940371183,9785.567981907268,1063.125418448815,0.07464864637848502,0.687105576837631
331.3888710691824,2049990.201959247,9714.51610959278,1091.212355398858,0.07658760837901447,0.6818210513398829
332.4124660377358,2094181.062740163,9642.413659188407,1120.113566414316,0.07858089700576845,0.6764577604976812
333.4360610062893,2139067.436613741,9569.223209078304,1149.86415911244,0.0806308131444826,0.671013390924893
334.4596559748428,2184656.277872036,9494.904844048957,1180.50170668766,0.08273982093224114,0.665485464455273
335.4832509433962,2230954.581854021,9419.415906385628,1212.06649745352,0.08491056443456328,0.6598713213635194
336.5068459119497,2277969.385618594,9342.71071368406,1244.601817873277,0.08714588656929552,0.6541681013255208
337.5304408805032,2325707.768636067,9264.740237748538,1278.154274755641,0.08944885065872009,0.6483727217331723
338.5540358490566,2374176.853498936,9185.451737783453,1312.774163467508,0.09182276507030715,0.6424818528994534
339.57763081761,2423383.806652703,9104.788339636441,1348.515890480729,0.0942712115050167,0.6364918895900413
340.6012257861635,2473335.83914732,9022.688551031808,1385.438460409709,0.09679807761567556,0.630398918192703
341.624820754717,2524040.207410604,8939.085700433796,1423.606040023169,0.09940759479428639,0.6241986786777474
342.6484157232704,2575504.214044474,8853.907284250945,1463.088614677606,0.102104382166231,0.6178865203012585
343.6720106918239,2627735.208645848,8767.074203333275,1503.962756428087,0.1048934980851195,0.61145734974416
344.6956056603774,2680740.588653709,8678.499864844362,1546.312528007154,0.1077805007533829,0.604905570044482
345.7192006289308,2734527.80022504,8588.089119223887,1590.230553318393,0.1107715200270961,0.598225008241383
346.7427955974842,2789104.339142389,8495.736993549734,1635.819293622503,0.1138733430359481,0.5914088290689514
347.7663905660378,2844477.568781004,8401.286565620645,1683.104546114087,0.1170940754271278,0.5844799629773074
348.7899855345912,2900655.39243499,8304.680730584403,1732.372512333531,0.1204411804300018,0.5773732515176869
349.8135805031446,2957645.321549072,8205.741109945007,1783.691927530653,0.1239245729160052,0.5701057154623277
350.8371754716981,3015455.056231111,8104.304266791412,1837.223167085376,0.127554954211712,0.5626666254749673
351.8607704402516,3074092.350433875,8000.185065002936,1893.148263709243,0.1313444851244128,0.5550437904974413
352.884365408805,3133565.012928963,7893.172323923829,1951.675254450252,0.1353070802846607,0.5472232631420327
353.9079603773585,3193880.908303238,7783.023280221837,2013.043721712046,0.1394587835123633,0.539188963956046
354.931555345912,3255047.957978289,7669.4564297822,2077.53195612477,0.1438182532679332,0.5309221954415764
355.9551503144654,3317074.141253208,7552.142128844424,2145.466363207503,0.1484074004394749,0.5224010034888826
356.9787452830188,3379967.496371154,7430.690030922746,2217.234039237439,0.1532522413381939,0.5135993231999697
358.0023402515723,3443736.121610188,7304.631949069566,2293.299930200568,0.1583840619630563,0.5044858127813969
359.0259352201258,3508388.17639808,7173.397923104941,2374.230800413126,0.1638410448107557,0.4950222237704573
360.0495301886792,3573931.882451619,7036.281871842813,2460.729642383682,0.1696706049472551,0.48516106004173
361.0731251572327,3640375.524939163,6892.390681232715,2553.686699366122,0.1759328545659862,0.4748421048025451
362.0967201257862,3707727.453665191,6740.565760180994,2654.25811313019,0.1827059440390684,0.4639870645884253
363.1203150943396,3775996.084273643,6579.256305108225,2763.993044097446,0.1900946955039051,0.4524909086267594
364.1439100628931,3845189.899466834,6406.301980268427,2885.05171908817,0.1982454141724952,0.4402070094583207
365.1675050314466,3915317.450258197,6218.530294559168,3020.609268619164,0.2073733370046332,0.4269196257338657
366.1911,3986387.357488044,6010.927576804566,3175.684629733041,0.2178191362378599,0.4122874924384312
