method,index,near_knot,multi_root,root_abs,residual,status,path
fp32,317,0,0,1.0820740259376294e-07,1.2698896064246265e-07,1,0
fp32,318,0,0,8.8500613770747805e-07,9.8364783729950957e-07,1,0
fp32,319,0,0,8.948383571905083e-07,1.6268356157755903e-06,1,0
fp32,320,1,0,4.2516832721162245e-07,4.2749063993594702e-07,1,0
fp32,321,0,0,1.0324695720598243e-06,1.473556662362581e-06,1,0
fp32,322,0,0,7.1686149905048069e-07,8.6212993052718072e-07,1,0
fp32,323,1,0,5.0222672998145867e-07,4.628190924295042e-07,1,0
fp32,324,0,0,2.20648888493713e-07,2.841374550130373e-07,1,0
fp32,325,1,0,3.3840486457492602e-07,4.0534897029095495e-07,1,0
fp32,326,0,0,3.0647143578477198e-07,3.5950364712665769e-07,1,0
fp32,327,0,0,5.6458151131977274e-07,4.962128847839445e-07,1,0
fp32,328,0,0,1.1027468609370317e-06,1.3238934262359855e-06,1,0
fp32,329,1,0,1.2203700219259872e-06,1.1184757800981116e-06,1,0
fp32,330,0,0,5.6468958486988186e-07,5.0745854908537266e-07,1,0
fp32,331,1,0,1.2402910791742272e-06,1.5416782716184385e-06,1,0
fp32,332,0,0,1.352960035116979e-06,1.5737536314124728e-06,1,0
fp32,333,0,0,2.82218936664691e-07,2.5653733732539805e-07,1,0
fp32,334,0,0,1.9544326912424026e-07,2.3283965137106758e-07,1,0
fp32,335,0,0,4.3765700841191801e-07,5.612815627223938e-07,1,0
fp32,336,0,0,7.510352002526588e-07,6.9035156982103164e-07,1,0
fp32,337,1,0,1.351529833382159e-06,1.6900837339465971e-06,1,0
fp32,338,0,0,1.2884053348649616e-06,1.6293153603875144e-06,1,0
fp32,339,0,0,2.0079905738157322e-08,5.9817328312838924e-08,1,0
fp32,340,0,0,6.4253759957111356e-07,9.5689906452808893e-07,1,0
fp32,341,0,0,1.6048091522335994e-07,2.6549936071873503e-07,1,0
fp32,342,1,0,6.17921915413433e-07,5.7304210854204595e-07,1,0
fp32,343,0,0,1.0377204029410336e-07,9.5148348664550476e-08,1,0
fp32,344,0,0,9.8566137474165316e-09,4.9914629207670203e-08,1,0
fp32,345,0,0,1.0762743087866511e-06,1.2592028358119744e-06,1,0
fp32,346,1,0,1.0602675981630227e-06,1.2290761186746012e-06,1,0
fp32,347,1,0,4.849575008236684e-08,4.2967699852648913e-08,1,0
fp32,348,1,0,4.6751867888161769e-07,5.4195380093024999e-07,1,0
fp32,349,0,0,1.1988319714717477e-07,1.7745094021960765e-07,1,0
fp32,350,1,0,5.2519077975432538e-07,6.1632249193030961e-07,1,0
fp32,351,0,0,1.0766189975086604e-06,1.2455587922760656e-06,1,0
fp32,352,1,0,4.3311197561735071e-07,5.0654326281128462e-07,1,0
fp32,353,0,0,8.806707434416694e-07,1.099595240188098e-06,1,0
fp32,354,0,0,3.2847699671378905e-07,5.6705384413833203e-07,1,0
fp32,355,0,0,1.8547793816381386e-06,1.552747491938615e-06,1,0
fp32,356,1,0,2.8967016030279069e-07,2.8664527433984418e-07,1,0
fp32,357,0,0,1.3035157175877998e-07,1.2422846234210496e-07,1,0
fp32,358,0,0,9.2769964155081652e-08,1.1888542339466568e-07,1,0
fp32,359,0,0,4.714000620964498e-07,6.9831216655956143e-07,1,0
fp32,360,0,0,4.8637937055673319e-07,5.9533689471540079e-07,1,0
fp32,361,0,0,2.1734019917118985e-07,2.5453973920527998e-07,1,0
fp32,362,0,0,7.3395011668253574e-07,8.7726896360497932e-07,1,0
fp32,363,0,0,1.807078461535383e-06,1.4763192492125218e-06,1,0
fp32,364,1,0,2.7342234698579659e-08,2.6016060279584468e-08,1,0
