method,n,root_median,root_p95,root_p99,root_max,residual_max,wrong_gt_1e-5,wrong_gt_1e-7,wrong_branch_gt_1e-3,nonfinite,fp64_correction_fraction
fp32,600,8.948383571905083e-07,1.12848092284068e-05,1.9777599161940884e-05,6.7965709504402838e-05,2.0596824839365237e-06,40,558,0,0,0
fp32_df32_refine,600,8.8817841970012523e-16,1.3766765505351941e-13,7.8914652590356127e-13,2.7436719562956569e-11,1.602919999246427e-11,0,0,0,0,0
fp64,600,5.3894666507403599e-12,8.3760687275002965e-10,3.0965683350814288e-09,1.2878804689364642e-08,4.979433183174453e-10,0,0,0,0,0
adaptive,600,6.1248783822520636e-12,1.506796021288892e-09,1.7131447371809827e-08,2.7342234698579659e-08,4.9914629207670203e-08,0,0,0,0,0.98333333333333328
