algorithm,records,cpu_serial_median_ms,cpu_omp96_median_ms,gpu_kernel_median_ms,gpu_e2e_median_ms,cpu_serial_over_omp96,cpu_serial_over_omp96_ci_low,cpu_serial_over_omp96_ci_high,cpu_omp96_over_gpu_kernel,cpu_omp96_over_gpu_kernel_ci_low,cpu_omp96_over_gpu_kernel_ci_high,cpu_omp96_over_gpu_e2e,cpu_omp96_over_gpu_e2e_ci_low,cpu_omp96_over_gpu_e2e_ci_high,cpu_serial_over_gpu_e2e,cpu_serial_over_gpu_e2e_ci_low,cpu_serial_over_gpu_e2e_ci_high,cpu_failure_sum,serial_checksum_variants,omp_checksum_variants,bootstrap_design_cpu_modes,bootstrap_design_cpu_gpu
bisection,2448000,11645.85688335,680.364404805,565.9311825,572.9878235000001,17.117087256626586,17.112186589141547,17.123621652237503,1.2022034230372172,1.200929791731594,1.2030885606683526,1.1873976669331436,1.1853833197843011,1.1910812217407198,20.324789473209457,20.290705342818878,20.389441382253207,0,1,1,independent_sequential_modes,independent
brent,2448000,8389.621830545,636.7996339685001,458.1292575,462.841965,13.174664969986464,13.172592251989085,13.17774358218296,1.3899999258800888,1.3882692578044828,1.3925379033567507,1.3758467946364805,1.3746964812699436,1.376563558678919,18.126320569365397,18.111154494946664,18.135018377821435,0,1,1,independent_sequential_modes,independent
illinois,2448000,11990.1177222,685.730527155,577.690979,583.4135745,17.485174200928927,17.478898912471966,17.491493237686463,1.1870196213588442,1.1857062459480807,1.187975314841851,1.1753763661441854,1.1742752797695755,1.1760421675493775,20.551660513685906,20.533031040193233,20.562805140865905,0,1,1,independent_sequential_modes,independent
adaptive_compacted,2448000,8668.195487935,674.541862216,127.121006,131.4722215,12.850493013818753,12.846894147578581,12.85344025208225,5.306297388930355,5.299482215522286,5.3161106722414235,5.130679732341787,5.120212662766589,5.138568616782298,65.93176405659959,65.8021637362011,66.02915527008476,0,1,1,independent_sequential_modes,independent
