p,p_observed,q_warp_model,best_mode,best_median_ms,auto_mode,auto_median_ms,auto_over_best,ci95_low,ci95_high,regret_percent,inline_ms,warp_ms,block_ms,global_ms
0.0,0,0,block_local,3.57596803,inline,3.57955194,1.001060478001049,0.9926699521628767,1.0101851908540793,0.10604780010490256,3.58383989,3.57865596,3.57596803,3.58921599
0.001,0.0009763071895424836,0.031508924240473246,warp_local,11.8891201,block_local,11.8953924,1.0006476592044642,0.9969352769012797,1.0048805155761764,0.06476592044641905,11.9284477,11.8891201,11.9059839,21.7866879
0.01,0.009986519607843138,0.2750196640421466,block_local,20.5363522,block_local,20.5662079,1.0012742712019163,0.9937039380549532,1.0075562349656841,0.1274271201916255,24.3114567,24.2766399,20.5363522,27.9384632
0.05,0.05005923202614379,0.8062885155414992,global_compact,40.3798714,global_compact,39.9143372,0.9848431063911786,0.9398753105435369,1.0295033779722162,-1.5156893608821442,68.1164169,67.491806,42.0390091,40.3798714
0.1,0.10014256535947712,0.9656631617970749,block_local,57.484417,block_local,57.4546547,0.9995300843545384,0.9963073481278782,1.0032098043985211,-0.0469915645461616,111.700317,111.984543,57.484417,59.5136948
0.25,0.25006535947712416,0.9998995475742793,block_local,123.587265,block_local,123.509949,1.0001275192994388,0.9938254567579693,1.0090723562849853,0.012751929943877194,209.209122,209.13353,123.587265,127.891998
0.5,0.49966625816993465,0.9999999997671694,block_local,235.810532,block_local,235.357956,0.9981095902516584,0.9957797604320163,1.0035663335017193,-0.18904097483416482,318.662048,318.401276,235.810532,236.332794
0.75,0.7498051470588235,1,global_compact,341.959412,global_compact,341.686249,0.9991796526820226,0.9964139110062595,1.0024565881386438,-0.08203473179774212,400.556915,399.78064,344.85556,341.959412
1.0,1,1,inline,457.922516,inline,457.86203,0.9998373893684755,0.9974414483946541,1.0015451194825036,-0.016261063152445132,457.922516,458.100067,458.044189,459.471222
