epsilon,goal_median_ms,uniform_median_ms,uniform_over_goal,ci95_low,ci95_high,goal_fp32,goal_df32,goal_fp64,uniform_fp32,uniform_df32,uniform_fp64,predicted_bound,load_error,torque_error,uniform_predicted_bound,uniform_load_error,uniform_torque_error,bound_pass
0.0001,182.353149,182.053818,0.9982921510733191,0.9963484425885852,1.0005999362833415,2309752,2199,136049,2311769,182,136049,8.153846583439603e-06,1.1234287309077982e-08,6.181947011084313e-09,8.310014236950232e-06,9.865345541632075e-09,8.42478990996397e-09,True
1e-05,192.233765,182.032547,0.9470365310038877,0.944869037619383,0.9496620902189163,1713848,598099,136053,2311447,504,136049,1.5414616504227361e-06,2.9976331314605088e-09,3.730412034798737e-09,8.248267998323455e-06,1.6383166849271323e-08,5.40772177341963e-09,True
1e-06,192.921219,193.208038,1.001437126407217,0.9974537729672572,1.0027586481751247,834874,1477073,136053,1592040,719909,136051,8.471982547308578e-08,8.155130954328758e-11,1.0990180655781122e-10,2.757304158078863e-06,2.74300220276953e-09,3.154001474330194e-10,True
1e-07,193.024796,193.570023,1.002851840346204,0.9999278788478496,1.004953050134625,442451,1869469,136080,204279,2107668,136053,6.477306403148226e-09,1.1666838062505853e-10,6.256309339376302e-11,3.821522005774835e-08,2.741914606501868e-10,1.0282974702883573e-10,True
