method,kernel_median_ms,e2e_median_ms,fp64_over_method_e2e,ci95_low,ci95_high,fp32,df32,fp64,solver_failures
fp64_compacted,467.808838,474.486145,1.0,0.9979573974127828,1.0020546171907447,0,0,2448000,0
fixed_df32,55.4885101,60.5779839,7.829568534525676,7.8164486106959945,7.871443224325879,0,2448000,0,888
threshold_adaptive,67.8317795,72.8103714,6.516311446375912,6.401867803906225,6.533346635825159,0,2447017,983,0
certificate_root_branch,203.985855,209.119934,2.2679473806208867,2.2618748280240646,2.2712985527050082,204279,2107668,136053,0
certificate_root_branch_gradient,240.712997,245.657059,1.9307941805098772,1.9259018498663525,1.9338892723758925,201120,2110820,136060,0
