domain,n,method,timing_kind,speedup_median,ci95_low,ci95_high,significant_speedup
bem,1,adaptive_frozen_v1,e2e,1.2279508004047333,1.1819780546221037,1.2357184447206218,True
bem,1,adaptive_frozen_v1,kernel,1.656401018580437,1.6519131894987549,1.6716216597897469,True
bem,1,adaptive_no_gradient_gate,e2e,1.2379849447333875,1.221231734281924,1.2438184728896942,True
bem,1,adaptive_no_gradient_gate,kernel,1.6611884864532216,1.655116642375818,1.6642839332186208,True
bem,1,fp32,e2e,1.3251341546958586,1.298080045999824,1.3444516811669247,True
bem,1,fp32,kernel,2.0879341928808413,1.9927136826514082,2.1160930481334086,True
bem,1,fp64,e2e,0.15248108562265195,0.1515939497147484,0.15328205659148847,False
bem,1,fp64,kernel,0.15586303929080011,0.15509288598904356,0.1565496333907027,False
bem,8,adaptive_frozen_v1,e2e,0.1403525552534075,0.1395668286130485,0.14122484274450653,False
bem,8,adaptive_frozen_v1,kernel,0.1460959116034432,0.1455128103731917,0.14630816634811078,False
bem,8,adaptive_no_gradient_gate,e2e,0.1398896811222737,0.1394144079847175,0.1405975915614312,False
bem,8,adaptive_no_gradient_gate,kernel,0.1461409526726184,0.1455483217958451,0.14635239811519618,False
bem,8,fp32,e2e,1.3472132664341188,1.3060541983531258,1.3672468412345393,True
bem,8,fp32,kernel,2.0686619181924093,2.0234703516145425,2.1361759580157305,True
bem,8,fp64,e2e,0.15404879366851476,0.15353506673535994,0.15500137590144264,False
bem,8,fp64,kernel,0.15792164714376633,0.1572255403016795,0.15824403044825686,False
bem,32,adaptive_frozen_v1,e2e,0.15649351349418222,0.1558772978329975,0.15755316688731102,False
bem,32,adaptive_frozen_v1,kernel,0.16284705350594036,0.1622350913214114,0.16363179476505865,False
bem,32,adaptive_no_gradient_gate,e2e,0.15668039805350104,0.15585161151487578,0.15760198041502138,False
bem,32,adaptive_no_gradient_gate,kernel,0.162909924857513,0.162242469743518,0.1637359830402072,False
bem,32,fp32,e2e,1.3693172669087055,1.3079403189826273,1.4913999442387849,True
bem,32,fp32,kernel,2.121815021073062,2.1079442030253914,2.1328118395911826,True
bem,32,fp64,e2e,0.15368766240474918,0.1524672361527602,0.15505798806051935,False
bem,32,fp64,kernel,0.16036968644402244,0.15974377237980286,0.16107503566982412,False
bem,128,adaptive_frozen_v1,e2e,0.15362882107343379,0.15231116695377545,0.155033032472783,False
bem,128,adaptive_frozen_v1,kernel,0.15840719087706556,0.15688671037945973,0.15986551466906618,False
bem,128,adaptive_no_gradient_gate,e2e,0.15345969879518284,0.15164537674908196,0.15458100569771493,False
bem,128,adaptive_no_gradient_gate,kernel,0.15847444211889516,0.15695141830748766,0.15982211730224768,False
bem,128,fp32,e2e,1.635407914345664,1.6178076882152228,1.6536296483926776,True
bem,128,fp32,kernel,2.3111537715079242,2.28777978716042,2.3392298813780954,True
bem,128,fp64,e2e,0.161771687115972,0.1606516395800231,0.16426004568181485,False
bem,128,fp64,kernel,0.1667395118930679,0.16529033904541351,0.16834219460173253,False
