domain,n,frozen_over_no_gate,ci95_low,ci95_high
bem,1,0.9997708649936359,0.994967843499522,1.0094881608577726
bem,8,0.9998855882193092,0.9959643847900492,1.0024329466581565
bem,32,0.9994021586452093,0.9958201387924628,1.0033835207135626
bem,128,1.00218610885929,0.994899995315951,1.004976358911946
bem,512,1.0010635433518058,0.9985848077271697,1.0038625492763236
bem,2048,0.9996994862149179,0.9936320697071035,1.000601024914823
bem,8192,0.9972089850359258,0.9947933322010745,1.0029999073530653
bem,32768,1.0003245359659365,0.996779417286374,1.003901965032488
bem,131072,0.9994715985029223,0.9981788476900167,1.0018110852776354
bem,524288,0.9993620000450849,0.9914234080099606,1.004549006473039
bem,2097152,1.0031901066106217,0.9958449682632771,1.0069036509991713
bem,8388608,0.9985857126438415,0.998046210922273,0.9998442334602095
bem,16777216,1.0011542987803208,0.9999540169704292,1.001756155243752
cstr,1,0.9976274808489531,0.9897004281224699,1.0026005168000458
cstr,8,1.0005668527416942,0.9993909192585708,1.002639506479034
cstr,32,1.0007990640844286,0.9911781845352803,1.0965407781182614
cstr,128,1.0019772144884023,0.9981490422247632,1.0037938586116912
cstr,512,0.9997897870571982,0.9967472144754188,1.003961211587821
cstr,2048,0.9992107624069755,0.9953991982238846,1.004946436664277
cstr,8192,0.9999160944597423,0.9990581137964422,1.0021008615025169
cstr,32768,1.0005932309214023,1.0000000179617947,1.0014485476373127
cstr,131072,0.999025140732696,0.9947941905066,1.0009337515056078
cstr,524288,0.9917458443602096,0.9760965120064063,1.0038155048956265
cstr,2097152,1.0021898962676588,0.9984422864944993,1.0049154470225286
cstr,8388608,1.0004530112172558,0.9991076903966973,1.0028828376806542
cstr,16777216,1.000913326700825,0.9999506776597691,1.0015902370254426
kepler,1,1.0027140317191212,0.995884247358751,1.0077492686147995
kepler,8,1.0015063873478551,0.977436752711587,1.0198390857923836
kepler,32,1.0004533224822634,0.9964668230605722,1.012678316686355
kepler,128,1.0019945038256988,0.9960987372808395,1.0105523307412403
kepler,512,0.9989545838031793,0.9980731745652749,1.0015402208748052
kepler,2048,1.0000789375195642,0.994333579016129,1.0102309748104457
kepler,8192,1.0002877652539017,0.9992577002840041,1.0008959333169798
kepler,32768,1.000622815154101,0.9975779612384342,1.003298007269311
kepler,131072,1.0007151445366114,0.9965635113634971,1.0029645926871653
kepler,524288,0.9984265161251128,0.99679514682837,1.001339515836428
kepler,2097152,1.0021294385217185,0.9985779285665588,1.0060008387940869
kepler,8388608,0.9989990234211956,0.9944244041569701,1.0028600463988462
kepler,16777216,1.000066904564532,0.9981590657122485,1.0008023281910399
peng_robinson,1,1.0065275199644348,0.988411108565576,1.0210186324963848
peng_robinson,8,1.446244052362061,1.405099436112034,1.540954155281236
peng_robinson,32,1.002992649273588,1.0002946181253343,1.0124175480904924
peng_robinson,128,1.0099682992504713,1.0031680886399057,1.0266254394618342
peng_robinson,512,1.085261693860809,1.0307607848253297,1.1402607616172635
peng_robinson,2048,0.9979536089057197,0.995070144801731,1.0017437515911702
peng_robinson,8192,1.0032556196982751,0.9955832475628574,1.0136590041664884
peng_robinson,32768,0.9939191337325594,0.9914055570359914,1.0169311304473727
peng_robinson,131072,1.0298384467038892,1.0255608449345825,1.0312966034939741
peng_robinson,524288,1.022116576409752,1.0193470000188154,1.0276003011415993
peng_robinson,2097152,1.025264732275117,1.021827009376622,1.0295978051782466
peng_robinson,8388608,1.0253598313725276,1.0220636108503809,1.0277654439503958
peng_robinson,16777216,1.0254880377139095,1.0241710939850615,1.0290998701414131
pv,1,0.998235727811416,0.9954651478336338,1.003187570019293
pv,8,0.9985114700737576,0.9957219531366457,1.0030370019518766
pv,32,0.9955951104114438,0.9927036330664509,1.0013592717106872
pv,128,1.0001256248958614,0.9959271844936809,1.0066966807324316
pv,512,1.0037466341858399,0.9981876847789775,1.0092835544900858
pv,2048,1.0004847837022095,0.9927425042898931,1.0026385529073507
pv,8192,0.9974037915140226,0.9942238477899598,1.0000816462990811
pv,32768,0.9998565961196142,0.9908395053054901,1.0104851764291727
pv,131072,0.9991534159772333,0.9974571073030647,1.0003642755131672
pv,524288,0.9999714782711308,0.997382248518458,1.0052304000822163
pv,2097152,0.9998585341532065,0.9923344686680757,1.0048216348240824
pv,8388608,0.9989333606528303,0.9964828430835174,1.0012463952181472
pv,16777216,1.0013774121659451,0.9996452238328714,1.001843056006005
