name, uuid, driver_version, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
NVIDIA GeForce RTX 5090, GPU-ce54419c-71ca-69b8-681a-75d41cdaf0c7, 580.105.08, 43, 18.10 W, 247 MHz, 405 MHz
NVIDIA GeForce RTX 5090, GPU-4bbdc599-a71d-9ae4-188b-e1d3a0a8745f, 580.105.08, 38, 16.78 W, 195 MHz, 405 MHz
