comparison,domain,n,ratio,ci95_low,ci95_high,bootstrap_design
serial_over_simd,bem,1,0.9961538461514574,0.9923076923029147,1.007751937989348,independent_sequential_modes
serial_over_simd,bem,8,1.0014771048780782,1.0,1.0030006462898322,independent_sequential_modes
serial_over_simd,bem,32,1.0032977827682328,1.002945921302622,1.003555971458802,independent_sequential_modes
serial_over_simd,bem,128,1.001509915498271,1.0005799961892612,1.0023079411698885,independent_sequential_modes
serial_over_simd,bem,512,0.9999113283373903,0.9970481599581539,1.0055116301957214,independent_sequential_modes
serial_over_simd,bem,2048,0.9978814974014963,0.9969399131532726,0.999304941663598,independent_sequential_modes
serial_over_simd,bem,8192,0.9958708200395374,0.9940002875523093,0.9970513097977999,independent_sequential_modes
serial_over_simd,bem,32768,0.9968405897183474,0.9955766436237944,0.9983146773693621,independent_sequential_modes
serial_over_simd,bem,131072,0.9978971584928203,0.9972314822442218,0.9985612901125321,independent_sequential_modes
serial_over_simd,bem,524288,0.9983962274610407,0.9978179045167401,0.9986983573287928,independent_sequential_modes
serial_over_simd,bem,2097152,0.9984455566598818,0.9980085860526456,0.998818683469408,independent_sequential_modes
serial_over_simd,bem,8388608,0.9997415889391285,0.9990800734005912,0.9999163057040664,independent_sequential_modes
serial_over_simd,bem,16777216,0.9999086870973329,0.9996164456670845,1.0002515797078275,independent_sequential_modes
serial_over_simd,cstr,1,1.0,0.9963741841891878,1.0056210335451452,independent_sequential_modes
serial_over_simd,cstr,8,1.0009354099420276,0.9995092655351728,1.002433317737443,independent_sequential_modes
serial_over_simd,cstr,32,0.9999411165477944,0.9993290565591717,1.0004299529996727,independent_sequential_modes
serial_over_simd,cstr,128,0.9981980355963613,0.9785212845818054,1.0156592505082345,independent_sequential_modes
serial_over_simd,cstr,512,0.9992100419530809,0.9958604715838911,1.002667512047287,independent_sequential_modes
serial_over_simd,cstr,2048,1.0048792938486661,1.0026996029403612,1.0062540169816456,independent_sequential_modes
serial_over_simd,cstr,8192,0.99835967514766,0.9964664786760519,0.9999767843447711,independent_sequential_modes
serial_over_simd,cstr,32768,1.000296684111591,0.9991470002883687,1.0011476036819351,independent_sequential_modes
serial_over_simd,cstr,131072,1.0000054903757833,0.9995669093687121,1.0005442974168823,independent_sequential_modes
serial_over_simd,cstr,524288,0.9999429733945219,0.999690223147612,1.0006067750963221,independent_sequential_modes
serial_over_simd,cstr,2097152,1.000506181283236,1.0003238173211557,1.0007871179257142,independent_sequential_modes
serial_over_simd,cstr,8388608,1.000157471908619,0.9997166600697872,1.0004460684159013,independent_sequential_modes
serial_over_simd,cstr,16777216,0.9995424536480566,0.9993498414143965,0.9997997384687108,independent_sequential_modes
serial_over_simd,kepler,1,1.0011098779129568,1.0,1.0117779024113558,independent_sequential_modes
serial_over_simd,kepler,8,1.0036950146631523,1.0024017339345803,1.0055235632857982,independent_sequential_modes
serial_over_simd,kepler,32,1.0027566127730076,1.001609558301582,1.0039070978939477,independent_sequential_modes
serial_over_simd,kepler,128,1.0020448647129296,1.0013598789874911,1.0028903944120398,independent_sequential_modes
