build_mode,domain,n,median_ms,p05_ms,p95_ms,throughput_mroots_s,repetitions,nonfinite_sum,checksum_variants
strict_serial,bem,1,0.001235008239745,0.00122928619385,0.00125026702881,0.8097111969119141,30,0,1
strict_serial,bem,8,0.0103454589844,0.0103302001953,0.0103797912598,0.7732861356913466,30,0,1
strict_serial,bem,32,0.0409097671509,0.0408792495728,0.0411100387573,0.78220929202468,30,0,1
strict_serial,bem,128,0.16541481018100002,0.165170669556,0.170709609985,0.7738122110102473,30,0,1
strict_serial,bem,512,0.6721353530884999,0.666290283203,0.685139656067,0.7617513312569129,30,0,1
strict_serial,bem,2048,2.73636674881,2.72669029236,2.7440404892,0.7484376869038629,30,0,1
strict_serial,bem,8192,11.0182104111,11.0071144104,11.064116478,0.7434964204120833,30,0,1
strict_serial,bem,32768,44.1389260292,44.0624313354,44.2918405533,0.7423832645661204,30,0,1
strict_serial,bem,131072,176.861284733,176.604444504,177.109265327,0.7411005760693974,30,0,1
strict_serial,bem,524288,707.9348974225,707.219857216,708.56542778,0.7405878731347548,30,0,1
strict_serial,bem,2097152,2831.8431701649997,2829.23005867,2834.76229191,0.74056078461358,30,0,1
strict_serial,bem,8388608,11348.6933212,11334.7190056,11352.2576027,0.7391695028298637,30,0,1
strict_serial,bem,16777216,22714.82534075,22692.4373007,22736.9136724,0.7386020252553721,30,0,1
strict_serial,cstr,1,0.00263023376465,0.00261974334717,0.00267028808594,0.38019434372711275,30,0,1
strict_serial,cstr,8,0.0204095840454,0.0203495025635,0.0204696655273,0.3919727115557298,30,0,1
strict_serial,cstr,32,0.08097505569454999,0.0808801651001,0.0862503051758,0.3951834268655372,30,0,1
strict_serial,cstr,128,0.32701015472399997,0.326530456543,0.334839820862,0.3914251534727824,30,0,1
strict_serial,cstr,512,1.61221075058,1.6048707962,1.61591053009,0.3175763465265355,30,0,1
strict_serial,cstr,2048,6.908518791200001,6.88260364532,6.98702335358,0.296445600265099,30,0,1
strict_serial,cstr,8192,27.75982809065,27.6897525787,27.8734636307,0.2951026920357338,30,0,1
strict_serial,cstr,32768,111.1611032485,110.987213135,111.312822342,0.2947793701430556,30,0,1
strict_serial,cstr,131072,444.4988822935,443.986382484,445.148201942,0.2948758820802927,30,0,1
strict_serial,cstr,524288,1777.39545727,1776.22799683,1781.65251064,0.29497543602664705,30,0,1
strict_serial,cstr,2097152,7112.634816645,7106.5787878,7118.8636837,0.2948488224212273,30,0,1
strict_serial,cstr,8388608,28466.14303825,28438.4052706,28487.613924,0.2946872004657679,30,0,1
strict_serial,cstr,16777216,56935.232503449995,56901.7373028,56993.5873365,0.29467195025476334,30,0,1
strict_serial,kepler,1,0.000860214233398,0.000849723815918,0.000869750976562,1.1625011086480412,30,0,1
strict_serial,kepler,8,0.00816011428833,0.00811004638672,0.00819969177246,0.9803784257582049,30,0,1
strict_serial,kepler,32,0.03087520599365,0.0306997299194,0.0310096740723,1.0364303320464108,30,0,1
strict_serial,kepler,128,0.1250104904175,0.124859809875,0.131760597229,1.0239140697113969,30,0,1
strict_serial,kepler,512,0.5057849884035,0.499499320984,0.512009620667,1.0122878530185675,30,0,1
strict_serial,kepler,2048,2.09378576279,2.08827114105,2.11056137085,0.9781325465080105,30,0,1
strict_serial,kepler,8192,8.536279201505,8.51660442352,8.57568359375,0.9596687042002678,30,0,1
strict_serial,kepler,32768,34.2822909355,34.1927251816,34.3637962341,0.9558287706516159,30,0,1
strict_serial,kepler,131072,137.154175758,136.982655525,137.301725388,0.9556544616714286,30,0,1
strict_serial,kepler,524288,548.427306652,547.934451103,548.960681915,0.9559844917289697,30,0,1
strict_serial,kepler,2097152,2197.441382885,2195.21907711,2204.31812096,0.9543608381701945,30,0,1
strict_serial,kepler,8388608,8795.09062338,8784.38398933,8801.2143364,0.9537830090915214,30,0,1
strict_serial,kepler,16777216,17600.23479845,17583.5507746,17621.0286837,0.9532381921107961,30,0,1
