cpu_mode,domain,n,cpu_over_gpu_e2e,ci95_low,ci95_high,bootstrap_design
strict_serial,bem,1,0.005909609850592016,0.005885977368276936,0.005935244344114849,independent
strict_serial,bem,8,0.04949695964277043,0.04939407744889967,0.04957804090524968,independent
strict_serial,bem,32,0.17535502598662334,0.17531414783042423,0.1753718721667459,independent
strict_serial,bem,128,0.6735780093983333,0.6732619844165932,0.6739532456199555,independent
strict_serial,bem,512,1.6086966879992521,1.6008767581512247,1.6143531829475701,independent
strict_serial,bem,2048,6.51895846168791,6.515337429404866,6.523780733605969,independent
strict_serial,bem,8192,24.60432504897825,24.5744210592416,24.649946070200453,independent
strict_serial,bem,32768,83.05783554280222,82.72552346735586,83.35729813447031,independent
strict_serial,bem,131072,85.19526962464215,84.85062624823604,85.42765223406832,independent
strict_serial,bem,524288,99.85270316921003,99.5306572754461,100.45153525220346,independent
strict_serial,bem,2097152,105.09326652360285,104.81640945108796,105.44079588402906,independent
strict_serial,bem,8388608,106.38256978873117,106.2876050575065,106.4067426899931,independent
strict_serial,bem,16777216,106.65925484638048,106.60742137822395,106.70099065626702,independent
strict_serial,cstr,1,0.0077521647271760535,0.0077122428170443924,0.00785343632606463,independent
strict_serial,cstr,8,0.05924806745518479,0.059099033250366736,0.05941946953609043,independent
strict_serial,cstr,32,0.23530646620967158,0.2340397436675351,0.2353876362169431,independent
strict_serial,cstr,128,0.8584713849461882,0.8541728213422058,0.8721635647806545,independent
strict_serial,cstr,512,2.2970991535185386,2.2943734772777336,2.3019272241848125,independent
strict_serial,cstr,2048,9.817922679076132,9.80066706032711,9.832215736059538,independent
strict_serial,cstr,8192,37.9975132422847,37.95031772220511,38.04354612168393,independent
strict_serial,cstr,32768,136.1600935158203,135.97912489426272,136.54229241928158,independent
strict_serial,cstr,131072,138.8052677796426,138.64146596501382,138.9244401076267,independent
strict_serial,cstr,524288,165.2161623245273,165.12652172193123,165.45231135858018,independent
strict_serial,cstr,2097152,174.42169720578346,173.34867256789659,174.71949464729758,independent
strict_serial,cstr,8388608,176.44860649868102,176.16332038791623,176.5327361456274,independent
strict_serial,cstr,16777216,176.29915285796466,176.25841419898052,176.41646739413343,independent
strict_serial,kepler,1,0.008604551739002273,0.00860382171660805,0.00860547494423638,independent
strict_serial,kepler,8,0.08181005279625779,0.08168236579684784,0.08188787338820201,independent
strict_serial,kepler,32,0.2523265924466199,0.25209263814137395,0.25796013855408517,independent
