method,timing_kind,repetition,value_ms
df32_adaptive,kernel,19,51.9863052368
df32_adaptive,e2e,19,58.9785919189
df32_adaptive,kernel,20,52.1825294495
df32_adaptive,e2e,20,59.1998062134
df32_adaptive,kernel,21,51.8709106445
df32_adaptive,e2e,21,58.5311050415
df32_adaptive,kernel,22,52.1348152161
df32_adaptive,e2e,22,58.7986564636
df32_adaptive,kernel,23,51.831905365
df32_adaptive,e2e,23,58.5747184753
df32_adaptive,kernel,24,51.9004478455
df32_adaptive,e2e,24,59.0638084412
df32_adaptive,kernel,25,51.9269104004
df32_adaptive,e2e,25,58.8922576904
df32_adaptive,kernel,26,51.9374732971
df32_adaptive,e2e,26,58.8045425415
df32_adaptive,kernel,27,51.8876800537
df32_adaptive,e2e,27,58.9344978333
df32_adaptive,kernel,28,52.2814407349
df32_adaptive,e2e,28,58.7968635559
df32_adaptive,kernel,29,51.8483505249
df32_adaptive,e2e,29,59.0969276428
fp32_df32_refine,kernel,0,50.9986877441
fp32_df32_refine,e2e,0,57.8600311279
fp32_df32_refine,kernel,1,51.1989440918
fp32_df32_refine,e2e,1,58.3605117798
fp32_df32_refine,kernel,2,50.9893760681
fp32_df32_refine,e2e,2,58.666847229
fp32_df32_refine,kernel,3,51.2761917114
fp32_df32_refine,e2e,3,58.1269111633
fp32_df32_refine,kernel,4,51.1544647217
fp32_df32_refine,e2e,4,58.1477127075
fp32_df32_refine,kernel,5,51.4829101562
fp32_df32_refine,e2e,5,57.777633667
fp32_df32_refine,kernel,6,51.3220176697
fp32_df32_refine,e2e,6,58.3101768494
fp32_df32_refine,kernel,7,51.2884483337
fp32_df32_refine,e2e,7,58.1566390991
fp32_df32_refine,kernel,8,51.059009552
fp32_df32_refine,e2e,8,58.1322898865
fp32_df32_refine,kernel,9,51.3540153503
fp32_df32_refine,e2e,9,58.3003501892
fp32_df32_refine,kernel,10,51.0252799988
fp32_df32_refine,e2e,10,57.9883842468
fp32_df32_refine,kernel,11,51.4488334656
fp32_df32_refine,e2e,11,58.2531509399
fp32_df32_refine,kernel,12,51.1311378479
fp32_df32_refine,e2e,12,58.1188468933
fp32_df32_refine,kernel,13,51.5620155334
fp32_df32_refine,e2e,13,58.4600944519
fp32_df32_refine,kernel,14,51.0802879333
fp32_df32_refine,e2e,14,58.1672325134
fp32_df32_refine,kernel,15,51.3983345032
fp32_df32_refine,e2e,15,57.8184013367
fp32_df32_refine,kernel,16,50.9986572266
fp32_df32_refine,e2e,16,58.2862701416
fp32_df32_refine,kernel,17,51.3300476074
fp32_df32_refine,e2e,17,57.8038063049
fp32_df32_refine,kernel,18,51.1383056641
fp32_df32_refine,e2e,18,58.448638916
fp32_df32_refine,kernel,19,51.4247055054
fp32_df32_refine,e2e,19,57.9772148132
fp32_df32_refine,kernel,20,51.1062736511
fp32_df32_refine,e2e,20,58.2614402771
fp32_df32_refine,kernel,21,51.5526390076
fp32_df32_refine,e2e,21,58.3276481628
fp32_df32_refine,kernel,22,50.9552955627
fp32_df32_refine,e2e,22,57.8176002502
fp32_df32_refine,kernel,23,51.4232330322
fp32_df32_refine,e2e,23,57.9844818115
fp32_df32_refine,kernel,24,50.9474258423
fp32_df32_refine,e2e,24,58.2153930664
fp32_df32_refine,kernel,25,51.2287025452
fp32_df32_refine,e2e,25,58.4393615723
fp32_df32_refine,kernel,26,51.0634880066
fp32_df32_refine,e2e,26,58.1704330444
fp32_df32_refine,kernel,27,51.4199028015
fp32_df32_refine,e2e,27,57.9360656738
fp32_df32_refine,kernel,28,51.1091537476
fp32_df32_refine,e2e,28,58.7079048157
fp32_df32_refine,kernel,29,51.5520973206
fp32_df32_refine,e2e,29,57.8540802002
adaptive,kernel,0,498.348999023
adaptive,e2e,0,511.388427734
adaptive,kernel,1,501.470550537
adaptive,e2e,1,509.715270996
adaptive,kernel,2,498.212432861
adaptive,e2e,2,506.522003174
adaptive,kernel,3,498.539581299
adaptive,e2e,3,509.599578857
adaptive,kernel,4,502.619018555
adaptive,e2e,4,504.867614746
adaptive,kernel,5,500.060791016
adaptive,e2e,5,508.16494751
adaptive,kernel,6,501.597412109
adaptive,e2e,6,509.920837402
adaptive,kernel,7,502.421691895
