method,kernel_median_ms,e2e_median_ms,fp64_over_method_kernel,kernel_ci95_low,kernel_ci95_high,fp64_over_method_e2e,e2e_ci95_low,e2e_ci95_high,fp32,df32,fp64,solver_failures
fp64_compacted,242.709503,255.123367,1.0,0.9990085955801618,1.000975492333321,1.0,0.9990507603149013,1.0009606992060343,0,0,2448000,0
fixed_df32,334.57254,347.703064,0.7253329227829933,0.723951422578133,0.7268434708809979,0.7336630397433362,0.7322305518738126,0.7353921741313586,0,2448000,0,888
threshold_adaptive,343.752716,356.677979,0.7059491846121974,0.7047505670280346,0.7066603152254961,0.7151957121666513,0.7140078441167287,0.7158823167002994,0,2447017,983,0
certificate_root_branch,620.41394,633.520813,0.3912141597483454,0.390615307237502,0.3918197990143061,0.4027014294451347,0.4020746063919396,0.40321908402686074,204279,2107668,136053,0
certificate_root_branch_gradient,704.603149,717.206116,0.34442632400512985,0.3440087423515603,0.3448576391849414,0.355698749928256,0.35532571901483295,0.3563624868808067,201120,2110820,136060,0
