p,test_best_mode,test_best_ms,rtx5090_frozen_mode,rtx5090_frozen_ms,frozen_regret_percent,frozen_ci95_low_percent,frozen_ci95_high_percent,cal_best_mode,cal_choice_test_ms,calibrated_regret_percent,calibrated_ci95_low_percent,calibrated_ci95_high_percent,failures
0.0,inline,2.63372803,inline,2.63782406,0.13610827846910478,-0.07765539144739542,0.33087070297292964,inline,2.63372803,0.0,-0.21380151106844547,0.21417616650196702,0
0.001,warp_local,6.75635195,block_local,6.90892792,2.2744500702745585,1.7522651674745093,3.022018000521798,warp_local,6.75635195,0.0,-0.47586513484947357,0.48594958041094927,0
0.01,global_compact,9.98809624,block_local,19.4334717,94.67582172420718,93.80205807084097,95.1232161484862,global_compact,9.98809624,0.0,-0.49029532042874635,0.4825429366339451,0
0.05,global_compact,17.7264633,global_compact,17.816576,0.49990085803492956,-0.8703650824762765,1.2789408871832109,global_compact,17.7264633,0.0,-0.9778338707008172,0.9909608485287213,0
0.1,global_compact,28.9710083,block_local,66.2927322,128.8168497952901,128.339686491341,129.4484274399775,global_compact,28.9710083,0.0,-0.31076979012376604,0.3150075089249471,0
0.25,global_compact,63.3487358,block_local,101.383171,60.03621734921598,59.84500326727837,60.310932536133734,global_compact,63.3487358,0.0,-0.18664230842374563,0.1822335371974626,0
0.5,global_compact,121.493507,block_local,143.557632,18.16790754418285,17.930112417151946,18.23099047655594,global_compact,121.493507,0.0,-0.16831288042598036,0.1710992760766583,0
0.75,global_compact,179.730438,global_compact,179.654663,-0.04244676740448039,-0.17985994905448388,0.06327085119233189,global_compact,179.730438,0.0,-0.1322986025229178,0.13077034810067278,0
1.0,inline,228.974594,inline,229.006332,0.010062560252310782,-0.07083703480117443,0.06441557582872459,inline,228.974594,0.0,-0.0634901424852341,0.06396913427131334,0
