domain,n,method,kernel_median_ms,e2e_median_ms,kernel_mroots_s,e2e_mroots_s,root_p99,root_max,wrong_root,iterations_median,iterations_p99,checksum
bem,2097152,safeguarded_newton,14.0202236176,21.0978889465,149.580495804,99.4010351137,0,0,0,44,44,1413578.1669
bem,2097152,brent_dekker,15.7883844376,22.882144928,132.828789943,91.6501493457,8.92619311799e-14,1.10578213253e-13,0,43,44,1413578.1669
bem,2097152,bracketed_secant,10.8766717911,18.0170879364,192.811922644,116.397944407,0,0,0,40,40,1413578.1669
bem,8388608,safeguarded_halley,113.742851257,142.119644165,73.7506393349,59.0249718769,3.8413716652e-14,3.93018950717e-14,0,44,47,1413578.1669
bem,8388608,safeguarded_newton,55.5000305176,83.7993621826,151.14600698,100.10348267,0,0,0,44,44,1413578.1669
bem,8388608,bracketed_secant,42.8165130615,71.1912994385,195.919924351,117.831927021,0,0,0,40,40,1413578.1669
bem,8388608,brent_dekker,62.433631897,90.8024978638,134.360403922,92.3830092492,8.92619311799e-14,1.10578213253e-13,0,43,44,1413578.1669
bem,16777216,bracketed_secant,85.816192627,142.335769653,195.5017519,117.870694351,0,0,0,40,40,1413578.1669
bem,16777216,brent_dekker,124.549789429,181.22454834,134.702885304,92.5769502735,8.92619311799e-14,1.10578213253e-13,0,43,44,1413578.1669
bem,16777216,safeguarded_halley,227.264541626,284.089691162,73.8224092503,59.0560534998,3.8413716652e-14,3.93018950717e-14,0,44,47,1413578.1669
bem,16777216,safeguarded_newton,110.66783905,167.263290405,151.599743376,100.304232682,0,0,0,44,44,1413578.1669
kepler,1,brent_dekker,0.049389757216,0.0515100806952,0.0202471130932,0.0194136756632,5.54320478408e-13,5.54320478408e-13,0,32,32,0.0595829657091
kepler,1,safeguarded_halley,0.0225278064609,0.0247081592679,0.0443895858985,0.0404724605001,9.50878265016e-13,9.50878265016e-13,0,8,8,0.0595829657106
kepler,1,safeguarded_newton,0.0225482881069,0.0264703985304,0.0443492647982,0.0377780485191,5.53765366895e-13,5.53765366895e-13,0,13,13,0.0595829657091
kepler,1,bracketed_secant,0.080151386559,0.0876422375441,0.0124763905271,0.0114100236144,5.84955001104e-12,5.84955001104e-12,0,63,63,0.0595829657038
kepler,1,mikkola_kepler,0.0102418242022,0.0134374406189,0.0976388561504,0.0744189335129,5.56166224186e-13,5.56166224186e-13,0,4,4,0.0595829657091
kepler,8,mikkola_kepler,0.0102500161156,0.0137747200206,0.780486577755,0.580774054793,8.17124146124e-14,5.56166224186e-13,0,4,4,71.9263897774
kepler,8,bracketed_secant,0.0800857916474,0.0876531228423,0.0998928753207,0.0912688531861,4.3642867098e-13,5.84955001104e-12,0,12,55,71.9263897774
kepler,8,safeguarded_halley,0.0225282553583,0.024838399142,0.355109611142,0.32208194877,8.21565038223e-14,9.50878265016e-13,0,5,7,71.9263897774
kepler,8,brent_dekker,0.080085888505,0.0876777544618,0.0998927545082,0.0912432127067,8.21565038223e-14,5.54320478408e-13,0,32,41,71.9263897774
kepler,8,safeguarded_newton,0.0242269448936,0.0266787186265,0.330210847267,0.299864476701,8.17124146124e-14,5.53765366895e-13,0,6,11,71.9263897774
kepler,32,safeguarded_halley,0.028696063906,0.0362579189241,1.11513551492,0.882565821469,6.66543409009e-11,3.53730722664e-10,0,4,11,447.458383108
kepler,32,mikkola_kepler,0.0102500161156,0.021033918485,3.12194631102,1.52135228739,6.80964061181e-11,3.53386766898e-10,0,4,4,447.458383108
