domain,n,method,timing_kind,speedup_vs_brent,ci95_low,ci95_high,faster_than_brent
bem,1,bracketed_secant,e2e,1.0574397790143177,1.0344069761916064,1.0639103783279058,True
bem,1,bracketed_secant,kernel,1.0726219800174444,1.0721196713867185,1.0737254060631634,True
bem,1,safeguarded_halley,e2e,0.43378230799020556,0.43115642028092727,0.44231681719517224,False
bem,1,safeguarded_halley,kernel,0.4271998660174916,0.4270037703564443,0.4273738716031194,False
bem,1,safeguarded_newton,e2e,0.8407823805281676,0.8273627676201962,0.8537886393682107,False
bem,1,safeguarded_newton,kernel,0.8302319369051054,0.8301416477161581,0.8311528231219212,False
bem,8,bracketed_secant,e2e,1.3621909045915888,1.3494063422385736,1.4021954958565976,True
bem,8,bracketed_secant,kernel,1.4185383184483402,1.416948152649838,1.4189823922644988,True
bem,8,safeguarded_halley,e2e,0.5640783534324576,0.560605695011164,0.5687692150514676,False
bem,8,safeguarded_halley,kernel,0.5640081799901606,0.5638829682318492,0.5641613166806987,False
bem,8,safeguarded_newton,e2e,1.0950132154642294,1.0863716845830456,1.099882604609111,True
bem,8,safeguarded_newton,kernel,1.098276065716561,1.0974557413500123,1.0990642360400014,True
bem,32,bracketed_secant,e2e,1.3939333306428099,1.3879165486587604,1.4132774200481033,True
bem,32,bracketed_secant,kernel,1.4493471910781786,1.447568711107636,1.45045619509294,True
bem,32,safeguarded_halley,e2e,0.5620479026080049,0.560774144174236,0.5625644049887224,False
bem,32,safeguarded_halley,kernel,0.5517250111529309,0.5515048326361363,0.551794871773202,False
bem,32,safeguarded_newton,e2e,1.0989654534656708,1.0922092063819777,1.110456833315846,True
bem,32,safeguarded_newton,kernel,1.1216739847997559,1.1214153203785553,1.1218747567193121,True
bem,128,bracketed_secant,e2e,1.3852623787442384,1.3735076776255637,1.3939616794859675,True
bem,128,bracketed_secant,kernel,1.456918526991513,1.4565725169739512,1.4580717770259635,True
bem,128,safeguarded_halley,e2e,0.5578428696696642,0.5560223429963763,0.5599610075517,False
bem,128,safeguarded_halley,kernel,0.5482046433418564,0.5480674621846945,0.5483511777692794,False
bem,128,safeguarded_newton,e2e,1.1372115875528652,1.1072618577826785,1.1475902559008082,True
bem,128,safeguarded_newton,kernel,1.1311565187927477,1.131003757581314,1.131351031379318,True
bem,512,bracketed_secant,e2e,1.4232874432449147,1.4201193142136588,1.426261577234718,True
bem,512,bracketed_secant,kernel,1.436957113720807,1.4367794575304929,1.4373410702413536,True
bem,512,safeguarded_halley,e2e,0.551310109280087,0.5509193713313841,0.5521301063661677,False
bem,512,safeguarded_halley,kernel,0.5426591254078723,0.5426107585401906,0.542749127698223,False
bem,512,safeguarded_newton,e2e,1.1216863962065253,1.1179953145203911,1.1245983894256546,True
bem,512,safeguarded_newton,kernel,1.1250158419205658,1.1244895396561705,1.1253400702530514,True
bem,2048,bracketed_secant,e2e,1.4140930980986655,1.4093566574427911,1.4184872193402223,True
bem,2048,bracketed_secant,kernel,1.4366985022809873,1.4273805891786473,1.4376755050546706,True
bem,2048,safeguarded_halley,e2e,0.5429961611666461,0.542130559320392,0.5454651834739718,False
bem,2048,safeguarded_halley,kernel,0.5326775703332669,0.5325296384079197,0.5339708856972503,False
bem,2048,safeguarded_newton,e2e,1.1192886289109074,1.1071443481099421,1.1265613626357915,True
bem,2048,safeguarded_newton,kernel,1.1218336916363612,1.1213197080295916,1.124808942905231,True
bem,8192,bracketed_secant,e2e,1.3811098742881964,1.3748500334954503,1.3919714593689059,True
bem,8192,bracketed_secant,kernel,1.4516899104449636,1.4437344320716101,1.4532747578786842,True
bem,8192,safeguarded_halley,e2e,0.5645471546304772,0.56336428736114,0.5661031612316604,False
