domain,n,method,kernel_median_ms,e2e_median_ms,kernel_mroots_s,e2e_mroots_s,root_p99,root_max,wrong_root,iterations_median,iterations_p99,checksum
bem,2097152,bracketed_secant,10.9059839249,18.2906551361,192.293699903,114.657019357,0,0,0,40,40,1413578.1669
bem,2097152,safeguarded_newton,14.2735042572,21.4286403656,146.926218132,97.8667784899,0,0,0,44,44,1413578.1669
bem,2097152,safeguarded_halley,29.2602882385,36.3242874146,71.672294644,57.7341539028,3.8413716652e-14,3.93018950717e-14,0,44,47,1413578.1669
bem,8388608,brent_dekker,63.0970573425,91.3818893433,132.947689691,91.7972703376,8.92619311799e-14,1.10578213253e-13,0,43,44,1413578.1669
bem,8388608,bracketed_secant,43.5851821899,71.9257278442,192.464676721,116.628753736,0,0,0,40,40,1413578.1669
bem,8388608,safeguarded_newton,55.9967689514,84.4613113403,149.805214784,99.3189410261,0,0,0,44,44,1413578.1669
bem,8388608,safeguarded_halley,115.303970337,143.503967285,72.7521175159,58.455582509,3.8413716652e-14,3.93018950717e-14,0,44,47,1413578.1669
bem,16777216,brent_dekker,126.272895813,182.772094727,132.864744187,91.7930936071,8.92619311799e-14,1.10578213253e-13,0,43,44,1413578.1669
bem,16777216,bracketed_secant,87.4571228027,144.182617188,191.833614717,116.360878497,0,0,0,40,40,1413578.1669
bem,16777216,safeguarded_newton,112.342781067,169.009689331,149.339511099,99.2677761045,0,0,0,44,44,1413578.1669
bem,16777216,safeguarded_halley,230.240570068,286.872558594,72.8682004002,58.4831678647,3.8413716652e-14,3.93018950717e-14,0,44,47,1413578.1669
kepler,1,bracketed_secant,0.0807160660625,0.0881670415401,0.0123891072593,0.0113421067843,5.84955001104e-12,5.84955001104e-12,0,63,63,0.0595829657038
kepler,1,safeguarded_newton,0.0227211844176,0.0266249608248,0.0440117901259,0.0375587407087,5.53765366895e-13,5.53765366895e-13,0,13,13,0.0595829657091
kepler,1,safeguarded_halley,0.0227000955492,0.0248201601207,0.0440526780088,0.0402898287173,9.50878265016e-13,9.50878265016e-13,0,8,8,0.0595829657106
kepler,1,brent_dekker,0.0496534071863,0.0513788796961,0.0201396048462,0.0194632503845,5.54320478408e-13,5.54320478408e-13,0,32,32,0.0595829657091
kepler,8,safeguarded_newton,0.0235926080495,0.0279206391424,0.339089259789,0.28652639215,8.17124146124e-14,5.53765366895e-13,0,6,11,71.9263897774
kepler,8,safeguarded_halley,0.0227028802037,0.0261398404837,0.352378197313,0.306046244046,8.21565038223e-14,9.50878265016e-13,0,5,7,71.9263897774
kepler,8,brent_dekker,0.0806910991669,0.0884035229683,0.0991435249067,0.0904941311317,8.21565038223e-14,5.54320478408e-13,0,32,41,71.9263897774
kepler,8,bracketed_secant,0.0807145610452,0.0876787155867,0.0991147061498,0.0912422125082,4.3642867098e-13,5.84955001104e-12,0,12,55,71.9263897774
kepler,32,bracketed_secant,0.105541795492,0.114584639668,0.303197419096,0.279269543392,5.77482636363e-11,2.00623389429e-10,0,14,83,447.458383101
kepler,32,safeguarded_newton,0.031078144908,0.0366521589458,1.02966248773,0.873072717144,6.8052553176e-11,3.53407184593e-10,0,5,18,447.458383108
kepler,32,safeguarded_halley,0.0290115531534,0.036354560405,1.10300885412,0.880219693032,6.66543409009e-11,3.53730722664e-10,0,4,11,447.458383108
kepler,32,brent_dekker,0.0880820453167,0.0982697606087,0.363297649197,0.325634252102,1.09532181068e-10,3.53386719193e-10,0,31,45,447.458383107
kepler,128,bracketed_secant,0.119987681508,0.130299195647,1.06677617561,0.982354490864,2.00623389429e-10,5.3398419974e-10,0,16,83,1724.55615532
kepler,128,safeguarded_newton,0.0351536348462,0.0477417595685,3.64115974237,2.68109096014,8.30203492758e-11,3.53407184593e-10,0,6,18,1724.55615534
kepler,128,safeguarded_halley,0.0331126116216,0.0456134416163,3.86559663317,2.80619035671,8.27134081713e-11,3.53730722664e-10,0,4,11,1724.55615534
kepler,128,brent_dekker,0.0971506908536,0.10906175524,1.31754081083,1.17364698302,1.09532181068e-10,8.15070577004e-10,0,30,46,1724.55615533
kepler,512,bracketed_secant,0.209756806493,0.222634240985,2.44092198275,2.29973609511,7.30284036368e-10,1.21462582353e-09,0,16,87,6968.5803437
kepler,512,safeguarded_newton,0.0578584000468,0.067212484777,8.84919043018,7.61763237439,3.32345887789e-10,8.17996162125e-10,0,6,19,6968.58034376
kepler,512,safeguarded_halley,0.0558184608817,0.0635180771351,9.17259257802,8.06069741235,3.31520991215e-10,8.19941073371e-10,0,4,12,6968.58034377
kepler,512,brent_dekker,0.179902553558,0.192170888186,2.84598517293,2.66429533024,3.55382117831e-10,8.21147651611e-10,0,32,46,6968.58034375
kepler,2048,bracketed_secant,0.211717128754,0.223548799753,9.67328440574,9.16131065012,5.81024560929e-10,1.64422961964e-09,0,16,87,28210.7605262
kepler,2048,safeguarded_newton,0.0574131198227,0.0750527977943,35.6712891813,27.2874570994,3.82516023197e-10,1.08607853613e-09,0,6,19,28210.7605265
kepler,2048,safeguarded_halley,0.0553635209799,0.0740320011973,36.9918669144,27.6637125416,3.53730722664e-10,1.0674865358e-09,0,4,12,28210.7605264
kepler,2048,brent_dekker,0.18124511838,0.197212800384,11.2996146782,10.3847214583,4.47660807729e-10,1.06338232317e-09,0,31,47,28210.7605264
kepler,8192,bracketed_secant,0.21611456573,0.253740817308,37.9058207961,32.2849121671,5.8383298196e-10,2.03543181181e-09,0,16,87,112785.479076
kepler,8192,safeguarded_newton,0.0594188794494,0.0994880050421,137.868638317,82.3415847623,3.68976816982e-10,1.18303646827e-09,0,6,19,112785.479077
kepler,8192,safeguarded_halley,0.0571491196752,0.0967551991343,143.344290281,84.6672847898,3.60540632072e-10,1.11816778666e-09,0,4,12,112785.479077
kepler,8192,brent_dekker,0.182003512979,0.219142392278,45.010120222,37.3820871209,3.74844881697e-10,1.11823269134e-09,0,31,47,112785.479077
kepler,32768,bracketed_secant,0.215587213635,0.333696007729,151.994171859,98.197159214,5.50760432053e-10,2.11143389231e-09,0,16,87,449644.306973
kepler,32768,safeguarded_newton,0.059472002089,0.180352002382,550.981955357,181.689138835,3.75451422556e-10,1.27305227297e-09,0,6,19,449644.306978
kepler,32768,safeguarded_halley,0.0574271976948,0.175264000893,570.600713867,186.963665288,3.69233745141e-10,1.25688220422e-09,0,4,12,449644.306978
kepler,32768,brent_dekker,0.182793602347,0.304607987404,179.262291345,107.574329483,3.78216922191e-10,1.50601051768e-09,0,31,47,449644.306977
kepler,131072,bracketed_secant,0.84556800127,1.29472005367,155.010596195,101.235784236,5.23528898184e-10,2.35366478824e-09,0,16,87,1371436.38424
kepler,131072,safeguarded_newton,0.226879999042,0.681439995766,577.715094119,192.345622233,3.60133842019e-10,1.33774779448e-09,0,6,19,1371436.38426
kepler,131072,safeguarded_halley,0.263520002365,0.719392001629,497.389188007,182.198300375,3.56387240899e-10,1.28139451827e-09,0,4,12,1371436.38426
kepler,131072,brent_dekker,0.696448028088,1.15097594261,188.200690811,113.879009237,3.69515017543e-10,1.50601051768e-09,0,31,47,1371436.38425
kepler,524288,bracketed_secant,2.7205119133,4.54723215103,192.71667124,115.298269934,5.23528898184e-10,2.35366478824e-09,0,16,87,1371436.38424
kepler,524288,safeguarded_newton,0.716831982136,2.53561592102,731.395938052,206.769485731,3.60133842019e-10,1.33774779448e-09,0,6,19,1371436.38426
kepler,524288,safeguarded_halley,0.692704021931,2.50787210464,756.871597972,209.056912842,3.56387240899e-10,1.28139451827e-09,0,4,12,1371436.38426
kepler,524288,brent_dekker,2.26323199272,4.07897615433,231.65455494,128.53421549,3.69515017543e-10,1.50601051768e-09,0,31,47,1371436.38425
kepler,2097152,bracketed_secant,10.2884483337,17.5966396332,203.835596192,119.179118497,5.23528898184e-10,2.35366478824e-09,0,16,87,1371436.38424
kepler,2097152,safeguarded_newton,2.6993598938,9.84675216675,776.90714929,212.979057915,3.60133842019e-10,1.33774779448e-09,0,6,19,1371436.38426
kepler,2097152,safeguarded_halley,2.6102399826,9.74924755096,803.432639901,215.109113707,3.56387240899e-10,1.28139451827e-09,0,4,12,1371436.38426
kepler,2097152,brent_dekker,8.5469121933,15.8315200806,245.369550145,132.466875532,3.69515017543e-10,1.50601051768e-09,0,31,47,1371436.38425
kepler,8388608,bracketed_secant,41.0264015198,69.4382705688,204.468529758,120.806695375,5.23528898184e-10,2.35366478824e-09,0,16,87,1371436.38424
kepler,8388608,safeguarded_newton,10.8989124298,39.179649353,769.673860032,214.106255123,3.60133842019e-10,1.33774779448e-09,0,6,19,1371436.38426
kepler,8388608,safeguarded_halley,10.28444767,38.8153610229,815.659554036,216.115676344,3.56387240899e-10,1.28139451827e-09,0,4,12,1371436.38426
kepler,8388608,brent_dekker,34.1626548767,62.3883209229,245.549066086,134.457986301,3.69515017543e-10,1.50601051768e-09,0,31,47,1371436.38425
kepler,16777216,bracketed_secant,82.1149139404,139.052902222,204.313871804,120.653475993,5.23528898184e-10,2.35366478824e-09,0,16,87,1371436.38424
kepler,16777216,safeguarded_newton,21.5217609406,78.1831970215,779.546620109,214.588513122,3.60133842019e-10,1.33774779448e-09,0,6,19,1371436.38426
kepler,16777216,safeguarded_halley,20.7864646912,77.4300765991,807.122146516,216.675699378,3.56387240899e-10,1.28139451827e-09,0,4,12,1371436.38426
kepler,16777216,brent_dekker,68.2399978638,124.723548889,245.856045211,134.515223063,3.69515017543e-10,1.50601051768e-09,0,31,47,1371436.38425
pv,1,safeguarded_newton,0.0124379843473,0.015662079677,0.0803988791169,0.0638484812122,5.3290705182e-15,5.3290705182e-15,0,3,3,7.44420283371
pv,1,safeguarded_halley,0.016530752182,0.0240403190255,0.0604933150645,0.0415967857556,5.3290705182e-15,5.3290705182e-15,0,3,3,7.44420283371
pv,1,brent_dekker,0.070314206183,0.0754748806357,0.0142218771182,0.0132494412919,5.3290705182e-15,5.3290705182e-15,0,36,36,7.44420283371
pv,1,bracketed_secant,0.0102519039065,0.0140918400139,0.0975428573194,0.0709630537259,5.3290705182e-15,5.3290705182e-15,0,2,2,7.44420283371
pv,8,safeguarded_halley,0.0227016955614,0.0261968001723,0.35239658546,0.305380807861,5.68434188608e-14,6.30606677987e-14,0,3,5,159.974506715
pv,8,brent_dekker,0.0991371572018,0.102702401578,0.0806962820582,0.0778949652301,5.68434188608e-14,6.01740879347e-14,0,36,38,159.974506715
pv,8,bracketed_secant,0.0682545602322,0.0752649605274,0.117208285758,0.106291160507,5.68434188608e-14,6.32827124036e-14,0,8,25,159.974506715
pv,8,safeguarded_newton,0.0206508487463,0.0257439985871,0.387393278518,0.310752036943,6.10622663544e-14,6.12843109593e-14,0,5,5,159.974506715
pv,32,safeguarded_newton,0.0268002245575,0.0357430428267,1.19401984604,0.895279122015,6.10622663544e-14,6.12843109593e-14,0,4,9,1302.5552024
pv,32,safeguarded_halley,0.0290140155703,0.036404479295,1.10291524186,0.879012709966,5.68434188608e-14,6.30606677987e-14,0,3,6,1302.5552024
pv,32,brent_dekker,0.108667105436,0.1163180843,0.294477338579,0.275107694497,6.01740879347e-14,6.30606677987e-14,0,32,45,1302.5552024
pv,32,bracketed_secant,0.08054061234,0.0860144048929,0.397315082047,0.372030708575,5.99520433298e-14,6.32827124036e-14,0,3,38,1302.5552024
pv,128,safeguarded_newton,0.0282249283046,0.0360403209925,4.53499823344,3.55157769063,7.08322289711e-14,7.32747196253e-14,0,4,9,5992.42861454
pv,128,safeguarded_halley,0.0310416314751,0.0365104004741,4.12349460764,3.50585034231,7.1054273576e-14,7.32747196253e-14,0,3,6,5992.42861454
pv,128,brent_dekker,0.118395291269,0.127904638648,1.08112407705,1.00074556602,6.94999613415e-14,8.48210390814e-14,0,29,46,5992.42861454
pv,128,bracketed_secant,0.0848431736231,0.0932048037648,1.5086658659,1.37331977355,7.06101843662e-14,7.32747196253e-14,0,3,35,5992.42861454
pv,512,safeguarded_newton,0.0453959368169,0.0601564794779,11.2785424401,8.51113636376,7.59392548844e-14,8.65973959208e-14,0,3,9,25877.1396024
pv,512,safeguarded_halley,0.0516768656671,0.0609964802861,9.90772163502,8.39392695445,7.63833440942e-14,8.65973959208e-14,0,3,6,25877.1396024
pv,512,brent_dekker,0.209774598479,0.222591683269,2.44071495649,2.30017578591,7.81597009336e-14,8.65973959208e-14,0,29,46,25877.1396024
pv,512,bracketed_secant,0.140702307224,0.149758085608,3.6388884454,3.41884712214,7.63833440942e-14,8.61533067109e-14,0,3,38,25877.1396024
pv,2048,safeguarded_newton,0.0450928024948,0.0628160014749,45.4174477232,32.6031576655,7.9936057773e-14,9.10382880193e-14,0,3,9,106226.468109
pv,2048,safeguarded_halley,0.0512563176453,0.0644415989518,39.9560501824,31.7807135967,8.03801469829e-14,8.881784197e-14,0,3,6,106226.468109
pv,2048,brent_dekker,0.214800640941,0.225942403078,9.53442220205,9.06425696151,7.94919685632e-14,9.37028232784e-14,0,29,48,106226.468109
pv,2048,bracketed_secant,0.14106015861,0.152383998036,14.5186282234,13.4397313786,7.97140131681e-14,9.14823772291e-14,0,3,37,106226.468109
pv,8192,safeguarded_newton,0.0471379198134,0.0875648036599,173.78789799,93.5535701287,7.86037901435e-14,9.10382880193e-14,0,3,9,424574.890011
pv,8192,safeguarded_halley,0.0533161610365,0.0943104028702,153.649472144,86.8621037626,7.86037901435e-14,9.54791801178e-14,0,3,6,424574.890011
