epsilon,goal_median_ms,uniform_median_ms,uniform_over_goal,ci95_low,ci95_high,predicted_bound,load_error,torque_error,bound_pass,goal_failures,uniform_failures
0.0001,362.8974,359.135223,0.989644826705149,0.9884313688424221,0.9910260253106596,8.153846583439603e-06,1.1234287309077982e-08,6.181947011084313e-09,True,0,0
1e-05,445.321228,360.378357,0.8092387973556405,0.8079020338474998,0.8098824650286799,1.5414616504227361e-06,2.9976331314605088e-09,3.730412034798737e-09,True,0,0
1e-06,447.101959,453.345276,1.0140396376731604,1.0128770195767736,1.0159989434293253,8.471982547308578e-08,8.155130954328758e-11,1.0990180655781122e-10,True,0,0
1e-07,448.962555,449.856506,1.0022999048182404,1.0003383866811,1.0042291690328977,6.477306403148226e-09,1.1666838062505853e-10,6.256309339376302e-11,True,0,0
