p,test_best_mode,test_best_ms,rtx5090_frozen_mode,rtx5090_frozen_ms,frozen_regret_percent,frozen_ci95_low_percent,frozen_ci95_high_percent,cal_best_mode,cal_choice_test_ms,calibrated_regret_percent,calibrated_ci95_low_percent,calibrated_ci95_high_percent,failures
0.0,inline,1.58822405,inline,1.58924794,0.03223380227745931,-0.0966771700794622,0.19341792488283271,inline,1.58822405,0.0,-0.06447453052986774,0.06451612699986953,0
0.001,warp_local,5.62175989,block_local,5.61254406,-0.1184605758483448,-1.348045928326913,1.4251804668943047,block_local,5.68217611,1.093497832166923,-0.9861503907146019,2.021860631262218,0
0.01,global_compact,9.7146883,block_local,12.0729599,24.382261181151655,18.72788075837224,27.340539455145183,global_compact,9.7146883,0.0,-4.757606567000905,5.005305046183928,0
0.05,global_compact,11.7534723,global_compact,11.7882881,0.2876447950231453,-0.4423218377724081,0.9076344527125357,global_compact,11.7534723,0.0,-0.5984371713471104,0.6213294407343639,0
0.1,global_compact,19.8143997,block_local,33.5882225,69.66764922601658,68.44314317013982,70.50107705123499,global_compact,19.8143997,0.0,-0.796941071547097,0.8198626663437292,0
0.25,global_compact,42.2092781,block_local,56.8279037,34.64184325848723,34.28283980837714,35.08519596972197,global_compact,42.2092781,0.0,-0.3739264004969822,0.3829870926784329,0
0.5,global_compact,80.9666595,block_local,93.1737595,15.074777436797726,14.9083109478352,15.315963152735046,global_compact,80.9666595,0.0,-0.18780868668527573,0.19496384111377107,0
0.75,global_compact,119.363586,global_compact,119.291901,-0.06134178692193126,-0.1509598467011486,0.0789232121998662,global_compact,119.363586,0.0,-0.08745255362060389,0.08836929933122573,0
1.0,inline,146.805756,inline,146.784256,-0.010810389789006614,-0.05752496156389286,0.055843693064128175,inline,146.805756,0.0,-0.07043211266317684,0.06979404540692347,0
