sample_id,fold_side,relative_fold_offset,fold_x,fold_Da,root_spacing_min,Fx,condition,raw_gradient,regularized_gradient_lambda_1e-4,regularization_relative_bias,root_count,selected_branch
cstrfold_0000000,lower,-0.000002452758333525602601546534,0.0518793203933314357425897432568,0.0188123970951579856687863952796,+inf,0.999964956441396769633112733279,1.000035044786697266730261907,0.000136791708802296944387182439532,0.000136791707434283991640173061111,0.0000000100007008080012984298063795233,1,single
cstrfold_0000001,lower,-1.489256693403315774525832e-8,0.0506327086284850760455152162084,0.0174260342764849843213847804134,+inf,0.992832409287613556318500334141,1.00721933595774678704352618064,0.0871659670605632848246469222491,0.0871659661762725853180065128389,0.0000000101449078043524884951427583443,1,single
cstrfold_0000002,lower,0.0000001740722322535900636544809,0.0148970182623609291056700109134,0.00526508070073177271722689005876,+inf,0.99999824334581932564677873979,1.00000175665726651368445450552,0.0000601155565726414066041380946026,0.0000601155559714837348388811171444,0.000000010000035033175487056461458905,1,single
cstrfold_0000003,upper,0.000005180474335791594614843947,0.922080918182944124773665540463,0.00000209841572946993529157755241783,0.000495504274785251008254084432637,0.999957146864639912878738117759,1.00004285497182999580479259247,1.0000815135928780638019060953,1.00008150359120584022958271494,0.0000000100008570177849439311576919213,3,low_triple
cstrfold_0000004,upper,-0.0000002771605290854669216246111,0.785409672045063287050523166649,0.000446958921611474272204560087597,+inf,0.99000533887901119815353945928,1.01009556285050524550727580289,1.0193312526579373659292221106,1.019331242257771584547523262,0.0000000102029303568030009982308764232,1,single
cstrfold_0000005,upper,-3.000018527443147187869478e-8,0.829406483131241778974207658247,0.0000000308435989705316640000231710748,+inf,0.999997739679304933995499933439,1.00000226032580412719716047839,1.00000445896680757933687339064,1.00000444896671788290139877749,0.0000000100000451065662701379776950611,1,single
cstrfold_0000006,lower,0.0001738619543530792664741997,0.0543968047149365207483779247337,0.0197212472272188286986940657985,+inf,0.999940931413819569071849699312,1.00005907207548441253609325581,0.000226039662459689343097960441973,0.000226039660199025680582631902794,0.000000010001181376381159347455385023,1,single
cstrfold_0000007,lower,0.000369318432359792697601067,0.0529187976080397837817704696102,0.0182554173449554765140302317517,+inf,0.992804674567695432162044501878,1.00724747336170398641354507572,0.0798003923506249722808291699492,0.0798003915410121167817443797834,0.000000010145474623004709446776776539,1,single
cstrfold_0000008,lower,-0.000001948703035516835706501134,0.0143022960198470478204910187273,0.0050586693584119138593872154085,+inf,0.99999883381141636724389947892,1.00000116618994363015470933488,0.0000412977635880733862288260440668,0.0000412977631750947912565942980355,0.0000000100000232238120071161539628046,1,single
cstrfold_0000009,upper,-0.000009243543353941095957436013,0.922579831035383484985770463028,0.00000173592770501770000853809476455,+inf,0.999963900131215533715428352322,1.00003610117203203960664551101,1.0000687308829316038189868238,1.00006872088152230891119376553,0.0000000100007219364591467624103043665,1,single
cstrfold_0000010,upper,0.00002365135031681729911210576,0.798120629783447272128684075246,0.00034821940827981386404616321432,0.00250019009552464694455195392684,-0.00610527516204690494819975440694,163.792781399345110806484895403,-76136.939654121466211394721383,-76116.5190571198692860351615765,0.000268208797127446819627983468704,3,middle_triple
