domain,n,timing_kind,frozen_over_no_gate_median,ci95_low,ci95_high
bem,1,kernel,0.9999945738650594,0.999660334862294,1.0000403099449342
bem,1,e2e,1.0022587555428841,1.0004776234482546,1.0039860250214456
bem,8,kernel,1.0001199385442217,0.999937365422598,1.0002963512033
bem,8,e2e,0.9998752597268279,0.9998157632098348,1.0000831873913816
bem,32,kernel,1.0002087928297008,0.9998607898218836,1.0005924408040483
bem,32,e2e,1.0051096251354397,0.9994728725325202,1.0380641483477746
bem,128,kernel,1.000035618824942,0.9991939853203506,1.0003592273925674
bem,128,e2e,1.0088173054282135,0.993607172437348,1.0318060800326625
bem,512,kernel,0.9998445645469858,0.9995687987204644,1.000072530376872
bem,512,e2e,0.9997867513659169,0.9957531613292596,1.0035423779586767
bem,2048,kernel,0.9998840430008371,0.9997642122668275,1.0000057519718883
bem,2048,e2e,1.0000034241573628,0.9981012258656159,1.0018215450543178
bem,8192,kernel,0.9997634815653824,0.9978882033666503,1.0005101087157118
bem,8192,e2e,1.002441893740869,0.9981852935527544,1.004752974181655
bem,32768,kernel,1.0001231508921973,0.9997460489491884,1.0003658766795942
bem,32768,e2e,0.9984406930903222,0.994353071738768,1.0016576009624778
bem,131072,kernel,0.9999322477742603,0.998654134499317,1.000571950775073
bem,131072,e2e,1.0008935830164156,0.9983638456426062,1.0029485074470923
bem,524288,kernel,1.0016110286495619,0.9989566905841497,1.0023413078633419
bem,524288,e2e,0.9975464295833273,0.9946769048667816,1.0003807835676124
bem,2097152,kernel,1.0003823253132649,0.9998171955155157,1.0011800989499995
bem,2097152,e2e,0.9990937532788022,0.9975282272683956,1.0011793517461778
bem,8388608,kernel,0.9998256473943116,0.9989692014538663,1.0000202005554135
bem,8388608,e2e,0.999829421526322,0.998729580948006,1.0001732706390163
bem,16777216,kernel,0.9996205459949374,0.9995083365323518,1.0000152517065422
bem,16777216,e2e,1.0000840272514966,0.9999383835759851,1.00088205231634
cstr,1,kernel,1.000014573164921,0.9967898879625137,1.0004014267355468
cstr,1,e2e,1.0002610612705798,0.9993683227742389,1.0023186073462518
cstr,8,kernel,0.9995618464954303,0.9992756780236186,1.0001870159426671
cstr,8,e2e,0.9998130719447665,0.9948635751513342,1.0052716123714904
cstr,32,kernel,0.9980989006032446,0.9976777181479934,0.9985178139668931
cstr,32,e2e,0.9998416099261132,0.9940865199798591,1.007497825613799
cstr,128,kernel,1.000099197332657,0.9999935086736736,1.000276857613283
cstr,128,e2e,0.999908048835966,0.9996461405806872,1.0008372343972902
cstr,512,kernel,1.0000780678460495,0.9998688940037794,1.0001976811710676
cstr,512,e2e,0.9994981175539044,0.9986376194980463,1.0023786568066242
cstr,2048,kernel,1.0001043411121286,0.9999685243891803,1.000449771870183
cstr,2048,e2e,1.00006938946903,0.9997941039468864,1.0003905501903134
cstr,8192,kernel,1.0001711825947301,0.9988577659841273,1.0015350164394792
cstr,8192,e2e,1.000763413393959,0.998604038666662,1.0022608149639716
cstr,32768,kernel,1.0003325477096014,1.0001608186828446,1.0005134305039485
cstr,32768,e2e,1.0001690986376282,0.9981667331179056,1.0015572831890134
cstr,131072,kernel,0.9990036984548785,0.9981910114462882,1.0000571213273712
cstr,131072,e2e,1.0016820905874213,0.9995453679249287,1.0043424132206744
cstr,524288,kernel,1.0000123455507433,0.9991666838925426,1.0005592568605646
cstr,524288,e2e,0.9994515948383145,0.9985572769373448,1.000282215818931
cstr,2097152,kernel,0.999959228147434,0.999533419193045,1.0008187067779253
cstr,2097152,e2e,1.0002681182862951,0.9966720711230458,1.0035845177776714
cstr,8388608,kernel,0.9999316040718382,0.9997931906863811,1.0001169537445564
cstr,8388608,e2e,0.999743330639465,0.999354418478267,1.0000341682777947
cstr,16777216,kernel,1.0003154202328766,0.9998497278255121,1.0006969876559255
cstr,16777216,e2e,0.999850281676611,0.9994296485527037,0.9999778438041834
kepler,1,kernel,0.9999544769649875,0.9997707254360958,1.0002084164055398
kepler,1,e2e,1.000505860754469,0.9996697398668075,1.0015697744988523
