ablation,ratio,median,ci95_low,ci95_high
fusion,split/fused,1.00307807134307,1.0025649299628658,1.0033049982345752
gradient,unrolled/implicit,2.3913963335792756,2.3908333751732496,2.3917764047604733
trig,direct/recurrence,2.176573463648598,2.1581383606140117,2.187542271386059
